ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
8542,0.9748,6031,1.221,622.7,1.185
10580,1.124,5727,1.188,837.7,1.149
11270,1.125,6448,1.145,1310,1.781
8224,1.11,6073,1.104,494.6,0.7888
9501,1.2,6324,1.086,1070,0.9366
9700,0.8397,6014,1.206,1070,1.194
7865,1.236,6897,1.18,1121,1.218
10740,1.051,7083,1.273,1223,0.801
8444,1.19,7506,1.117,824.9,0.7682
8395,0.9328,5876,1.057,887.1,0.706
9672,1.374,6466,1.102,1187,1.62
10140,1.395,6086,1.168,1114,1.413
9153,0.9149,6373,1.266,1142,1.681
9254,0.9213,6366,1.078,703.9,0.696
7604,0.9004,6547,1.084,1168,1.666
8312,1.179,7565,1.197,1076,0.8983
8020,1.031,7201,1.273,1016,0.9113
10720,1.01,5635,1.202,917.4,0.8905
8433,1.246,5840,1.192,1110,0.7995
8578,0.8549,5523,1.05,1095,0.5789
10740,1.235,6166,0.9881,694.4,0.6501
7772,0.8577,7195,1.011,1180,0.7708
7527,1.113,5576,1.144,1176,0.688
10220,1.216,6180,1.149,906.7,1.006
10390,1.366,6459,1.117,773,0.8154
8465,1.41,5640,1.091,1442,1.366
9177,0.9945,6190,1.181,1098,0.9285
8599,1.03,6998,1.084,1048,1.222
7866,0.9804,6276,1.228,1061,0.9283
9639,1.054,6939,1.138,1000,1.032
9452,1.104,6583,1.226,684.8,1.008
8617,1.049,6556,1.254,556.7,0.764
9216,1.199,6747,1.047,891.2,1.015
9497,0.8835,6306,1.229,778.8,1.049
9190,1.157,6272,1.163,1148,1.104
9173,0.9981,5907,1.088,1099,1.058
10180,0.9087,6343,1.14,1084,1.277
9564,1.128,6210,1.172,794.9,0.8723
9104,0.9456,7223,1.164,595.3,0.955
8088,0.9093,6270,1.026,791.6,0.7588
8318,0.9436,6699,1.172,704.1,0.8946
9327,1.035,6232,1.313,606.1,0.8666
8807,1.171,5888,1.218,1062,1.078
