ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
664.8,0.6503,NA,NA,1536,5.241,2504,1.573,3142,1.56,11190,0.4556,18.82,0.4274
713.4,0.6467,NA,NA,1599,4.749,2889,1.198,2923,1.561,15510,0.4944,18.37,0.679
667.3,0.6658,NA,NA,1547,5.052,3561,1.183,13310,0.7539,8085,0.4306,23.33,0.5885
797.8,0.6139,NA,NA,1893,4.788,4551,1.069,5155,0.9562,189600000,0.1399,18.22,0.5781
774.9,0.6544,NA,NA,1893,4.788,7164,0.9225,4876,0.9631,1.857e+09,0.1288,22.04,0.62
726.7,0.6499,NA,NA,1432,5.381,10390,0.7467,13430,0.7087,1090000,0.1909,22.96,0.6878
735.1,0.6268,NA,NA,2191,3.807,1190,4.383,13210,0.6498,9598,0.3993,18.59,0.7687
635,0.7452,NA,NA,2191,3.807,1294,3.87,10300,0.7876,84670,0.2921,19.68,0.5069
662.2,0.6892,NA,NA,2191,3.807,1258,4.084,85040,0.4083,29590,0.3864,24.77,0.6142
757.4,0.7042,NA,NA,2471,2.918,1433,3.547,48520,0.4823,31480000,0.1715,24.14,0.5493
710.3,0.6787,NA,NA,2387,3.42,1919,2.197,8365,0.948,2088000,0.2108,18.36,0.4671
647,0.6354,NA,NA,2387,3.42,2765,1.773,18320,0.6636,121800,0.2487,17.48,0.6248
636.5,0.658,NA,NA,1714,4.086,2701,1.38,4138,1.054,129300,0.2785,23.56,0.6079
676.3,0.6851,NA,NA,1908,4.274,2034,1.997,6224,0.9278,88980,0.3226,21.92,0.6099
720.8,0.6653,NA,NA,1908,4.274,1298,3.743,54590,0.4809,263000,0.2706,24.27,0.5638
677.7,0.6899,NA,NA,2685,3.424,1106,5.92,43970,0.4844,63990,0.362,17.02,0.5358
633.5,0.6957,NA,NA,2473,2.742,1120,5.352,13500,0.6701,45970,0.3336,18.8,0.8004
667.1,0.6714,NA,NA,1726,4.708,1287,3.83,18350,0.6551,1589000,0.2084,15.78,0.5373
745.4,0.6284,NA,NA,1720,4.359,2184,2.03,9529,0.6971,420000,0.2278,19.75,0.6362
675.1,0.6884,NA,NA,1720,4.359,1995,1.943,15540,0.6902,504000,0.2329,18.93,0.6245
649.7,0.6291,NA,NA,1720,4.359,1492,2.561,32680,0.4951,350100,0.2449,21.36,0.5613
680.3,0.6625,NA,NA,1720,4.359,1553,2.98,26480,0.5683,1335000,0.1929,23.31,0.6489
750.2,0.6456,NA,NA,2025,3.994,1070,7.119,19720,0.616,488600,0.2346,16.39,0.5612
703.3,0.6515,NA,NA,2428,3.625,4326,0.862,18620,0.5869,39670,0.3111,18.51,0.5371
620.2,0.7209,NA,NA,2116,3.635,4574,0.8881,26080,0.5803,2711000,0.205,17.25,0.7037
700.2,0.6912,NA,NA,2116,3.635,5063,1.163,16530,0.6067,232100000,0.1549,20.04,0.6892
712.4,0.6559,NA,NA,2116,3.635,1464,2.998,19920,0.5749,1954000,0.1963,20.87,0.525
724.8,0.6505,NA,NA,2116,3.635,1277,3.999,309100,0.3468,43320,0.2889,14.25,0.4855
595.8,0.6721,NA,NA,2389,3.547,2152,1.764,20380,0.5658,23480,0.3634,16.65,0.7106
660.9,0.7202,NA,NA,2700,2.813,1585,2.766,17710,0.6934,107600,0.3283,20.19,0.6958
672.6,0.6999,NA,NA,2078,3.517,1169,4.841,7078,0.9276,3170000,0.2078,20.28,0.6124
713.9,0.6474,NA,NA,1858,3.941,2405,1.52,36930,0.5536,49220,0.2896,24.67,0.5539
728,0.663,NA,NA,2109,3.859,3183,1.256,137200,0.3971,13760,0.4735,18.43,0.5736
659.8,0.6987,NA,NA,3306000,0.4132,2578,1.595,176800,0.3607,16460,0.4413,21.77,0.5918
721.4,0.6556,NA,NA,3306000,0.4132,1907,1.848,29870,0.5584,97940,0.3104,20.79,0.5657
695.9,0.6348,NA,NA,3306000,0.4132,1234,4.664,3357,1.29,9096,0.367,18.87,0.6001
729.9,0.6219,NA,NA,1559000,0.4695,1496,2.725,2807,1.514,47470,0.3544,17.2,0.6339
707.5,0.6519,NA,NA,16780,1.1,1740,2.286,3331,1.428,26850000,0.1514,18.19,0.5433
645.5,0.6591,NA,NA,16780,1.1,1457,3.185,2180,1.766,4892000,0.174,24.4,0.6616
649.3,0.63,NA,NA,228000,0.5217,1583,2.826,2870,1.66,20370,0.3506,18.58,0.6072
607.8,0.6658,NA,NA,214800,0.5395,4485,1.064,2729,1.651,39920,0.3081,23.94,0.5109
613.1,0.6751,NA,NA,1894000,0.3577,2651,1.412,2911,1.607,7141000,0.1929,17.64,0.5334
610.1,0.7631,NA,NA,16570000,0.3886,1340,3.309,2733,1.598,3900000,0.2287,14.02,0.5168
721.7,0.6004,NA,NA,11650,1.176,10510,0.6783,2619,1.537,484200,0.2429,23.39,0.6945
795.3,0.6431,NA,NA,11650,1.176,8173,0.962,3600,1.387,409500,0.2242,21.29,0.6899
755.4,0.6057,NA,NA,146800,0.7301,8019,0.8783,47080,0.5253,45820,0.3467,16.83,0.5876
686.6,0.6993,NA,NA,99190,0.7157,7564,0.9012,67320,0.486,131200,0.2332,14.32,0.6459
707.4,0.602,NA,NA,396200,0.5145,7564,0.9012,19080,0.6135,1559000,0.1889,17.91,0.5876
758.8,0.6246,NA,NA,337500,0.5609,7564,0.9012,25680,0.5821,19900000,0.1909,23.21,0.6594
723.4,0.7049,NA,NA,788600,0.4877,5211,1.159,3879,1.257,1015000,0.2156,18.74,0.6475
728.3,0.5902,NA,NA,1043000,0.5018,4228,0.9231,5294,0.9891,3722000,0.1681,16.43,0.5954
770.2,0.6203,NA,NA,1043000,0.5018,1761,2.297,6892,0.9061,3717000,0.1808,22.61,0.656
669.6,0.6848,NA,NA,866500,0.6056,1134,4.744,29690,0.5887,499300,0.2247,20.45,0.6327
770.1,0.6339,NA,NA,105800000,0.3698,1185,5.072,28270,0.5202,258000,0.2619,22.8,0.6337
703.3,0.7154,NA,NA,276700000,0.2697,1037,6.571,5507,1.044,49880,0.2991,22,0.5671
744.2,0.6549,NA,NA,276700000,0.2697,1100,6.241,7773,0.9231,57680,0.3367,22.92,0.6744
696.3,0.6669,NA,NA,252100000,0.2771,1036,6.456,12430,0.6533,51800,0.2566,28.55,0.5806
709.2,0.6636,NA,NA,252100000,0.2771,1191,4.99,23520,0.5788,424900,0.25,20.32,0.5026
690,0.6137,NA,NA,8.798e+09,0.2227,1588,2.637,7805,0.917,77340000,0.1283,20.45,0.6135
757.8,0.6386,NA,NA,8.798e+09,0.2227,1428,3.038,13060,0.7831,1987000,0.1889,20.32,0.6231
601.4,0.7007,NA,NA,1.722e+09,0.3061,1307,3.865,41080,0.4908,3625000,0.1868,21.22,0.5402
780.7,0.6191,NA,NA,611600000,0.2352,1172,5.358,17870,0.5829,1601000,0.1996,23.5,0.6012
731.7,0.6,NA,NA,7009,1.465,1698,2.201,11190,0.6954,1352000,0.1994,20.91,0.326
653.7,0.7239,NA,NA,33790,0.8917,1217,3.83,6504,0.9053,3.182e+09,0.1178,19.97,0.5118
743.2,0.6715,NA,NA,8966,1.427,1309,3.797,8255,0.9261,814800000,0.1282,21.21,0.6039
682.5,0.69,NA,NA,8068,1.375,1309,3.797,5316,0.9116,4422000,0.193,22.55,0.6796
629.9,0.6454,NA,NA,48140,0.733,1633,2.536,14440,0.7217,1005000,0.2409,20.64,0.6608
752.4,0.6347,NA,NA,2.04e+09,0.2713,2622,1.519,14730,0.6492,41660000,0.1479,24.56,0.6181
746.5,0.6306,NA,NA,1.193e+09,0.2761,1770,2.613,12090,0.7345,14470,0.4076,18.75,0.7208
707,0.6488,NA,NA,14650000,0.3622,2046,1.858,6072,0.8913,99580,0.249,17.1,0.6842
727.9,0.6833,NA,NA,23130000,0.3338,1802,2.792,25460,0.5546,329300,0.203,19.15,0.5583
740.1,0.661,NA,NA,21470000,0.328,1464,3.066,28580,0.5222,9898000,0.1779,18.91,0.4698
774.4,0.5898,NA,NA,21470000,0.328,1337,3.539,12640,0.6666,1793000,0.214,19.25,0.5825
636.3,0.689,NA,NA,2759000,0.3905,1192,4.767,94330,0.4142,148500,0.2591,23.61,0.5609
653.6,0.6307,NA,NA,1026000,0.5134,1005,8.772,6176,0.9455,44420000,0.1471,21.51,0.4846
762.4,0.6623,NA,NA,256400,0.5773,1023,8.235,23920,0.6133,38870,0.3792,22.9,0.5503
613.2,0.6602,NA,NA,53290,0.8031,966.9,8.157,70780,0.4559,39410,0.33,24.35,0.528
670,0.67,NA,NA,568300,0.5542,1682,2.12,16480,0.7005,50000,0.3214,15.32,0.5616
675.8,0.6549,NA,NA,318000,0.5132,1216,4.376,7247,0.7868,1881000,0.2011,24.66,0.751
719.1,0.6136,NA,NA,426300,0.5624,1171,4.868,36580,0.552,572300,0.2244,18.53,0.6279
700.3,0.6277,NA,NA,2861,2.927,1171,4.868,26690,0.5749,45400000,0.1522,17.82,0.5954
695,0.6189,NA,NA,3359,2.511,1171,4.868,28520,0.5739,6723000,0.1906,21.16,0.5114
674.6,0.6562,NA,NA,9326,1.608,1171,4.868,39230,0.4745,2166000,0.1648,24.25,0.5505
656,0.7066,NA,NA,431800000,0.2755,1088,5.317,8725,0.8186,22220,0.4599,22.98,0.7789
721.9,0.6914,NA,NA,443900000,0.2833,1774,2.081,9384,0.7073,1060000,0.2278,21.68,0.611
699.5,0.6052,NA,NA,443900000,0.2833,2588,1.423,33590,0.5124,91370,0.2822,21.78,0.4515
727.7,0.6862,NA,NA,443900000,0.2833,2588,1.423,6137,0.9747,30860,0.3593,21.73,0.494
674,0.6853,NA,NA,59020,0.8254,2588,1.423,11380,0.759,12360,0.4675,17.97,0.5734
708.4,0.6856,NA,NA,12930,1.186,3719,1.248,7266,0.8183,1.783e+09,0.1166,27.19,0.571
697.2,0.6625,NA,NA,98670,0.7246,3189,1.402,28470,0.5473,1.343e+09,0.1264,20.55,0.627
