ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
7831000,1.969,2933,0.957,1135,0.5418
88230000,1.663,1215,1.679,1132,0.5821
5.625e+09,1.932,2065,1.245,4389,0.5238
582400000,1.875,1355,1.367,1418,0.5591
10730000,0.6645,9291,0.7191,466,1.117
2307000,0.7105,1128,1.647,7947,1.822
11130000,1.368,6145,0.8269,72260,1.721
2.296e+09,1.516,2727,1.161,1177000,0.9532
291700000,1.391,1121,1.852,264.5,0.788
30120000,0.5876,2208,1.136,1380,0.6984
4291000,1.156,1144,1.507,1307,0.6531
115400000,1.394,1794,1.126,635.7,0.8143
2697000,1.969,3792,0.8064,709.4,0.9116
3.836e+09,1.013,1289,1.697,6723,0.7149
22380,1.411,1694,1.272,219100000,1.88
3688000,1.619,1126,1.925,1314000,1.458
13370000,1.569,1196,1.611,110100,1.095
3.51e+09,1.7,2547,1.241,365.2,0.8831
4429000,1.396,3945,0.9732,776.1,0.7453
2.483e+09,0.7664,2577,1.074,611.3,0.638
91420000,1.562,1952,1.327,537.2,0.5928
5318000,1.145,1546,1.421,246,0.5193
809400,0.6987,2261,1.209,361.9,0.5977
413000,1.085,1110,1.649,1593,0.515
140800,1.241,1315,1.392,570.9,1.123
41300,1.949,1167,1.564,227.5,0.5576
140700,1.473,1548,1.526,649.6,0.7453
10700000,0.881,2067,1.163,626.6,0.5247
8.76e+09,1.556,1684,1.23,311.1,0.613
57240,1.431,1759,1.18,394.2,1.232
8095000,1.617,1872,1.312,1049000,1.024
9.96e+08,0.5377,1158,1.529,1067000,1.079
111200000,1.174,1064,1.937,201.9,0.7638
13250,1.971,931,1.986,1252,0.5632
135800000,0.786,5633,0.7705,556.5,0.6865
5.875e+09,0.5398,1108,1.889,515.7,0.5025
4.734e+09,1.275,1026,1.971,661.5,0.6419
299200,1.068,1012,1.852,487.9,0.5776
19250000,0.8943,788.5,1.892,501.9,0.6137
174900000,1.26,1560,1.522,1043,0.6003
3350000,1.84,1105,1.666,793.7,0.5129
21010,1.639,2156,1.222,532.1,0.5204
20820,1.729,1585,1.472,695.4,0.6902
8227000,1.656,1845,1.266,1179,0.9029
24250000,0.6216,1509,1.574,18810,1.024
14130,1.592,1108,1.711,959000,1.716
10570,1.942,1416,1.467,107700000,1.255
3435000,0.7879,1471,1.379,72470000,1.277
1046000,1.603,1458,1.465,7594,0.5598
114900000,1.455,2231,1.104,719.4,0.6609
1.935e+09,0.8488,1262,1.434,615.9,0.6665
2.338e+09,0.9043,2880,0.9985,144.7,0.5094
911700000,1.983,1187,1.834,794,0.5298
245400000,1.589,921.1,1.892,487.1,0.5326
10530,1.669,960.2,1.661,6487,0.7523
9801000,1.546,4458,0.9332,408800,0.7641
688100,0.9499,2701,1.071,89780,1.744
1.787e+09,1.917,1714,1.66,1334,1.056
3637000,0.5958,1408,1.705,171700,0.9619
638800,1.276,1009,1.779,11020,1.251
39520000,0.7591,1300,1.492,10490,0.581
3.37e+09,1.396,1334,1.588,837.7,0.8161
133800,1.523,1080,1.828,206200,1.073
23900000,0.877,1396,1.62,549800000,0.7789
6494000,0.877,1054,1.921,1.861e+09,0.9431
303800000,1.107,1954,1.264,1.241e+09,1.102
13900000,0.9603,5302,0.7074,7.248e+09,1.179
35860000,1.183,1070,1.676,10360000,0.7083
109500,1.038,1329,1.415,3.28e+08,1.165
1045000,0.9805,979.4,1.747,328200,1.069
692000,1.004,1016,1.823,80410000,1.062
300200000,1.369,1268,1.622,688500000,1.375
21400000,1.503,889.1,1.919,5676,0.7509
7.934e+09,0.9285,1113,1.562,830.6,0.6012
78540,1.362,1477,1.42,500.3,0.6204
1551000,1.504,3726,0.9801,233.9,0.5457
5796000,1.278,1056,1.543,507,0.5774
173400,1.545,1218,1.404,743.6,0.6282
1220000,0.9232,2723,1.081,767.6,0.6572
84040000,1.477,1706,1.359,1618,0.5399
6068,1.43,2575,1.188,1618,0.5399
1.947e+09,1.055,1156,1.473,965.9,0.6346
28340000,0.6937,985.2,1.641,1115,0.7149
1770000,1.491,1086,1.669,1462,0.5686
1.209e+09,0.8949,1216,1.581,621.1,0.7805
14510000,1.328,947.3,1.804,405.3,0.5429
28020000,0.9493,6661,0.9499,898,0.578
100900,1.653,1334,1.384,435.6,0.5504
20110,1.428,4486,0.7646,2881,0.5609
9435,1.412,2053,1.163,4145,0.5301
