ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
247400000,1.772,129800000,1.045,20530,0.8203,NA,NA,NA,NA,1049000,0.1937,15.16,0.5656
51800000,1.963,3412,8.221,20530,0.8203,NA,NA,NA,NA,107500,0.2517,10.28,0.7373
75770000,0.408,926.3,9.608,20530,0.8203,NA,NA,NA,NA,1495000,0.2105,15.34,0.6398
181700000,8.682,1187,5.155,4660,1.23,NA,NA,NA,NA,49320,0.2847,7.27,0.429
1808,1.666,1098,8.669,67210000,2.314,NA,NA,NA,NA,12350,0.3403,14.86,0.5823
50810,7.668,3905,5.416,5573,1.018,NA,NA,NA,NA,192500000,0.1296,8.567,0.6909
13570,2.553,71680,0.4586,65100,0.6723,NA,NA,NA,NA,34540,0.3042,20.11,0.5917
17030000,4.902,71680,0.4586,65100,0.6723,NA,NA,NA,NA,20260,0.3285,12.14,0.5335
136800000,7.648,27810,0.5203,65100,0.6723,NA,NA,NA,NA,433600,0.226,8.582,0.5761
11820,8.782,27810,0.5203,67380,0.6841,NA,NA,NA,NA,1574000,0.2139,7.861,0.5935
1031,4.117,7837,2.805,34830,0.5955,NA,NA,NA,NA,17540,0.3364,10.73,0.5673
7320000,1.626,6.32e+08,8.321,5.563e+09,2.161,NA,NA,NA,NA,28310000,0.1411,8.133,0.5947
69350000,5.613,454.1,3.261,15840000,9.085,NA,NA,NA,NA,480300000,0.1528,10,0.6107
7806000,4.201,114700000,4.322,244.7,9.514,NA,NA,NA,NA,842100,0.197,16.32,0.5793
272700,7.645,236300000,1.192,1326,9.672,NA,NA,NA,NA,1721000,0.1906,20.85,0.6443
775.2,8.521,76460,1.599,894.6,5.23,NA,NA,NA,NA,95810,0.2543,10.14,0.5777
194200000,8.963,5093000,0.6871,2.622e+09,1.461,NA,NA,NA,NA,5484,0.3099,9.089,0.6559
1375000,4.685,12140000,0.2405,47650000,7.507,NA,NA,NA,NA,22620,0.3214,12.96,0.5035
32080,8.332,1128,8.707,1.465e+09,1.157,NA,NA,NA,NA,1078000,0.1982,10.5,0.7549
62660,6.935,18100,8.257,493100000,4.356,NA,NA,NA,NA,373600000,0.1412,12.64,0.5508
79580000,5.442,741300000,1.647,6104,5.431,NA,NA,NA,NA,1.308e+09,0.1171,11.21,0.5796
343000,2.422,8.562e+09,8.06,1831,1.511,NA,NA,NA,NA,12520000,0.1708,8.386,0.8726
98060000,3.593,731.7,4.912,1831,1.511,NA,NA,NA,NA,5159000,0.184,12.17,0.6961
43590,2.795,88080000,5.802,8666000,8.712,NA,NA,NA,NA,78330000,0.1523,13.18,0.6986
209800000,4.505,423400,7.033,1297000,4.182,NA,NA,NA,NA,1406000,0.1878,14.73,0.6719
1601,3.768,146100000,1.092,516.5,4.68,NA,NA,NA,NA,5308000,0.1883,11.2,0.6021
3992000,8.805,339.3,3.073,6126,1.473,NA,NA,NA,NA,162600,0.2967,10.19,0.5681
93400000,2.527,13390000,4.546,31750,8.534,NA,NA,NA,NA,24860000,0.15,10.06,0.5299
303100000,4.944,338.9,2.711,10000,9.058,NA,NA,NA,NA,172300,0.2807,8.184,0.7056
971.2,4.539,338.9,2.711,3.334e+09,6.492,NA,NA,NA,NA,19950,0.3427,10.87,0.7062
654.8,2.848,3971,0.9403,998.4,6.018,NA,NA,NA,NA,8767,0.3947,9.38,0.6921
207.2,9.173,3971,0.9403,557.2,7.378,NA,NA,NA,NA,44330,0.3067,12.9,0.6762
385.9,9.564,1359,0.9662,906.6,2.058,NA,NA,NA,NA,510100000,0.1303,13.6,0.669
2131000,7.139,27860,0.9652,241000,1.294,NA,NA,NA,NA,375200000,0.1223,12.26,0.6221
4.392e+09,5.794,1232,5.555,779900,0.4597,NA,NA,NA,NA,1269000,0.2216,9.677,0.6712
18620000,1.78,14190000,1.081,580400000,4.131,NA,NA,NA,NA,64220,0.2695,11.69,0.7212
441000,0.7504,82940000,0.2552,7654000,8.706,NA,NA,NA,NA,142900000,0.1548,6.673,0.5365
63460000,6.197,4374000,0.2885,2966000,2.599,NA,NA,NA,NA,22350000,0.1796,8.74,0.6931
50140000,9.206,4374000,0.2885,66210000,0.3214,NA,NA,NA,NA,45390,0.3414,18.15,0.6241
9019000,8.919,62910000,7.062,48430000,0.6006,NA,NA,NA,NA,58880,0.3203,10.96,0.5292
367.8,5.516,1074,3.756,269300000,3.471,NA,NA,NA,NA,16990000,0.1563,10.31,0.6473
2934,9.58,9961,7.838,763800,1.683,NA,NA,NA,NA,290400,0.2086,19.32,0.5063
1082000,5.577,301400,7.107,17190000,0.3509,NA,NA,NA,NA,52080000,0.1436,14.42,0.7057
446800,0.5252,20870,4.136,17190000,0.3509,NA,NA,NA,NA,497100,0.2572,11.73,0.5298
17040,1.58,1.835e+09,1.646,17170000,0.3548,NA,NA,NA,NA,583400,0.23,9.182,0.6794
1824000,1.49,245.9,4.515,17170000,0.3548,NA,NA,NA,NA,948700000,0.1168,7.536,0.6645
1655000,0.777,21810000,4.555,17170000,0.3548,NA,NA,NA,NA,100500000,0.1476,9.251,0.5011
158800000,0.4375,3342,5.822,12480000,0.3367,NA,NA,NA,NA,4439000,0.1644,11.86,0.6323
2.361e+09,3.02,8830000,3.891,7811000,0.6566,NA,NA,NA,NA,904700,0.2237,9.336,0.6301
314700,0.751,1.18e+09,5.19,42800000,0.3966,NA,NA,NA,NA,3883000,0.1836,12.56,0.5779
1.011e+09,9.772,45750000,1.246,901000,0.5323,NA,NA,NA,NA,1.289e+09,0.1172,13.67,0.6879
5888000,1.98,260.1,4.759,16060,0.7947,NA,NA,NA,NA,22180,0.3113,16.1,0.5794
9.454e+09,3.726,217.4,5.455,49390,0.6755,NA,NA,NA,NA,49460,0.2729,11.25,0.7033
127400,9.323,33210000,4.113,87410000,0.7257,NA,NA,NA,NA,734700000,0.1191,13.5,0.5916
862500,2.652,1.042e+09,4.176,2.078e+09,0.9603,NA,NA,NA,NA,173700000,0.1498,9.911,0.6915
3.899e+09,8.646,2373000,5.867,1.281e+09,4.56,NA,NA,NA,NA,3722,0.4236,8.277,0.6506
7676000,1.129,1.444e+09,9.818,46440000,1.279,NA,NA,NA,NA,157400,0.2505,11.63,0.5817
734000,1.086,22500,1.966,476300000,3.498,NA,NA,NA,NA,109100,0.2685,9.339,0.7161
9.018e+09,4.127,1294,1.438,32970000,0.5024,NA,NA,NA,NA,535900,0.204,11.26,0.7199
