ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
7354,1.29,2.325e+09,1.222,19470000,1.736,123600,1.172,341.5,1.9,30720000,1.115,246.4,1.828
274700,0.5351,1.929e+09,0.696,501300000,1.328,4366000,1.178,401.2,1.333,1057000,0.5932,223.5,1.655
2048000,1.634,24330,0.6691,1.995e+09,1.494,462200,1.305,324.3,1.396,408900,0.6405,255.3,1.578
252700,1.386,6639000,1.652,9.405e+09,1.675,2.758e+09,1.097,334.5,1.392,2674,1.49,273,1.607
8773000,1.721,1576,0.9597,23490000,1.857,26680000,1.746,375.3,1.997,26440,1.806,236.5,1.307
10890000,0.7039,302.4,1.984,835200000,1.613,9.843e+09,1.2,352.4,1.678,66810,1.071,272.6,1.082
1.254e+09,0.6397,781.2,1.926,1020,1.188,8.368e+09,1.042,399.9,1.523,1.674e+09,1.998,293.5,1.136
9796000,0.9665,667.3,1.872,2365,1.56,4952000,1.338,377.5,1.772,49310000,1.708,234.8,1.783
97490,0.5881,1.174e+09,1.897,63760000,1.958,5024,1.878,362.4,1.666,1.433e+09,1.901,238.1,1.181
399500,1.194,1840,0.9432,9103,0.7213,1.774e+09,0.7866,367.1,1.781,4175000,1.487,272.7,1.743
64350,1.264,4138,0.6109,6764,1.627,159700,0.9447,330.7,1.704,21480000,1.417,278.7,1.424
229300000,0.5073,18330,0.5754,10050000,0.7566,122000,0.9033,349.5,1.515,10780,1.844,281.3,1.355
2570000,1.937,2538,0.7923,245600,1.974,521100,1.425,379.6,1.781,131400,1.166,244.2,1.843
722600,1.259,1642,1.158,26260000,1.681,131400000,1.733,415,1.467,425100000,1.463,199.5,1.029
19660000,1.67,1237,1.187,3136000,1.339,40530000,1.423,394.9,1.342,5.626e+09,1.154,271.5,1.715
461800000,0.6443,1196,1.028,5740000,0.8658,6489,1.109,346.4,1.646,6987000,1.107,251.5,1.981
65810000,0.7231,18780,0.5591,1.745e+09,0.6802,7727000,1.42,368.6,1.45,2787000,1.431,312.3,1.459
12540000,0.9333,5040,0.5466,1.453e+09,1.179,879500,1.234,302.1,1.663,52310,1.33,240.7,1.544
325900000,0.9126,67150000,1.05,1.63e+09,1.415,1.363e+09,1.29,349.3,1.857,2523000,1.444,255.2,1.47
1853000,0.7783,1362000,1.59,4.967e+09,1.501,1156000,0.8716,343.1,1.933,308900000,1.335,227.6,1.475
