hERG_IC50,hERG_h,hERG_Bmax
518.4,1.33,77.54
686.5,1.316,90.14
1178,1.044,98.4
647.4,1.452,86.36
694.3,1.645,84.56
954.6,1.166,90.24
824.8,1.244,91.11
586.8,1.288,83.65
585.7,1.781,80.54
549,1.527,78.4
915,1.164,94.21
827.4,1.15,90.16
759.5,0.9058,94.52
676.8,1.98,78.06
588.4,1.344,83.44
657.4,1.135,89.48
701.4,1.623,86.81
698.6,1.458,86.79
612.9,1.411,87.34
717.6,1.089,90.67
726.2,1.641,88.89
627.9,1.98,78.91
657.3,1.543,85.32
729.1,1.415,89.48
830.4,1.98,85.78
618.7,1.556,84.57
718.1,1.474,86.71
685.7,1.559,83.91
642.2,1.332,88.51
847.3,1.185,91.72
539.4,1.844,80.43
699.4,1.331,88.87
732.7,1.258,90.05
802.6,1.438,85.14
635.6,1.554,83.35
646.8,1.636,83.92
663.6,1.557,84.5
724,1.21,90.06
594,1.962,80.16
679.9,1.373,84.42
603.1,1.98,80.16
599.5,1.381,82.25
821.4,1.547,86.02
715.5,1.454,86.72
605.8,1.327,86.33
794.1,1.293,89.03
615.6,1.17,89.79
604.6,1.409,85.28
671.5,1.21,90.72
729.2,1.402,86.55
645.5,1.539,86.59
704.6,1.794,84.62
535.6,1.434,85.12
493.2,1.611,78.22
787.6,1.42,85.63
596.8,1.614,79.88
718.4,1.488,89.84
755.3,1.901,79.91
732.1,1.265,91
615.4,1.74,80.84
751,1.206,92.67
642.8,1.335,89.44
807.5,1.083,92.1
614.5,1.269,84.94
678.6,1.482,87.19
781.4,1.516,88.29
518.5,1.251,85.56
627.3,1.438,86.26
882.9,1.98,85.25
738.6,1.446,89.21
607.2,1.352,77.69
682.6,1.182,89.4
770,1.98,81.8
902.3,1.169,90.22
750.5,1.38,84.38
653.1,1.617,86.16
569.9,1.823,81.19
580.8,1.391,81.13
717.8,1.719,82.86
667,1.267,89.08
696.5,1.452,81.54
634.8,1.479,84.86
771.1,1.831,83.76
647.7,1.98,76.71
935,1.383,88.26
560,1.444,83.22
526.6,1.583,83.81
838.8,1.369,92.17
730.7,1.531,87.65
613.1,1.58,85.24
747.4,1.648,84.64
1012,1.455,87.46
656.5,1.314,84.27
769.4,1.244,92.78
603.8,1.251,87.71
765.7,1.313,88.66
759.1,1.552,84.47
791.1,1.186,88.32
603.3,1.477,81.39
779,1.525,91.06
537.9,1.304,87.35
879.6,1.449,89.55
656.8,1.236,92.83
710.8,1.445,86.83
646.9,1.283,85.53
645.9,1.363,89.31
648.3,1.232,87.06
814.7,1.294,89.43
692.2,1.396,87.25
642.7,1.502,82.63
684.4,1.224,84.34
601.8,1.117,87.15
763.5,1.026,90.4
691.8,1.561,81.01
760.4,1.777,83.89
656.7,1.837,87.17
798.5,1.344,91.39
712.3,1.244,89.4
826.5,0.9839,91.77
957.1,1.097,94.36
747.4,1.648,84.64
597,1.151,83.56
666.5,1.567,84.14
909.8,1.506,88.25
888.7,1.393,91.94
877.7,0.8735,95.53
1012,0.9684,99
813.9,1.006,91.31
1024,0.9611,99
768.1,1.263,88.53
804.6,1.137,92.19
603,1.491,85.49
536.4,1.547,79.22
744.6,1.787,85.27
802.3,1.277,89.63
609.5,1.395,84.45
790.2,1.553,81.1
538.9,1.414,80.75
580.2,1.47,78.54
577.7,1.211,85.72
771.4,1.488,89.49
551.9,1.784,75.51
545.2,1.196,81.87
537.8,1.801,79.08
522.2,1.575,81.6
539,1.717,80.52
931.6,1.239,93.2
757,1.429,87.22
1157,1.25,94.01
685.7,1.496,83.03
790.8,1.389,85.47
875.3,1.725,87.16
531.1,1.368,84.72
721.3,1.506,83.84
752.5,0.9643,95.28
774.3,1.254,91.61
748.7,1.797,85.21
561.9,1.308,85.82
534.5,1.512,81.65
681.8,1.607,87.86
779.4,1.273,84.46
645.9,1.363,89.31
689.5,1.323,88.96
645.7,1.508,85.64
684.3,1.203,87.97
678.7,1.345,86.34
776.1,1.494,89.4
747.1,1.322,88.33
581.7,1.749,77.49
703.1,1.042,89.45
697.8,1.706,87.34
696.3,1.479,81.76
533.8,1.44,77.83
745.2,1.105,90.92
724.8,1.504,86.58
768.4,1.551,84.18
510.3,1.785,78.64
573,1.228,83.88
453.9,1.633,78.43
891.1,1.892,83.53
596.8,1.614,79.88
752.2,1.646,83.47
505,1.98,73.77
873.2,1.246,92.67
545,1.322,77.62
638.5,1.483,82.7
650.5,1.094,90.99
654.5,1.895,82.8
564.2,1.42,83.13
871.3,1.219,92.98
660.9,1.084,88.25
776.5,1.788,86.32
778.9,1.455,86.89
898.3,1.398,91.95
571.4,1.367,78.93
651.6,1.776,86.62
792.5,1.774,85.41
663.1,1.224,87.94
873.8,1.333,89.5
571.3,1.323,76.73
863.2,1.552,86.5
746.2,1.532,86.15
589,1.234,88
539.6,1.204,87.61
618.5,1.17,79.78
643.1,1.238,87.23
870.8,1.549,86.42
649.1,1.509,82.47
743.5,1.077,93.62
743.9,1.325,89.54
786.4,1.288,91.28
559,1.416,82.4
704.8,1.016,94.06
543.6,1.798,80.16
798,1.137,95.49
826.8,1.707,85.97
771.7,1.124,91.31
675.5,1.321,83.26
604.3,1.149,90.1
761.3,1.337,88.65
864.9,1.98,86.19
788.6,1.98,78.6
818.7,1.305,84.72
690.8,1.204,88.03
708.3,1.98,80.82
889.4,1.07,92.35
705.9,1.149,91.1
839.7,1.98,82.27
601.3,1.306,90.23
569.5,1.592,81.66
679.3,1.98,81.22
957.8,0.9005,97.86
486,1.346,80.12
810.7,1.028,96.76
732.8,1.55,83.71
949.4,1.043,95.8
710.4,1.504,81.35
753,1.136,94.75
825.2,1.437,90.01
567.3,1.699,82.71
755.1,1.285,89.01
920.9,1.544,83.36
642.4,1.525,86.73
770.3,0.9565,95.93
788.1,1.285,91.31
697.7,1.283,84.95
853.3,1.881,83.05
759.8,1.14,94.58
583.5,1.297,88.99
646.9,1.266,89.88
798.4,1.101,91.48
750.4,1.32,89.57
667,1.381,87.09
561.2,1.89,80.07
815.1,1.26,89.63
618.9,1.299,87.56
747.9,1.518,83.47
587.9,1.42,84.31
762.3,1.283,88.51
628.6,1.534,84.37
704.7,1.98,84.89
631.2,1.249,91.78
559.2,1.368,86.89
730.1,1.853,82.54
845.2,1.296,90.59
927.7,1.209,93.59
598.4,1.214,86.97
681.5,1.98,78.93
734,1.384,86.53
822.4,0.9858,91.72
852.6,0.9847,96.86
901.2,1.042,96.75
765.8,1.091,91.51
931.2,1.277,92.8
642.8,1.335,89.44
603.2,1.412,83.55
571.8,1.546,83.93
623.2,1.547,80.58
475.7,1.727,76.25
729.6,1.282,90.89
845.6,1.781,88.37
771,1.409,83.86
695.1,1.539,86.07
741.7,1.561,90.5
655.2,1.235,89.27
921.2,1.104,92.98
785.2,1.42,86.89
698,1.428,85.82
510.2,1.98,75.35
618.6,1.211,89.52
636.7,1.98,79.15
507.7,1.637,82.2
781.3,1.352,87.17
629.9,1.271,84
728.2,1.675,88.81
1002,1.372,93.63
756.1,1.451,87.22
1040,1.054,97.52
698,1.408,85.8
722.9,1.223,84.15
630.1,1.249,81.65
648.7,1.827,85.38
1016,1.754,88.2
570.4,1.485,83.15
612.3,1.216,91.43
612.4,1.442,87.27
597.8,1.316,83.3
842.9,1.481,88.15
650.5,1.317,86.59
607.6,1.358,86.36
953.7,1.383,92.97
460.2,1.538,73.17
743.7,1.74,85.19
626.4,1.559,80.5
648.7,1.132,88.16
824.7,0.9316,94.44
633.1,1.309,88.16
672.9,1.494,87.4
774.1,1.852,78.31
613.7,1.545,85.22
777.2,1.156,90.9
822.2,1.408,90.18
770.1,1.98,77.28
600.2,1.721,82.15
545.4,1.699,80.74
764.4,1.26,88.59
575.1,1.808,81.39
847.3,1.594,90.14
898.4,1.201,93.98
817.9,1.545,91.34
860.5,1.612,86.16
628.8,1.292,89.91
564.2,1.153,84.66
819.3,1.45,90.08
853.5,1.607,82.69
441.5,1.778,77
535.9,1.448,78.01
916.3,1.796,81.61
832.9,1.499,88.74
620.6,1.481,83.67
736.7,1.37,86.48
718.2,1.387,87.39
638.1,1.331,85.86
917.3,1.176,94.02
694.8,1.084,94.25
750.1,1.433,88.42
738.5,1.614,84.77
637.7,1.644,81.15
953.9,0.9066,99
427.2,1.915,72.51
572.3,1.306,85.58
692.3,1.582,83.31
971.1,1.468,91.17
774.7,1.756,86.59
694.3,1.266,85.09
646,1.778,81.38
643.6,1.259,88.9
802.6,1.451,87.56
645.2,1.203,88.45
624.3,1.567,84
672.6,1.638,81.78
