ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
7.031,0.549,45240,1.974,10170,1.713
7.319,0.5029,45770,1.771,8200,1.831
8.247,0.5165,44480,1.664,7621,1.462
7.652,0.5081,46120,1.787,9406,1.835
6.818,0.5021,47630,1.989,6752,1.819
7.056,0.5042,43920,1.765,6949,1.99
8.101,0.5086,44380,1.582,8052,1.641
7.101,0.5115,42110,1.984,6946,1.952
9.345,0.5485,42550,1.934,7238,1.648
6.95,0.5021,45060,1.758,7769,1.565
8.761,0.5158,46030,1.94,7671,1.707
6.896,0.5226,47490,1.903,7723,1.397
7.118,0.5131,46240,1.867,8858,1.962
8.344,0.5107,48490,1.903,8940,1.861
7.417,0.5178,45570,1.677,9251,1.98
9.749,0.5277,50090,1.603,6855,1.671
8.402,0.5126,44640,1.645,6939,1.166
7.857,0.5057,45090,1.993,6624,1.27
7.746,0.5364,48650,1.944,7263,1.291
8.135,0.508,45280,1.803,6618,1.473
8.004,0.5163,44730,1.865,7529,1.82
7.671,0.5116,46460,1.954,8860,1.915
7.705,0.5018,46410,1.995,6855,1.852
6.659,0.519,45120,1.788,7511,1.941
9.228,0.5035,46830,1.953,7545,1.999
9.798,0.5051,47630,1.839,7946,1.952
8.714,0.5134,48470,1.805,7509,1.706
6.782,0.5113,45880,1.712,8005,1.441
8.67,0.5133,46350,1.975,6595,1.307
7.18,0.5271,46520,1.852,7136,1.48
9.466,0.5424,47870,1.846,6733,1.516
9.003,0.5388,43270,1.91,8383,1.246
7.574,0.5082,47060,1.874,8201,1.68
6.79,0.5009,46910,1.938,8567,1.859
7.221,0.5481,43450,1.688,6978,1.422
7.196,0.52,46450,1.653,6878,1.549
11.21,0.5115,45790,1.867,7317,1.532
10.31,0.5025,46170,1.998,7834,1.873
8.688,0.5011,45780,1.815,7886,1.862
5.735,0.5027,46340,1.883,8718,1.589
7.64,0.5089,45350,1.952,7190,1.559
7.162,0.5344,46390,1.93,6862,1.651
5.855,0.512,46270,1.889,6397,1.291
10.6,0.5678,46320,1.807,6990,1.253
8.31,0.5047,45500,1.917,6545,1.8
8.616,0.5031,45550,1.94,7183,1.406
7.494,0.501,43930,1.946,8254,1.818
9.781,0.5313,48600,1.999,9429,1.367
10.63,0.5284,46120,1.987,10740,1.869
7.316,0.5022,46700,1.983,7409,1.905
7.698,0.5034,47500,1.85,7330,1.67
7.391,0.5007,45270,1.821,6709,1.946
8.388,0.5203,44020,1.738,5946,1.346
7.433,0.5075,48700,1.834,6637,1.515
6.767,0.5052,42680,1.947,8001,1.965
7.57,0.5083,49120,1.912,8364,1.726
6.917,0.5037,47370,1.74,6935,1.531
7.638,0.512,45620,1.505,8149,1.671
7.226,0.5048,49390,1.847,7656,1.468
8.431,0.509,45590,1.882,7214,1.789
8,0.5178,45990,1.743,6978,1.82
7.826,0.5094,47030,1.87,7768,1.928
8.212,0.5067,45520,1.805,8438,1.827
8.106,0.5515,46330,1.813,5986,1.472
10.07,0.5108,45890,1.85,7235,1.326
6.215,0.5027,45180,1.963,7684,1.241
6.59,0.5005,48070,1.847,6912,1.983
7.934,0.5216,45300,1.814,7691,1.992
7.863,0.5033,48710,1.934,7773,1.694
6.85,0.5313,47550,1.967,6924,1.808
10.15,0.5485,44600,1.937,9252,1.392
11.76,0.5195,45770,1.875,8043,1.365
11.16,0.5003,47090,1.764,10150,1.843
10.21,0.5035,47240,1.916,6892,1.289
8.24,0.5975,45370,1.796,7753,1.382
7.257,0.5373,46120,1.752,7078,1.748
9.326,0.5003,49150,1.881,7722,1.678
9.865,0.5221,43180,1.798,7165,1.86
7.328,0.521,45060,1.791,8282,1.927
6.855,0.5377,46430,1.628,8395,1.726
7.517,0.5046,45960,1.95,7586,1.331
8.776,0.5514,43990,1.57,7276,1.647
7.384,0.5249,45920,1.591,6596,1.508
10.76,0.5169,47160,1.864,6955,1.412
8.975,0.5037,48520,1.586,6369,1.432
8.411,0.5034,47050,1.724,6907,1.215
7.947,0.5065,47590,1.819,7876,1.45
8.113,0.5132,46140,1.85,6977,1.32
6.938,0.5338,47450,1.582,6135,1.494
7.265,0.5322,44030,1.57,6816,1.516
7.105,0.5067,43660,1.587,10480,1.842
8.081,0.5121,45410,1.693,7186,1.983
7.593,0.5197,47420,1.77,7149,1.527
6.533,0.5054,45960,1.959,8548,1.84
7.884,0.5129,45080,1.941,8186,1.901
9.056,0.5465,45630,1.882,7201,1.693
10.05,0.5439,46340,1.525,7768,1.957
10.2,0.5139,47820,1.849,7874,1.909
7.844,0.5088,45940,1.887,7766,1.826
