ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
7569,1.115,7810,0.9607,514.7,0.8483,40.96,1.093
7258,0.8232,6933,0.7785,678.8,1.052,41.97,1.042
8586,0.8987,6127,0.983,663.9,1.15,46.67,1.124
8831,1.079,8028,0.9192,689.7,1.251,45.75,1.238
6615,0.9791,6356,1.242,411.2,1.013,37.96,1.174
8033,0.9108,8550,1.282,464.5,0.9063,41.79,1.121
9956,1.505,9106,1.178,402.2,1.043,39.87,1.193
11060,1.12,7698,1.344,497.8,1.036,42.8,1.142
9397,0.7225,7751,1.224,470.4,0.9259,48.1,0.9728
7699,0.7723,8110,1.124,680.7,1.012,50.01,1.036
10930,0.9076,10070,1.033,480.4,1.441,45.31,1.059
4610,1.232,7753,1.243,625.2,1.524,41.53,1.14
7446,0.9518,9141,0.9561,634.2,0.9642,44.35,1.148
6222,0.8,7560,0.8896,669.1,1.207,42.14,1.22
9223,0.7267,8307,1.34,918,0.8761,38.05,1.252
7998,0.9332,8186,1.079,524.8,0.7199,40.55,1.098
8168,0.8202,8543,1.18,485.9,0.8109,41.24,1
6328,0.8234,9203,0.9228,667.6,1.004,46.91,1.09
9935,1.077,7120,1.051,762.3,1.146,41.42,1.2
8470,1.256,9103,1.641,576.7,1.085,35.96,1.002
9066,1.042,9498,0.7629,580.1,1.184,46.84,1.11
7576,0.9758,7751,1.132,474.8,0.9084,42.07,1.14
8520,1.115,10120,1.086,793,1.421,42.46,1.088
8184,1.301,11060,1.23,527.2,0.6663,43.88,1.096
11590,0.9608,8918,1.194,384.4,0.893,42.44,1.049
8569,1.85,7317,0.9796,405.5,1.142,40.1,1.185
8529,1.244,7562,1.279,512.3,0.954,37.46,1.153
7416,0.8857,8565,0.8894,514.7,1.166,42.42,1.086
6181,0.8961,8502,1.134,543.4,1.28,44.7,1.145
7330,0.9995,10890,0.8911,581.3,1.542,40.86,1.198
5498,0.9952,8210,1.08,715.3,0.9079,39.32,1.045
7019,1.28,7695,1.228,507.6,1.001,42.34,1.109
7939,0.9852,7236,0.993,618.8,0.8738,46.4,1.208
9345,0.8988,6985,1.392,512.1,0.8165,44.16,1.18
5896,0.8482,8889,1.119,511.4,1.126,41.42,1.137
6803,0.8333,8185,1.158,294.4,1.074,40.69,1.05
12910,0.934,7065,1.078,346.7,1.581,44.12,1.099
7580,0.6643,6894,0.6725,967.2,0.8771,43.98,1.159
4859,0.8385,6150,1.59,525.9,0.778,42.76,1.115
6143,0.6753,5687,1.067,648.1,0.9092,44.45,1.102
6654,0.8736,11840,1.214,491,1.513,41.47,1.119
9438,0.9644,8456,0.8716,455.8,1.547,45.5,1.084
8503,1.064,9336,1.264,486,1.474,43.76,1.149
9529,0.6375,8008,1.024,610.4,1.254,42.69,1.168
9270,0.546,5296,1.167,654.8,1.265,41.94,1.038
5426,0.8228,8776,1.078,478.4,1.146,44.2,1.109
5820,0.7367,7287,1.198,443,1.076,47.96,1.154
7210,0.9954,9307,0.7682,628.9,1.055,41.3,1.111
6765,0.9466,7153,0.9861,572,0.9075,46.52,1.025
13840,0.7504,7742,1.118,611.4,0.8708,42.15,1.08
12500,0.6002,8141,1.121,558.4,1.054,48,1.099
10720,0.8404,8463,1.359,416,1.134,40.79,0.879
9601,0.9051,7233,0.9456,450.6,1.164,38.43,1.247
9965,1.547,3929,0.9023,587,1.171,41.53,1.188
8411,1.314,7934,0.9455,521.3,0.9742,44.95,1.203
8626,1.192,9889,1.083,450.8,0.9469,41.52,1.104
7490,0.9106,9390,0.9096,509.4,1.065,42.42,1.072
5646,1.089,7743,0.9816,425.2,1.05,39.75,1.013
6553,1.044,7203,0.8223,557.7,0.8501,40.47,1.146
9120,0.7675,6376,0.9162,529.6,1.276,46.31,1.221
8414,0.8158,5643,1.132,645,1.027,40.74,1.191
8764,1.283,6985,1.113,609.7,1.338,44.57,1.039
7194,1.124,9382,1.291,427.8,0.9406,47.06,1.221
5333,0.9989,6848,0.8783,490.7,1.059,38.95,1.104
8035,1.002,6764,1.077,474.5,1.126,42.59,1.142
7595,0.8808,9471,1.119,572.9,1.079,42.39,1.141
4067,1.093,8151,0.748,510.4,0.9526,39.35,1.143
9905,0.7881,6017,0.8679,545.1,1.07,39.5,1.122
8047,1.152,8064,1.024,631.1,1.099,38.34,1.223
8169,1.039,9115,1.193,450.2,0.9052,44.27,1.149
8469,1.127,8566,1.103,443.6,0.926,43.94,1.204
9385,1.238,7147,0.966,401.7,1.102,42.26,1.127
7032,1.012,10600,0.9705,704.9,0.9694,40.11,1.249
6315,1.025,7737,0.9405,533.9,1.319,43.85,1.157
7132,0.7238,7499,1.132,667,1.087,40.87,1.111
9103,0.7718,7104,0.8203,741.5,0.6787,41.56,1.191
7709,0.8611,7585,0.8351,499.5,1.225,41.95,1.038
6516,1.413,9531,1.398,543,1.065,45.66,1.191
7417,1.294,8278,1.545,453.3,0.9308,43.23,1.04
10340,1.58,7837,0.7362,561.9,1.045,42.5,1.05
5656,1.265,8146,1.217,573.8,1.018,45.58,1.149
10770,1.285,9378,1.145,447.7,1.242,43.79,1.212
7061,0.7451,7930,1.139,521.6,0.8527,37.59,1.274
8712,1.538,9739,1.21,347.7,0.8204,32.86,1.093
4648,0.7612,7438,1.053,293.1,0.9889,36.76,1.11
5354,1.002,5892,1.054,303.9,0.8359,41.34,1.073
7976,1.21,9280,1.076,455.8,1.222,49.83,1.219
10780,1.041,12460,0.9588,471.9,1.092,45.31,1.205
7214,0.9497,8571,0.88,431.8,0.9395,46.19,1.073
8668,0.9706,9616,0.8568,444.1,1.041,42,1.052
