ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
746,1.945,66010,1.252,277,1.017
811.4,1.836,66230,0.7985,279.1,1.16
753.1,1.818,32470,0.6961,286.1,1.113
785.8,1.95,30060000,0.5281,279.4,1.267
773.5,1.928,578900,0.5122,329,0.8835
775.9,1.991,282500,0.5272,298.8,1.219
778,1.818,11850,1.106,297.2,1.039
839.1,1.984,13300,0.9828,302.4,0.9732
855.6,1.959,42060,0.817,325.1,0.9906
878.7,1.972,39400,0.76,267.3,1.086
765,1.995,813800,1.922,287.4,1.105
790.4,1.846,7.493e+09,1.453,299.8,0.8003
780.2,1.982,32240,1.001,334.3,0.7554
784,1.963,67880,1.819,278,1.399
795.5,1.957,5398,1.591,374.2,0.7974
771.1,1.999,21880,0.8005,367.2,0.8403
763.8,1.999,75330,0.5698,293.4,0.9391
771.4,1.961,509800,0.625,295.5,1.267
804.8,1.887,1.022e+09,1.616,267.5,1.123
778.6,1.914,1073000,1.798,292.3,1.225
803.1,1.916,6558,1.525,318.9,0.9405
798.7,1.971,95770000,0.5023,334.2,1.019
789.8,1.949,4317000,1.541,281,1.104
810.3,1.897,18830,0.8735,332.7,1.166
836.9,1.957,76990,0.9874,287.8,1.261
760.9,1.9,13740,1.051,237.6,1.088
792,1.937,40600000,0.8731,300.5,1.042
785.1,1.95,17950,0.8162,344.5,1.078
886.7,1.856,362500,0.5146,280.9,1.105
817.7,1.728,157200,0.5638,296,1.064
799.9,1.854,8281,1.013,324.4,0.8985
799.7,1.961,6243,1.027,269.8,0.986
799.5,1.805,40970000,0.7453,304.1,1.015
750.9,1.875,7548,1.694,324.4,0.8769
840.7,1.643,328300,1.993,266.8,1.001
837.8,1.642,357700,1.163,353,0.9026
740.7,1.953,48660,1.254,273.8,1.055
808.7,1.952,2548,1.864,316.8,0.8964
809.6,1.979,335700,0.6001,294.7,0.9699
733.6,1.969,194500,0.6597,366.3,0.8748
767.3,1.947,44660,0.7593,308.3,1.193
812.8,1.982,179000,0.8958,305,0.9252
770,1.988,246900,0.6477,307,1.011
773.1,1.945,74840,0.5506,306.3,1.025
851.7,1.922,48730,1.083,313.3,1.104
750.3,1.912,6011000,1.939,299.7,1.113
762.6,1.742,8573,1.524,268.3,1.175
833.8,1.873,352800,1.526,281.9,1.133
837.9,1.602,119300000,1.533,264.6,1.157
855.3,1.641,1448000,0.5584,270.7,0.9521
811.3,1.746,43370,1.713,254.6,1.161
829.8,1.979,389600000,1.84,321.1,1.08
818.5,1.932,993700000,1.852,378.2,0.7766
827.7,1.998,6268000,1.557,307.2,1.006
826.9,1.674,242600000,1.487,287.9,1.021
772.1,1.816,49450,1.706,272.3,0.9742
791.1,1.991,200600,0.8605,286,0.9867
799.5,1.758,42580000,1.914,287,1.253
721.3,1.997,1.776e+09,0.5373,316.5,0.9401
780,1.997,54000,0.5707,289.7,0.8744
782,1.945,1.481e+09,0.8009,268.2,0.8732
789.3,1.999,68890000,0.5572,315.5,1.044
775.8,1.947,1643000,1.607,280.6,1.084
752.7,1.895,3750000,1.559,300,0.935
794,1.931,4692000,1.916,312.2,0.9111
793.1,1.972,43400,1.727,255.8,0.922
799.8,1.886,10060,1.738,294.9,1.364
724.9,1.771,7252,1.891,295.5,0.8712
889.2,1.883,189500,1.263,290.2,0.9975
825.9,1.904,14510,0.7632,353.1,0.8316
847.5,1.89,10590,1.345,305.6,1.145
696.7,1.718,12930000,1.904,343,0.7571
745,1.611,7414000,1.714,336.5,0.9371
798.3,1.739,3930,1.607,297.8,1.092
796.3,1.752,395500,0.649,283.2,1.258
760.1,1.9,6299,1.317,309.1,0.9157
835.3,1.963,1794000,1.459,334.5,0.9512
792.9,1.994,87630000,1.337,251.9,1.007
835.2,1.978,225900000,1.032,289.6,1.06
827.9,1.939,312200,1.638,381.9,0.875
827.1,1.789,6773000,1.623,281.8,1.142
850.6,1.994,237700,1.994,312.9,1.007
818.7,1.963,8292000,1.871,356.3,0.7203
772.2,1.906,32710,1.35,271.8,1.281
784.7,1.885,405000,0.5689,288.6,1.602
870.4,1.981,13680,0.8579,255.2,1.192
776.7,1.759,194700,0.5924,314,1.235
769.5,1.625,21420,0.8837,315.6,0.9962
794.8,1.737,12170,0.8977,369.1,0.8924
818,1.864,8474,1.05,298.9,0.9698
747.9,1.899,82590000,1.277,351.8,0.8211
799,1.923,162800000,0.9612,280.8,1.462
785.1,1.964,68450,0.8094,321.1,1.971
786.4,1.783,5951,1.396,257.8,1.848
775.2,1.538,3860,1.28,368.8,1.038
846.3,1.713,135400,1.478,327.2,0.9912
789.2,1.942,2.707e+09,1.189,300,0.9999
816.1,1.99,103100000,1.09,297.6,1.102
814.2,1.999,2.146e+09,1.81,333,1.072
790,1.873,338600,0.9071,291.4,1.04
750.6,1.853,102800,0.5633,281,1.062
825.6,1.807,598100000,1.244,315.9,1.003
746.6,1.903,4.089e+09,1.36,285.2,1.104
809.4,1.977,129800000,1.779,292.5,1.318
