ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
1608000,1.893,958700000,1.864,55690000,1.117,242900000,0.556,6.711e+09,1.637,268900000,1.46,247400,0.8987
8391000,1.686,309200000,1.316,416200000,1.998,7.956e+09,0.5271,6.217e+09,1.586,931100000,1.121,356800,0.9237
13040000,0.7264,6.793e+09,0.5929,383500000,0.8519,21670000,0.8643,654100000,1.827,61410000,1.845,243000,1.254
5.917e+09,1.361,121900000,1.684,157100000,1.415,268100000,1.424,816200000,1.313,9456000,1.489,267600,1.449
4.467e+09,1.795,841200000,1.772,58450000,0.638,27380000,0.822,5.105e+09,1.567,63900000,1.928,199200,1.521
7.65e+09,0.9889,1.749e+09,1.987,2.25e+09,0.5703,19380000,0.8894,605900000,1.755,61800000,1.403,290800,1.271
96930000,0.5449,77360000,1.668,19190000,1.121,8056000,1.264,32380000,0.9888,5270000,1.991,246800,1.367
2470000,1.815,318800000,1.141,5.09e+09,1.79,5672000,1.211,92690000,1.009,208200000,1.776,230800,1.358
2.878e+09,0.5217,6.879e+09,1.381,5459000,1.099,54720000,0.6363,83370000,1.674,44330000,1.746,325300,1.018
9423000,1.835,262800000,0.7433,52200000,0.6143,5447000,0.8737,865900000,0.7326,193400000,1.96,207700,1.185
6023000,1.621,158200000,1.739,815900,1.384,3626000,1.241,27250000,1.51,426700000,1.605,227600,0.9429
910800000,0.9849,97330000,1.757,97280000,1.773,4528000,1.219,1.3e+08,1.332,917100000,1.831,278800,1.383
87530000,1.982,5.409e+09,1.956,4.18e+08,1.151,8.186e+09,1.588,630100000,1.457,2.151e+09,1.478,326200,1.608
2972000,1.59,1665000,1.743,3105000,1.601,5.84e+08,1.822,46910000,0.9355,1.451e+09,1.89,266300,1.727
1.448e+09,0.9247,140400000,0.8682,398300000,1.551,4.863e+09,1.222,19790000,1.909,484500000,1.633,287000,1.086
4219000,0.7292,946700000,0.6116,79900000,0.57,3480000,1.019,4464000,1.808,292800000,1.094,346900,1.256
64940000,0.7542,7196000,1.275,2.694e+09,1.925,13130000,1.489,28980000,0.9778,7.741e+09,0.9937,278500,1.125
55330000,1.045,36420000,1.095,2.929e+09,1.938,5438000,1.245,87020000,1.653,1.136e+09,0.7173,274700,0.8342
110600000,1.813,180500000,1.026,3.988e+09,0.6777,37980000,1.116,9932000,1.843,1.485e+09,1.907,203300,1.527
59030000,1.108,353400000,1.959,5488000,1.259,27350000,0.8248,30440000,1.869,546800000,1.542,288000,1.411
3543000,1.944,48780000,1.323,7.839e+09,1.406,30290000,0.6613,598200000,1.528,771900000,1.74,285900,1.709
4005000,1.861,5761000,1.184,6.068e+09,1.124,10770000,0.9122,35670000,0.8255,1.652e+09,1.767,276000,1.027
496200000,1.384,8.673e+09,1.279,1.509e+09,1.555,57270000,1.889,33240000,0.8981,8.965e+09,1.552,342200,0.901
344700000,1.354,6.771e+09,1.586,1.026e+09,1.579,3.64e+08,1.345,9.404e+09,1.432,1.311e+09,1.637,242100,1.016
20230000,1.33,9537000,1.862,3482000,1.964,4.88e+08,1.522,2.397e+09,1.511,1.977e+09,1.674,378200,0.9627
6.183e+09,1.213,409200000,1.464,7.715e+09,1.676,69640000,0.6815,803600000,1.552,7.807e+09,1.684,334700,1.288
17400000,1.77,38910000,0.9827,38970000,1.825,1413000,1.722,15720000,1.378,186100000,0.8229,479900,1.185
2864000,1.364,1.762e+09,1.392,7014000,1.519,4352000,1.501,4669000,1.811,5011000,1.988,340300,0.8948
2.089e+09,1.3,17280000,1.18,320200000,1.467,41440000,0.6241,745400000,1.311,1.049e+09,1.075,264700,1.283
56330000,1.14,13440000,1.136,11390000,0.7598,11160000,1.527,792300000,0.6175,52900000,1.029,283300,0.9818
13040000,1.038,82590000,1.086,21020000,1.457,3.48e+08,1.192,11410000,1.436,7688000,1.138,272000,1.109
607900000,0.8281,2907000,1.51,32610000,0.696,4467000,1.502,348600000,1.467,2.673e+09,0.6358,264900,1.201
137900000,1.025,10550000,1.749,109400000,1.267,2.651e+09,1.304,10060000,1.026,2.687e+09,1.032,286800,1.09
1.44e+08,0.8112,516600000,1.012,111100000,1.352,158600000,0.5072,821700000,0.6563,280200000,1.007,262600,1.191
6760000,1.139,28930000,0.6864,2678000,0.7867,420600000,0.5325,7544000,1.351,7.758e+09,0.724,272900,1.346
2.218e+09,1.269,38850000,0.6882,164100000,1.561,8856000,0.9486,7399000,1.489,3.121e+09,1.29,233100,1.272
2.036e+09,1.388,741400000,0.6148,68870000,1.661,84570000,0.9586,7.634e+09,1.736,2.39e+08,1.796,237500,1.585
238900000,1.759,186500000,1.048,14140000,1.295,170100000,0.7549,4.866e+09,1.828,268400000,1.322,451300,0.8613
1.383e+09,1.262,25100000,0.9953,3213000,1.348,6.399e+09,1.227,1.425e+09,1.242,2.642e+09,1.018,746900,0.6314
4.99e+08,0.9156,5553000,0.9032,8253000,0.9805,8566000,1.692,3.139e+09,1.218,318600000,0.8804,1358000,0.5952
4100000,1.23,1061000,1.492,205800000,0.654,7743000,0.8126,8.73e+09,0.5189,16340000,1.457,1103000,0.5511
5827000,1.966,1.272e+09,0.9941,10700000,1.37,19240000,0.7254,5658000,1.829,2.134e+09,0.8435,577600,0.7305
6995000,0.6954,792800000,0.5644,175300000,0.6254,6485000,1.035,1.322e+09,0.6128,170700000,1.776,357400,0.6804
898600000,0.8066,2943000,1.345,30720000,1.678,12650000,1.028,3.787e+09,0.9461,5.89e+08,1.054,211500,1.036
8259000,1.489,10690000,1.424,1506000,1.7,31400000,0.7303,9.367e+09,0.9552,3.117e+09,1.592,286500,1.467
3.227e+09,0.5438,8902000,0.9606,5941000,1.723,4994000,1.337,36940000,1.495,6.212e+09,1.952,266600,1.404
2.747e+09,0.5239,202200000,0.76,3519000,0.9863,1637000,1.712,9160000,1.658,1.86e+09,1.515,281200,1.357
1.302e+09,0.7043,146900000,0.7335,222800000,1.531,3192000,1.613,7655000,1.672,2.449e+09,1.334,348000,0.8246
8.186e+09,1.953,274800000,1.373,3958000,1.682,5107000,1.127,2.173e+09,0.6768,2.087e+09,1.394,305300,1.005
364800000,1.55,74210000,0.9399,608300000,1.186,48580000,1.112,272800000,1.117,5413000,1.7,313500,1.021
75230000,1.967,2.551e+09,1.577,3.704e+09,0.9876,8470000,0.9415,176300000,1.167,879600000,0.9648,386500,1.445
7.095e+09,1.032,891900000,0.8683,272900000,1.296,82770000,0.6943,661300000,1.583,63630000,1.727,340900,1.09
5596000,1.823,99470000,1.808,7.274e+09,1.54,14170000,0.655,11290000,1.586,2764000,1.926,337600,1.134
27460000,1.012,5793000,1.95,4.152e+09,0.8026,43610000,0.9947,239700000,0.9414,4.618e+09,0.5685,250000,1.246
654200000,1.768,1375000,1.955,6.25e+08,1.359,67730000,0.8489,638200000,1.755,95610000,1.82,312100,1.151
2.091e+09,1.287,3648000,1.653,691600000,1.107,4.273e+09,1.046,405400000,0.5468,407700000,1.197,226500,1.193
286700000,1.328,3248000,1.822,68680000,1.842,74040000,1.735,14010000,1.539,673200000,0.8889,258300,1.176
58380000,1.825,16020000,1.651,247100000,1.021,108200000,1.798,5.175e+09,1.145,73540000,0.889,277000,1.254
13150000,1.858,76990000,1.996,3.685e+09,0.5763,18190000,0.8928,306600000,0.98,10710000,1.79,329800,1.499
385700000,1.74,2057000,1.693,5e+08,0.8383,22390000,1.425,7.394e+09,1.399,94910000,1.501,282500,1.133
34620000,1.758,784300000,0.5827,6.195e+09,0.7549,6471000,1.108,366100000,1.538,119600000,1.678,305900,1.222
246300000,0.5826,119500000,0.6979,130500000,1.735,251400000,0.6555,4.007e+09,1.918,2.423e+09,0.9747,332900,0.8297
1.451e+09,1.411,330900000,0.9811,2.934e+09,1.587,545100000,0.8551,551500000,1.789,7.83e+09,1.139,297900,0.9851
6.862e+09,0.6025,127400000,1.404,53330000,1.462,4174000,1.409,22190000,1.483,2.251e+09,1.618,342600,1.062
52450000,1.918,6098000,1.659,258300000,0.721,69020000,1.736,376300000,1.286,15180000,1.863,328800,0.919
26200000,1.043,16270000,1.522,2.524e+09,0.6632,3.97e+09,0.7492,7.544e+09,1.838,12800000,1.184,323600,1.093
704800000,0.9138,5104000,1.147,1.349e+09,1.316,7.142e+09,0.5307,1.813e+09,1.971,422300000,0.5782,294000,1.037
588900000,1.948,17030000,1.856,379300000,0.9868,3.643e+09,0.5787,2.818e+09,1.005,67890000,1.353,226700,1.152
1.06e+09,1.673,2450000,1.687,19930000,0.7479,49920000,0.8563,1.765e+09,1.46,1.85e+09,1.606,406200,0.7931
98890000,1.3,414300000,1.305,6.794e+09,1.426,7123000,1.468,56530000,1.098,426800000,0.788,232100,1.09
20370000,0.8404,1.487e+09,1.706,7.837e+09,1.068,78120000,0.7184,59360000,1.71,355800000,1.839,264200,1.266
1.288e+09,1.494,766900000,1.776,1517000,1.245,1.401e+09,1.603,6.885e+09,0.5117,39710000,1.94,264900,1.074
7.155e+09,1.317,99460000,1.347,28180000,1.85,41730000,0.6682,110900000,1.051,41710000,1.294,288700,1.366
6.336e+09,0.8334,75920000,1.653,55960000,1.28,785100000,1.433,803100000,1.876,568600000,0.9182,293400,1.172
2.83e+09,1.656,87560000,0.9611,68540000,0.9167,475200000,1.281,451300000,1.504,3.665e+09,1.219,294000,0.909
149400000,1.848,5448000,1.521,23130000,1.241,162500000,1.011,315200000,1.439,78490000,1.336,290800,1.398
1.2e+08,1.622,2.025e+09,1.871,1934000,1.217,66400000,0.8786,7459000,1.682,33770000,1.607,264800,1.295
1.464e+09,1.866,50960000,1.63,61170000,1.719,121600000,1.75,7048000,1.656,406300000,1.573,322900,1.151
1.778e+09,1.954,10570000,1.055,172400000,1.689,1980000,1.598,633600000,0.9154,72200000,1.36,251400,1.337
111900000,1.466,32070000,0.7587,12940000,1.415,11810000,0.7574,3.61e+09,0.9846,47560000,1.77,266400,1.123
33730000,1.629,5305000,1.42,327100000,1.056,2.591e+09,1.707,16430000,1.9,154200000,1.801,246500,1.001
9.936e+09,1.439,3903000,1.226,23490000,1.702,1.155e+09,1.951,6043000,1.903,36720000,0.7699,203600,1.206
85700000,1.449,105800000,0.7401,8041000,1.479,1.01e+09,0.9685,149100000,0.7002,181300000,1.899,304200,1.258
115500000,1.582,10530000,1.223,15730000,1.924,16010000,1.541,41310000,1.363,1.598e+09,1.32,311500,1.107
17760000,0.6603,2.574e+09,1.803,167400000,1.462,7056000,0.9961,52390000,1.201,231200000,1.197,376500,0.7701
82940000,1.178,32680000,1.605,140300000,0.5212,1755000,1.549,6897000,1.469,317100000,1.04,303700,1.099
23310000,0.7622,232100000,1.295,693400000,1.969,524900000,1.821,7007000,1.241,2.754e+09,1.121,262700,1.709
43620000,1.445,12630000,1.914,137400000,0.5503,1.13e+09,1.405,408300000,0.8289,29670000,1.841,339900,0.9494
2095000,1.834,3.23e+08,1.98,2342000,1.181,4310000,1.631,39170000,1.402,392100000,0.8027,285000,0.9617
8.08e+08,1.045,9.955e+09,1.562,16340000,1.825,2781000,1.755,86710000,1.178,1.159e+09,1.715,257100,1.663
579700000,1.887,4.78e+09,1.859,1.186e+09,1.566,441600000,0.5207,1.815e+09,1.601,8.925e+09,1.018,255300,1.22
94420000,1.183,1774000,1.412,1.727e+09,0.5027,272100000,0.8948,117600000,0.9604,920400000,1.905,404900,0.9584
13800000,1.204,896800000,1.668,25630000,1.211,974400000,0.8671,21930000,1.571,9.392e+09,1.308,254800,1.248
2185000,1.303,8642000,1.753,80220000,1.667,6.17e+08,0.8414,23810000,1.798,2.403e+09,0.8397,468900,0.7366
1660000,1.343,1858000,0.9554,8.525e+09,1.112,55040000,0.7233,129800000,1.122,1.052e+09,1.302,334600,1.221
11820000,1.351,8.094e+09,0.6458,1377000,1.965,76640000,1.745,34800000,1.269,275300000,1.065,321900,1.264
44140000,1.279,3.222e+09,1.311,24150000,1.425,4.733e+09,1.763,1.42e+08,0.809,1.396e+09,0.593,347700,1.153
4636000,0.9241,3704000,0.9431,94330000,1.438,9196000,0.9066,1.262e+09,1.015,337700000,0.9611,324900,1.035
