hERG_IC50,hERG_h,hERG_Bmax
5.605,1.172,86.99
5.106,1.284,84.89
4.689,0.9181,86.46
6.063,1.092,91.65
5.464,1.113,87.67
6.716,0.872,95.88
5.408,1.297,84.28
4.89,1.014,85.06
5.154,0.857,89.15
5.485,0.9712,90.25
5.289,0.8728,91.21
5.389,1.034,87.93
5.19,0.9461,88.38
4.509,1.094,81.87
4.327,1.052,81.22
6.363,1.058,94.11
4.295,1.213,82.64
4.469,0.947,83.39
4.843,0.9516,85.98
5.747,1.056,91.97
6.83,0.89,96.71
5.37,1.181,86.45
5.708,0.8958,94.21
5.382,0.9896,89.89
5.147,1.207,86.17
5.518,0.7995,90.89
4.382,0.9727,85.25
5.78,1.01,89.04
4.747,1.205,82.6
5.191,1.114,86.76
5.652,0.9866,92.74
4.867,1.219,85.23
5.704,0.8734,92.32
5.421,1.135,88.25
5.346,1.117,86.45
5.811,1.006,92.31
6.395,1.202,90.31
5.865,1.011,88.73
7.228,0.9313,96.82
5.155,1.038,85.36
4.998,0.9812,86.99
4.913,0.8646,89.54
4.107,0.9354,81.06
5.203,1.221,86.08
5.559,1.015,90.64
5.879,0.8765,90.37
5.128,1.061,84.43
5.748,1.345,87.99
6.355,0.9499,98.52
5.583,0.9666,87.59
7.385,0.8527,99
5.814,1.297,89.18
4.801,1.308,82.01
5.144,1.33,83.41
5.685,1.229,89.15
4.756,1.011,84.8
4.972,0.9159,84.02
5.899,0.9055,93.13
6.098,1.183,91.14
4.892,1.132,85.86
5.865,1.092,90.47
5.562,1.009,92.02
6.062,1.236,90.78
5.868,1.242,86.64
4.506,1.095,82.99
4.759,0.9791,86.5
4.43,1.089,81.53
5.252,1.012,87.56
5.62,0.9477,91.93
4.313,1.109,81.45
5.822,1.261,87.64
5.281,1.087,88.79
5.784,1.026,90.27
4.317,0.9586,85.3
4.618,1.2,80.22
4.837,1.186,83.31
5.28,0.9619,90.36
5.484,1.086,88.73
5.33,1.109,88.5
5.991,0.816,89.44
5.393,0.9996,88.76
6.192,1.171,89.63
6.386,1.136,88.91
5.985,1.017,94.28
5.502,0.8888,90.89
5.586,0.9258,90.66
4.645,1.322,82.49
5.531,1.178,88.11
6.699,0.8466,98.68
5.846,1.038,90.31
4.698,1.344,81.13
5.527,1.201,87.73
5.8,1.124,89.56
5.86,1.066,90.26
4.948,1.014,85.32
4.757,1.154,83.57
4.741,1.337,81.41
5.669,1.089,88.54
5.172,1.123,86.58
4.924,1.388,82.32
6.962,0.7191,99
5.655,1.027,88.51
5.824,0.8403,91.42
5.689,1.042,90.92
5.822,1.085,89.1
5.976,0.8091,91.3
4.482,0.9915,82.94
5.137,1.213,86.02
5.515,1.195,86.45
5.467,1.285,87.06
5.697,0.9972,90.15
6.595,0.803,99
4.297,1.149,81.34
5.183,1.234,84.17
5.284,1.197,86.4
4.513,1.374,81.87
5.731,0.9791,89.46
6.31,0.9989,94.1
4.967,1.114,84.16
5.344,1.042,88.62
6.032,0.8702,92.45
5.185,1.044,87.96
5.175,1.001,85.65
6.172,1.075,90.67
5.719,1.212,88.71
6.507,0.8633,94.97
