ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
15270,1.701,5148,1.377,3730,1.98
15650,1.953,5497,1.379,3953,1.957
13180,1.992,4549,1.46,3942,1.817
14990,1.47,5882,1.524,3762,1.885
14060,1.72,5233,1.403,3938,1.955
14520,1.68,5283,1.409,4365,1.933
14710,1.628,5316,1.278,3930,1.925
14630,1.659,5414,1.19,3859,1.974
13920,1.914,5857,1.41,4216,1.717
14530,1.794,6084,1.233,4408,1.642
15280,1.377,6097,1.332,3660,1.862
16130,1.883,5928,1.529,3554,1.968
13640,1.503,5832,1.411,4054,1.964
14160,1.988,5433,1.452,3386,1.621
14840,1.525,5630,1.41,3475,1.89
14810,1.843,4990,1.373,3649,1.861
12550,1.735,5397,1.391,3524,1.755
15040,1.762,5402,1.425,3552,1.881
13250,1.711,4931,1.497,3884,1.893
13830,1.851,5405,1.513,3542,1.456
15650,1.705,5820,1.336,3897,1.922
14910,1.928,5789,1.206,4215,1.803
13010,1.664,6238,1.379,4049,1.921
14520,1.628,5578,1.453,3344,1.515
13940,1.376,5141,1.447,4147,1.389
15470,1.704,5551,1.328,3870,1.597
14960,1.601,5726,1.418,3839,1.556
16140,1.919,5595,1.341,3685,1.772
16130,1.622,6112,1.384,4493,1.84
15450,1.887,6141,1.465,4446,1.671
16020,1.632,5288,1.616,4334,1.98
15230,1.526,5253,1.567,3625,1.96
13370,1.773,5209,1.377,3663,1.637
14160,1.414,5610,1.55,3994,1.785
15090,1.57,5678,1.504,4344,1.87
13920,1.874,5645,1.362,3502,1.589
14960,1.791,5424,1.451,3491,1.613
15280,1.874,5523,1.254,3168,1.827
15540,1.644,5033,1.443,3275,1.967
15210,1.588,5423,1.357,4309,1.895
13730,1.928,5373,1.421,4607,1.825
13740,1.588,5425,1.404,4030,1.909
15890,1.622,5600,1.364,4639,1.685
12340,1.259,5167,1.384,3841,1.952
12970,1.312,6005,1.347,3384,1.903
