ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
523.4,0.8919,10650,1.128,409.8,0.8258,11950,1.296
784.4,0.615,12600,1.249,380.6,0.8527,8183,1.93
766.7,0.7683,9867,1.085,266.1,0.9031,10440,1.423
795.1,0.7314,8432,1.607,258.4,0.766,12680,1.329
909.7,0.6323,12280,1.665,419.3,0.9328,10900,1.359
730.4,0.675,7375,1.297,445.8,1.005,10800,1.286
370.5,0.8027,5149,1.435,298.8,0.9452,12620,1.423
855.9,0.8439,5254,1.401,324.5,0.886,8733,1.186
2275,1.542,9054,1.315,323.5,0.9323,11830,1.827
245,1.185,9437,1.096,280.1,0.9436,10210,1.99
402.2,1.124,10160,0.6836,335.5,0.9168,9448,1.356
269.2,0.9633,8948,0.8876,382.1,0.8994,10460,1.206
2566,1.838,10520,1.235,404.8,0.8593,9147,1.319
1709,1.929,7693,1.842,345.4,0.9488,10520,1.519
2043,1.768,11470,1.812,433,0.9118,14840,1.821
1086,0.6213,9244,1.292,403.4,0.8983,13780,1.66
2078,1.403,9253,1.6,481.6,0.9961,13900,1.64
383.7,0.586,13690,1.242,334.5,0.9807,9096,1.508
902.8,0.8356,11680,1.15,276.7,0.8829,12270,1.516
742.4,0.8537,10420,1.627,350.9,0.8761,10660,1.682
642.5,1.155,12800,1.25,302.1,0.8421,10690,1.607
415,0.6731,9984,0.7403,444.4,0.9463,10870,1.825
423.6,0.6077,11610,1.759,362.6,0.8345,10880,1.437
715,0.8169,13840,1.497,346.8,0.9507,12570,1.785
572.7,0.7165,11450,1.398,378.5,1.121,10770,1.43
1734,1.62,8918,0.8435,285.9,0.9384,10910,1.708
1538,1.726,11090,1.133,352.8,0.8645,9571,1.521
1320,1.485,11430,1.336,435.3,0.9314,9511,1.289
1607,1.938,18640,1.188,352.7,0.8856,10710,1.392
240.4,0.6045,16100,0.8906,476.5,0.8783,10910,1.127
1369,1.213,11680,1.166,379.6,0.8819,10630,1.268
607.5,0.8025,10240,1.184,385.6,0.9022,11820,1.583
313.6,0.8383,9330,1.589,300.9,0.8066,13170,1.861
775.5,0.7502,9561,0.8479,256.6,0.8442,9330,1.712
1067,0.9609,7303,1.662,315.7,0.8752,9996,1.405
1111,0.696,12200,1.312,373.2,0.9658,11390,1.775
634.4,0.7271,7477,1.021,387.2,0.8417,10510,1.526
1118,1.243,11820,1.056,359,0.9236,11940,1.76
1412,1,9615,1.132,452.8,0.8605,12850,1.413
1187,0.9373,10220,1.176,336.2,0.9676,10150,1.536
1181,0.7636,10280,1.033,435.3,0.8575,9775,1.655
368.7,0.899,13090,1.317,508.8,1.066,11760,1.215
332.7,0.5998,10360,1.479,467.1,1.079,11640,1.492
398.9,0.7028,10310,1.377,423.1,0.9682,8150,1.349
397,0.691,5004,1.866,554,0.9548,11360,1.296
1059,1.002,9207,1.72,419.7,0.9213,9480,1.215
734.1,0.8107,11480,1.109,461.1,0.8552,8736,1.095
551.5,0.6233,8665,0.8965,273.8,0.8594,12120,1.355
465.8,0.5993,13320,1.1,332.5,0.8888,10730,1.585
1062,0.6856,11560,1.192,362.7,0.8904,12220,1.702
565.9,0.6263,7750,1.039,337.5,0.8608,9425,1.599
645.9,0.574,16160,1.546,356.1,0.8459,12000,1.251
1499,1.2,11670,1.799,377.9,0.9273,9450,1.12
670.2,0.6578,10320,1.391,354.3,0.9376,10780,1.9
496.4,0.5592,7173,1.325,390.8,0.9849,10770,1.185
743.5,0.5813,12880,1.588,243.2,1.021,10170,1.408
582.9,0.6418,14160,1.606,196.1,0.9121,13610,1.665
525.6,0.6248,10950,1.258,217.5,0.9461,11570,1.38
497.3,0.8529,11400,1.349,293.3,1.149,10330,1.326
423.7,0.7088,12970,1.269,232.1,1.178,11390,1.45
1927,1.361,12520,1.161,312.9,0.8849,11350,1.601
1740,1.422,11620,1.073,394.1,0.8487,9639,1.581
474.4,1.18,9066,0.9845,324.4,0.9367,10440,1.463
2324,1.917,10480,1.381,363.1,0.8731,9627,1.322
941.8,0.9076,9372,1.254,425.8,0.9121,11010,1.129
325.5,0.7,8381,0.9933,297.3,0.9387,10100,0.883
979.7,1.267,13170,1.324,372.7,0.895,6794,1.503
1969,1.911,8812,0.7801,248.7,0.7456,9192,1.275
560.4,0.6772,13500,1.697,337.1,0.8241,9055,1.612
787.1,0.7392,7455,0.9881,305.4,1.077,11460,1.209
351.8,0.7733,4983,1.519,268,0.8137,12020,1.404
543.6,0.6687,6646,1.764,301.1,0.8645,10710,1.142
670.5,0.7105,12610,1.554,334.4,0.9181,10460,1.308
487.6,0.6239,23380,1.818,308.8,1.006,11000,1.291
424,0.7703,8667,1.477,329.2,0.855,11030,1.692
349.4,0.5635,11950,0.9829,319.3,0.8364,12350,1.653
1847,1.616,10090,0.9985,313.9,0.8856,11610,1.361
977.3,0.8815,8017,1.591,283.5,0.9134,16230,1.396
1323,1.197,6862,1.367,367.2,0.8887,10080,1.727
224.4,0.6484,14180,1.521,334.7,0.8981,10480,1.537
317.6,0.7591,12150,1.169,262.4,0.8299,10800,1.426
1335,1.311,11080,1.145,366.7,0.9438,9883,1.234
889.2,0.5631,10710,1.698,328.3,0.9491,10760,1.444
815.5,0.798,13680,1.256,461.7,0.9591,10050,1.409
427,0.697,19980,1.285,342,0.8139,10060,1.703
712.6,0.5296,10680,1.347,373,0.8314,9183,1.22
488.9,0.5308,9897,1.803,333.4,0.8692,11450,1.56
184.8,0.8047,18960,1.086,324.8,0.8948,10740,1.536
885,1.174,17110,0.7414,325.8,0.8702,12150,1.349
694.2,0.639,9269,1.44,417.5,1.172,13290,1.192
725.1,0.7938,18250,1.079,236.7,1.293,11590,1.514
427.1,0.6334,11880,1.285,517.2,1.172,9460,1.384
375.2,0.7094,6839,1.741,274.2,1.15,15410,1.414
1536,1.269,7752,1.614,312.3,0.877,14830,1.179
1239,0.774,7846,1.799,359.8,0.8751,11320,1.747
1762,1.312,9635,0.9237,384.7,0.8731,9973,1.233
535.7,0.5711,6078,1.585,437.1,1.092,11660,1.116
728.7,0.7167,8254,1.088,326.1,0.8052,11170,0.5326
568.7,0.5644,18480,1.097,348.6,0.8442,11330,1.304
405.5,0.5901,7418,1.541,294.3,0.9117,10720,1.363
625.9,0.5848,12880,1.663,340,0.8124,10080,1.295
916.6,0.8019,11000,1.362,364.5,0.895,10290,1.304
666.2,0.7431,7186,1.322,450.5,0.9618,10860,1.67
633.4,0.695,19970,1.079,380.5,0.9157,8678,1.337
972.2,0.8544,7433,0.9053,312,0.9497,14700,1.662
541.9,0.7426,8177,0.8617,310.5,0.9213,11090,1.171
647.1,0.6697,13730,1.331,315.7,0.8756,13810,1.188
673.8,0.6551,10950,1.596,342.7,0.9167,10790,1.663
1462,1.309,8350,1.124,334.8,0.908,15220,1.291
851.1,0.6695,7728,1.79,362.3,0.8799,11450,1.622
818.5,0.8214,10990,1.313,295,0.8945,11870,1.756
632.5,0.741,11320,1.195,340,0.9067,12250,1.471
197.6,0.7854,12590,1.577,401.5,0.9251,13530,1.492
931.4,0.9114,13340,1.172,262.6,0.8783,12660,1.468
309.8,0.8316,21870,1.125,326.4,1.02,14530,1.722
258.7,0.5459,11420,1.309,390.1,0.9673,11700,1.328
451.6,0.6706,10120,1.206,622.8,1.021,11080,1.355
1325,0.8834,7142,1.179,510.7,0.9516,11230,1.46
355.9,0.6512,11830,0.5811,439.5,0.9323,12240,1.243
1972,0.95,7568,1.221,314.1,0.9007,10310,1.508
614.5,0.9236,14450,0.9674,435.4,0.9627,7399,1.759
847.4,0.7646,12930,1.202,319.3,0.8169,11420,1.475
2069,1.536,8509,1.231,259,0.8487,12840,1.322
906.4,1.007,11880,1.294,248,0.9912,10400,1.405
921.9,0.7024,7708,1.915,220.7,1.072,8380,1.968
1577,0.9305,5961,1.998,303.7,0.9422,11580,1.882
646.3,0.7767,10820,1.653,247.7,0.9263,10290,1.598
537.5,0.5237,11460,0.8974,374.3,0.9687,9154,1.805
352,0.838,12520,0.6433,381.4,0.8687,10480,1.731
1427,1.171,8162,1.022,316.5,1.029,9385,1.289
453.1,0.7105,9459,1.504,433.5,0.8772,10890,1.983
1013,0.613,13950,0.9938,334.3,0.7821,7628,1.263
713.4,0.6909,9773,1.071,311.2,0.8694,10860,1.559
1328,1.29,4967,0.6179,397.3,1.066,11800,1.715
1003,0.6315,13930,1.309,272.4,0.977,12950,1.421
662,0.7007,17460,1.608,483.8,0.9789,10690,1.488
778.1,0.7929,16200,1.502,398.7,0.8144,11720,1.742
613.6,0.5356,14290,1.017,301.5,0.9339,7296,1.324
638.2,0.912,7385,1.39,286.4,0.9347,10600,1.255
681.9,0.8241,10680,1.276,433,0.9286,9468,1.621
514.8,0.7462,10720,1.224,466.2,0.9544,8580,1.128
501.8,0.5766,11020,1.405,392,0.9682,8368,1.315
1689,1.236,8884,1.229,351.6,0.8581,13060,1.348
1692,1.686,8573,1.133,327,0.8025,11110,1.446
1247,0.9123,5949,1.241,256.2,0.8414,7839,1.394
243.7,0.8246,5968,1.196,262.6,0.8718,7201,1.279
564.1,1.114,8569,1.426,319.3,0.9062,14640,1.847
204.5,0.7416,11520,1.493,325.4,0.9391,15750,1.806
231.1,0.649,13460,1.148,308,0.8106,15270,1.969
2034,1.73,12160,1.519,220.7,0.8957,9479,1.655
2268,1.678,7819,1.322,355.4,0.8761,13070,1.948
627.9,0.6932,9861,1.512,259.2,0.9065,10700,1.41
376.7,0.5715,9480,1.283,330.2,0.9209,12090,1.424
416.1,0.6941,12820,1.286,338.9,0.8709,8223,1.753
358.4,0.6159,11730,1.163,380.4,0.9105,17900,1.872
499.2,0.606,17490,1.771,349,0.9934,11670,1.572
474.2,0.922,8003,1.025,288.6,0.9303,11980,1.805
1799,0.9235,15880,1.084,480.7,1.105,12600,1.623
357.6,0.82,28700,0.7173,631.2,1.02,12610,1.402
285.6,0.5257,16800,1.604,550.7,1.114,10550,1.878
380.4,0.5187,17220,1.457,355.3,1.029,11050,1.348
370,0.9498,8408,1.221,326.7,1.023,11320,1.708
172.3,0.5885,9107,1.312,279.5,0.8889,11880,1.502
239.5,0.6817,12640,1.16,307.5,0.9742,13160,1.583
341.6,0.8146,14470,1.407,275.3,0.8609,9658,1.436
194.2,0.7421,9468,1.503,302.1,0.8491,10900,1.478
539.6,0.6479,11010,0.9071,417.9,0.9145,8563,1.478
450,0.6481,10210,1.938,372.6,0.9817,8847,1.503
1413,1.331,9659,0.827,356.3,0.8941,10410,1.448
379.3,0.9774,8480,1.277,336.6,0.8302,9310,1.376
884.7,1.169,4707,1.143,335.6,0.9761,8949,1.433
427.3,0.6949,14900,1.325,298.1,0.9522,10400,1.513
408.4,0.6049,10960,1.249,263.9,0.9338,10470,1.066
335.3,0.6233,6283,1.049,270,1.055,12580,1.18
1609,0.9595,9905,0.738,371.3,0.9319,11530,1.388
479.9,0.5379,11460,0.9444,487.9,0.9429,12450,1.254
1029,0.5994,15430,1.183,400.3,0.9322,14310,1.297
713.3,0.8328,14220,1.406,406.6,0.9506,13000,1.445
809.3,0.7304,11270,1.167,283.4,0.9489,10130,1.175
846.7,0.9248,11270,0.9887,371.1,0.8918,9277,1.461
1889,1.536,8578,1.127,346.6,0.9592,8893,1.374
534.5,0.68,9069,1.369,553.7,0.9035,8511,1.393
394.3,0.7328,5707,1.587,584.2,1.113,9563,1.295
465.7,0.5411,11390,1.134,577.7,0.985,9163,1.428
350.9,0.573,12450,1.015,297.9,0.8556,9259,1.523
493.6,0.7137,14940,0.8517,411.1,0.8975,11960,1.535
1148,0.8522,8286,1.513,498.9,0.8765,14400,1.662
611.6,0.599,7041,1.07,428.5,0.9295,11490,1.276
2386,1.491,7409,1.378,318.9,0.9619,10810,1.494
1895,1.501,9369,1.3,366.4,0.8318,10500,1.518
2151,0.9083,11930,1.398,339.4,0.9371,13380,1.245
950.8,0.6896,13730,1.79,344.9,0.9528,7826,1.613
1226,0.839,7197,1.486,530.2,1.219,11760,1.567
1612,1.681,7727,1.645,495.3,1.267,8906,1.81
1966,1.402,9263,1.635,372.2,0.9835,7178,1.29
1239,0.9521,12160,1.266,439.7,0.9951,9889,1.523
626.2,0.5142,8295,1.349,449.8,1.143,12130,1.606
667.2,0.7365,16640,0.6543,264.6,0.8774,11110,1.479
536.6,0.6059,9002,0.9918,268.7,0.8591,9190,1.387
504.8,0.7182,17060,0.9911,423.1,1.058,13860,1.556
1600,1.276,12840,0.6536,383.6,0.9691,9566,1.619
823.5,0.6912,6257,0.9583,322.1,0.9015,14570,1.383
613.2,0.7036,9837,1.442,380.4,0.9025,10050,1.152
454.5,0.8219,10040,1.452,324.6,0.9002,12630,1.233
1316,0.701,9226,1.334,287.5,0.9086,7776,1.312
1023,0.834,13410,1.32,425,1.013,11010,1.389
1096,0.8032,7051,1.276,333.1,0.8752,8112,1.299
558.6,0.5578,8627,1.607,411.1,0.9914,9328,1.243
608.7,0.6373,10820,1.002,234.8,0.8878,9760,1.627
1545,1.472,15050,1.011,402.5,0.9058,16210,1.668
1773,1.279,11050,1.131,302.7,0.9725,12620,1.957
1022,1.453,20520,1.769,322.3,0.8409,12170,1.717
836,0.7361,18770,0.8614,312.5,0.909,10210,1.372
610.1,0.6557,13520,1.228,234.9,0.9041,13430,1.711
703.4,0.7199,17230,1.552,353.1,0.8868,11990,1.708
739.9,0.6242,7353,1.71,454.3,0.9623,11710,1.285
1952,1.61,9755,1.78,401.7,0.9042,9077,1.035
1250,0.9071,5882,1.834,354.7,0.8824,9211,1.361
943.9,0.9441,5978,1.786,426.3,0.9837,13580,1.789
1584,1.3,10140,1.102,435.1,0.8589,9621,1.935
610.7,0.7549,8233,1.317,405.2,0.9604,12630,1.356
726,0.7546,6534,1.323,268.2,0.9818,11250,1.216
1068,1.346,8964,1.076,356.8,0.8615,13650,1.305
1493,1.368,10040,1.264,394.4,0.8881,13880,1.697
416.8,0.7552,7005,1.802,301.2,1.032,10320,1.585
1696,1.618,10010,1.218,274.8,0.9044,14050,1.549
905,0.8611,11940,1.219,507.1,0.9781,11260,1.319
1602,0.8293,11130,1.436,509.5,0.9253,8039,1.829
738.9,0.6956,7190,1.48,478.3,0.8527,12230,1.489
802.6,0.8881,12890,1.871,487.4,0.8205,11290,1.16
1676,1.048,10520,1.434,306.4,1.01,15500,1.263
1579,0.6502,12730,1.46,363.8,0.7802,12070,1.376
909.8,0.5948,10690,1.364,389.3,0.953,12510,1.266
1195,1.413,9441,1.23,353.8,0.893,11200,1.218
177.8,0.7495,16370,1.576,661,0.9442,7858,1.698
267.3,0.6359,16350,1.455,402.1,1.063,10730,1.149
454.3,0.5705,7564,1.292,487.4,1.011,10220,0.741
253.9,0.6324,10310,1.09,402,1.153,15320,1.446
106.9,0.6138,12260,1.089,344.7,0.8722,10730,1.688
204.8,0.5933,16440,0.9606,320.9,0.7321,11920,1.35
468.8,0.6577,8713,1.565,294.8,0.7615,9378,1.465
407.3,0.9316,10910,1.286,322.1,0.9164,9630,1.274
311.6,0.7197,16040,1.545,374.6,0.7921,8669,1.702
219.9,1.029,12110,0.9582,286.1,0.9201,8256,1.626
191.4,0.5605,9208,0.974,301.8,0.8741,8699,1.269
320.3,0.7479,8499,1.594,328.5,0.747,9547,1.481
590.4,0.8077,10160,1.822,407.7,0.858,9752,0.9228
1664,1.928,7183,1.752,442.9,0.8465,11780,1.437
1844,1.844,7736,1.602,317.8,0.9525,10860,1.38
1839,1.875,7080,1.891,413.7,0.8239,14170,1.302
331.7,0.6412,12680,1.094,277.8,0.9587,13060,1.467
348.1,0.7044,8520,1.516,321.6,0.874,11090,1.529
566.1,0.6228,10130,1.762,386,0.9063,12990,1.775
345.2,0.7539,9324,1.297,377,0.9029,10110,1.374
319.9,0.5483,12120,1.226,302.5,0.9056,9757,1.117
735.2,0.8368,5712,1.097,408.6,0.9281,9894,1.109
438.1,0.6749,13080,1.875,314.9,0.9471,11010,1.396
585.4,0.5576,8735,1.576,363.6,0.8933,8186,1.521
1155,0.8566,7780,1.194,277.4,0.9896,13020,0.9173
1582,0.6504,10890,1.264,319,0.9377,12120,1.264
856.3,0.5638,6791,1.237,366.5,0.8981,14110,1.231
941.8,0.6145,8034,1.483,493.5,0.8816,15880,1.594
1506,0.9485,6655,1.065,379.8,0.8318,7973,1.355
530.6,0.7229,17820,1.8,345.3,0.979,7961,1.067
1237,1.25,9025,1.141,328.5,0.7785,9677,1.291
984,0.9137,10950,1.296,422.2,0.8237,9241,1.566
930.3,0.8531,12380,1.625,293.5,0.977,10170,1.087
342.1,0.873,11800,1.448,362.9,0.9292,12460,1.331
1791,1.68,11630,1.071,515.6,0.8644,11590,1.822
472.3,0.6494,12300,1.021,437.2,0.855,9833,1.955
461.9,0.8075,9521,1.226,405.6,0.8714,10740,1.358
635.7,0.6127,9114,1.645,333.6,0.8084,10600,1.251
780.1,0.6676,15320,1.475,438.9,0.9511,11730,1.418
711,0.6277,11190,1.55,329.7,0.9752,10790,1.441
1234,1.256,13090,1.768,305.5,0.9393,11110,1.246
498.5,0.805,12980,1.334,265.6,0.9182,17060,1.517
289.4,0.7015,11590,1.266,323.9,0.9516,6800,1.566
1419,1.271,11530,0.8765,264.1,0.9465,11380,1.643
1231,1.321,11750,1.338,491,0.9836,10900,1.501
1175,1.165,9686,0.6909,379.1,1.068,10940,1.502
456.7,0.7216,13190,1.336,410.6,0.9631,13760,1.609
352.2,0.7636,10630,1.802,407.3,0.8298,14620,1.24
317,0.6302,7461,1.151,371.7,0.9073,7558,1.175
400.4,0.9914,15050,1.128,425.4,0.9574,12840,1.22
317.1,0.6131,8853,1.378,444.7,0.8875,11760,1.459
784.4,0.7588,7541,1.021,425.7,0.8915,11730,1.695
462.5,0.6341,12420,1.52,264.1,0.8412,12280,1.435
590.8,0.6488,4325,0.9602,464.8,0.9338,11720,1.485
569.3,0.7138,5772,1.395,311.3,0.8225,9773,1.378
413.9,0.6158,10680,1.716,375.9,0.985,11550,1.098
506.4,0.5993,6705,1.277,318.6,0.8412,7585,1.231
404.6,0.7381,13810,1.129,339.8,0.9433,10280,1.648
481.1,0.6253,10690,1.116,341.6,0.9651,12340,1.517
450.6,0.8111,17120,1.347,431.8,1.137,9225,1.575
991.2,0.8912,12570,1.541,384.5,1.101,13040,1.803
573.3,0.714,9954,0.9858,359.7,1.001,9669,1.306
2504,1.244,7556,0.9973,386.1,0.8651,11680,1.37
516.4,0.6241,8404,1.521,432.4,0.9473,13770,1.594
807.7,0.7546,10750,1.239,329.9,0.9557,10040,1.313
266.8,0.5561,10630,1.182,361.5,0.8816,13320,1.415
394.8,0.6255,8612,1.034,313.9,1.014,12800,1.461
810.5,0.7064,18350,1.043,323.4,0.9449,11730,1.609
1959,0.644,11710,1.024,478.6,0.8981,8907,1.413
1447,1.216,13430,1.334,446.9,0.9108,10310,1.193
842.4,0.5279,9789,1.216,388.7,1.058,11200,1.234
221,0.7074,9047,1.209,287,1.15,10410,1.346
290.7,0.6419,11960,1.108,324,1.172,8724,1.231
2059,1.863,10890,1.678,320.8,1.01,12470,1.044
2118,1.85,18240,1.41,292.6,1.038,11740,1.13
1433,1.301,6336,1.756,342.2,0.9759,9332,1.635
775.4,0.8471,13600,1.638,347.7,0.8856,8481,1.652
599.5,0.645,8431,1.173,280.1,0.8438,9225,1.334
691.6,0.6445,6161,0.9424,297,1.087,12560,1.591
1632,0.6999,14740,1.392,222.1,1.08,12290,1.336
948.1,0.6188,8875,1.255,380,1.011,12590,1.439
1167,0.8278,14180,1.197,459.4,0.9497,11300,1.545
904.3,0.9362,9125,1.384,375,0.8273,11870,1.616
1502,1.875,13110,1.187,459.9,0.8893,10290,1.314
836.4,1.108,14720,0.5199,512.7,0.8699,9846,1.168
1254,1.21,10000,1.442,286.6,0.8084,9303,1.115
573.1,0.634,10530,1.473,365.7,0.9612,10370,1.315
2459,1.574,14040,1.054,311.4,0.8398,10280,1.34
1172,0.9887,11000,1.166,420,0.8634,10940,1.777
1024,0.8865,12300,1.234,340.3,0.9059,8440,1.365
947.7,0.7199,7037,1.685,481.8,1.011,10190,1.77
621.6,0.6432,7812,1.421,432.6,0.9539,12660,1.657
336.7,0.5686,5383,1.873,382.7,0.8428,10760,1.113
473.8,0.786,6292,1.174,317.3,0.903,11220,1.01
1554,1.481,8288,0.9703,330.4,0.8634,12840,1.575
1151,0.8654,15880,0.8512,442.8,0.8984,11360,1.068
237,0.7736,13330,1.544,351.8,0.8972,10500,0.9901
235.9,0.7298,6989,1.139,502.2,1.001,8839,0.932
418.5,0.549,11020,1.008,305.5,0.9514,10630,1.012
1790,1.722,6220,1.651,344.9,0.846,9980,1.206
894.5,0.9296,8237,0.6693,389.8,0.9638,11960,1.056
396.1,0.6799,7068,0.6811,374.4,0.8728,12750,1.511
764.6,0.7066,9690,1.637,312.6,0.9393,9996,1.175
1320,1.306,13580,1.258,354.1,1.018,12450,1.379
1465,1.245,9781,1.449,269.5,0.907,11340,1.721
661.1,0.8635,11670,0.9244,315.4,0.7399,8418,1.359
398.9,0.7267,10520,0.8751,357.7,0.8367,10410,1.39
1813,1.591,10150,1.276,395.4,0.8385,11400,1.699
1347,1.533,8823,1.072,416.3,0.9208,8270,0.8216
2582,1.762,13010,1.505,470.9,1.156,6554,1.495
727.1,0.6938,16390,1.636,348.8,0.9035,8667,1.216
1942,1.71,21990,1.928,277.2,0.9367,5748,1.543
1085,1.065,14280,1.886,350.4,1.06,13350,1.691
