ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
67280,1.708,2.845e+09,1.888,1.6e+09,1.458
13110,1.623,2.16e+08,1.26,12910,1.207
379200,1.925,9340,1.859,91700000,1.486
392900,1.312,1.369e+09,0.7945,224200,1.371
88030000,0.9419,1.838e+09,1.86,551500,1.914
1518000,0.6468,9.57e+09,1.276,790500000,1.411
246500000,0.7805,6.78e+09,1.766,21560,1.429
3593000,1.6,346600000,1.822,10850,1.139
8.049e+09,1.288,19030000,1.931,4.706e+09,1.257
89970000,0.8008,6.137e+09,0.7226,25750,1.12
3393000,1.64,4.897e+09,0.5326,15310000,1.211
5107000,1.257,18330000,1.388,5.222e+09,1.374
814500,1.817,2380,1.717,4.2e+09,1.714
807100000,1.663,4601000,1.803,229200000,1.696
335000,1.107,595100000,1.825,192300,1.959
53070,1.474,98590000,0.9803,2249000,0.8101
279800000,1.082,39740000,1.769,21270,1.394
91320000,0.6573,67490000,1.23,10910,1.171
3220000,1.223,49220000,1.941,600900,0.6442
91360,0.6363,323000,1.459,941300,0.6227
45300000,1.606,145200000,1.188,45210,1.025
322900,1.311,201000,1.542,62380000,1.574
14560000,0.6397,140500,1.496,9.627e+09,1.082
9069000,0.9338,117400000,1.322,1.535e+09,1.552
151200,1.021,14690,1.694,7616000,1.186
6256,1.937,3566000,1.942,9379,1.635
273400,1.784,5373,1.3,368300,1.863
127500,0.91,237600000,0.9098,5.93e+09,1.607
4748000,0.6825,2.027e+09,1.206,9220000,1.623
5766000,1.22,423200000,1.738,84440000,0.9238
4.581e+09,0.7353,6657000,1.039,3409000,0.8983
463800000,0.7279,2177,1.318,6370,1.831
1.507e+09,0.9903,4.391e+09,0.7647,296000,1.403
537100000,0.5774,1.157e+09,0.516,2790,1.978
24700000,1.108,233500,0.6517,53610,0.7644
73340,1.56,766500,0.9138,3100,1.852
173500000,1.2,59800000,1.601,1.861e+09,1.892
9.205e+09,1.932,1.043e+09,1.322,12870000,1.795
3.388e+09,1.437,3.657e+09,0.6709,33570000,0.7279
438300,1.284,13370000,1.326,225300,1.035
1561000,1.549,7.293e+09,0.9581,2.74e+09,1.91
6248000,0.6772,91150,1.577,4.64e+08,1.818
2.404e+09,0.7223,66700000,0.6986,1782,1.533
111400,1.94,110900000,1.84,2792,1.783
9665,1.863,2.053e+09,1.622,7.209e+09,1.254
2646000,1.416,310100000,1.946,65120000,1.071
5376000,1.334,2162000,1.243,9.658e+09,1.833
281300000,0.808,102400000,0.7691,13960000,1.503
513700,1.906,4082000,1.662,68630000,0.9794
22430000,0.6236,83420,1.724,943200,1.663
80900000,1.253,12600000,1.919,90170000,2
992200000,1.426,516900000,0.831,2622000,1.608
4516000,0.7904,2.209e+09,1.408,182200,0.9148
2.427e+09,1.812,8259000,0.6852,6750000,0.9701
420700000,1.485,26850000,0.779,12630000,0.6081
1.831e+09,0.8292,240200000,1.336,943.5,1.51
53830,1.115,8553,1.957,53540,1.069
10200000,0.5647,606200,0.8933,7284000,1.937
4.034e+09,1.53,10520000,1.241,1.836e+09,1.912
73230000,0.5692,60060000,1.076,184300000,1.088
299800000,0.9233,5.572e+09,1.982,15750000,1.342
334600000,1.193,238700000,1.97,38130000,0.907
265700000,1.754,365600000,1.72,762,1.762
47530000,1.532,406300000,0.5774,13340,1.072
245900000,1.98,194200000,1.076,5.457e+09,1.145
194700000,1.002,51510000,1.087,33390000,1.486
39420,1.587,80640,1.694,7939000,1.923
575700,1.4,165100,0.9633,1179,1.215
162800000,0.7426,146400000,1.606,43710,1.365
32880,1.24,4.309e+09,1.31,4.636e+09,1.751
13580000,1.787,6297,1.986,14840000,1.751
679300000,1.736,1.34e+08,1.787,85200000,0.6133
1.487e+09,1.284,25640000,1.806,74850000,0.6826
8.5e+09,1.266,3.439e+09,1.648,67970000,0.8188
1908000,0.9658,324300,1.256,2.767e+09,1.353
8788000,1.367,12890,1.359,1327000,1.026
1.697e+09,1.673,30900000,1.288,113200000,1.127
4.824e+09,0.844,8863000,1.143,79550000,0.6389
1.259e+09,1.92,4829000,1.124,2756000,0.9472
437300000,0.8908,46500000,1.922,5.28e+09,0.5973
58210,1.367,100500000,1.663,9.693e+09,1.17
47620000,1.994,57560000,0.8652,213100000,0.5918
1041000,1.47,281500000,1.992,2482000,1.543
752400000,1.184,377200,1.961,170100000,1.441
1347000,1.746,4.629e+09,0.9506,207700000,0.9053
121100,1.591,3.218e+09,1.148,39140,1.728
1.048e+09,1.338,9179000,1.187,1.679e+09,1.193
27350,1.765,8910000,0.5151,797000,1.861
1.583e+09,1.543,417100000,0.7209,1290000,1.311
732600,1.284,69050,1.906,1.078e+09,1.183
10870000,1.364,7093000,1.162,34170000,1.163
53140,1.68,100600,0.9699,1.33e+09,1.715
20820,1.741,336300000,1.921,2.304e+09,1.52
48690,1.671,347300000,1.873,237100000,1.466
24340,1.923,3211000,1.428,115900,1.055
656100,1.639,56360,0.8817,4401000,1.557
22820,1.473,362700000,0.8555,8.709e+09,1.175
104500000,0.9509,2650,1.668,473100000,1.773
389200000,0.9942,2.325e+09,0.7088,3217000,1.863
6.725e+09,1.225,5288000,0.8214,2249000,1.73
3266000,1.147,907200000,0.5983,1.342e+09,0.5903
94080,1.145,64470,0.8372,1.821e+09,1.548
359100000,1.645,21650,0.888,650300000,1.597
498300000,0.8334,551200,1.451,2.445e+09,0.5434
599300000,0.7264,8.771e+09,0.7489,116600,1.932
3504000,1.643,1.302e+09,0.6467,40000,0.7999
628300,0.9881,7644,1.352,557.9,1.667
783700,1.312,88310000,1.618,3.573e+09,1.58
6502000,0.5756,117800000,1.802,5111000,1.241
166600000,0.749,54370000,0.8585,1151,1.486
3.919e+09,1.395,2259000,0.7487,3154,1.035
15420,1.3,1.06e+09,1.857,122300000,0.7668
2.639e+09,1.625,2101000,1.549,182500000,1.694
246500,0.9657,218500000,1.679,204200000,1.775
5429,1.912,128400,1.597,407600,0.7346
287000,1.94,22370000,1.953,100500,0.9915
1.08e+08,1.811,18680,1.438,4227000,1.273
728800,1.37,3602000,1.451,34390,1.325
9766000,1.017,4003000,1.485,1.07e+08,0.9623
30280,0.9508,118200000,0.7951,1.211e+09,0.7133
776500,1.938,494100000,0.5244,1710000,0.9425
1320000,1.586,3.406e+09,0.6797,7154,1.925
117100,0.9263,176700000,1.381,2.69e+08,0.8688
712700,1.313,1.125e+09,0.711,22770000,0.9469
1168000,1.361,101200000,1.569,3643000,1.248
145900,1.284,13650000,0.7178,195400,0.585
