hERG_IC50,hERG_h,hERG_Bmax
649.2,1.056,94.05
728.4,0.8771,99
733,0.8701,99
636.9,0.9507,94.6
705.6,0.8933,99
711.3,1.043,99
742.5,0.9336,99
714.3,0.869,98.12
528.1,1.013,95.47
489.7,1.005,90.96
745.9,0.999,99
717.8,0.9768,97.36
687.4,0.844,98.28
635.7,0.9134,96.04
628,0.9967,94.51
591.9,0.8811,95
759.4,0.9064,99
574.9,1.077,93.32
728.3,0.9777,99
725.5,0.9275,99
701,0.892,98.75
649.4,0.9431,98.54
698.4,0.8558,98.57
657.3,0.9655,99
732.3,0.8902,99
614.6,0.9731,95.26
728.4,1.013,96.34
666.3,0.858,97.35
619.2,0.959,94.75
542.1,0.9689,93.36
598,1.029,93.39
734,0.987,99
684.2,0.9474,98.35
726.3,1.003,99
527.6,1.252,89.81
610.9,0.859,94.53
739.6,0.9594,99
527.1,0.9365,89.73
657.5,0.9606,98.15
646.3,0.9837,95
664.1,0.8967,99
698.8,0.8723,99
709.3,0.9505,99
660.3,0.9443,94.64
717.3,0.9012,98.29
634,0.8666,99
711.7,0.9968,99
678.9,0.9109,99
575.4,0.772,95.86
701,0.9691,97.79
751.6,0.9605,99
689.7,0.9631,97.28
653.3,1.016,96.38
672.5,0.9419,98.48
665.6,0.8151,96.58
741.9,0.9357,99
684.8,0.8723,99
716.2,0.9279,98.49
571.9,1.077,93.43
710.4,0.9232,98
554.5,1.098,91.95
604.1,1.099,95.19
651.6,0.9366,99
701.5,0.9042,99
626,0.869,98.03
505.8,1.051,91.98
658.4,0.9773,96.42
514.4,0.9411,96.31
778.1,0.8877,99
693.3,0.9115,99
609.4,0.9645,93.28
550.6,1.128,91.7
722.5,0.938,99
695.7,0.8689,99
652.1,0.8934,99
741.6,0.8708,99
685.1,0.8308,99
611.4,1.207,93.67
727.6,0.9075,99
797,0.875,99
644.9,0.8533,99
673.9,0.8549,99
717.2,0.9135,99
600,0.9344,95.79
540.5,1.037,92.26
571.7,0.9499,94.88
732.5,0.9457,99
708.8,0.9059,99
611.8,0.9222,96.27
706.4,0.9177,99
645.8,0.8097,99
732.3,0.908,99
702.3,0.9397,98.73
763.6,1.005,98.14
568.8,0.9973,95.14
774.7,0.9967,99
671.9,0.8815,99
548.2,0.9664,93.67
596.7,1.037,94.09
649.9,0.9691,99
771.6,0.9473,99
729.5,0.9119,98.35
538.1,1.06,93.61
655.6,1.054,95.9
717.3,0.8777,99
686.1,0.9409,99
670.6,0.8163,98.89
723,0.8794,99
639.3,0.9656,99
692.4,1.046,97.8
669,0.9102,99
639,0.8749,99
669.2,0.8698,99
578,1.018,95.04
574.1,1.006,95.01
644.9,0.99,98.01
699.7,0.94,98.56
658.1,0.9504,97.01
696.5,0.9627,98.63
726.7,0.9521,98.17
646.5,0.9906,99
681,0.9202,98.57
636.1,0.9093,99
671.7,0.9316,99
705.6,0.9259,99
720.7,0.9457,99
568.2,1.093,94.65
718.6,0.9067,99
568.6,1.055,91.61
566.4,1.003,95.67
614.1,0.9477,96.28
693.8,0.7869,99
714,0.9173,99
612.7,0.9207,99
697.4,0.8659,99
665.5,0.8475,99
641.8,0.9598,99
566.3,0.9733,95.33
584.5,1.03,93.99
665,0.9714,96.01
513.8,1.101,93.7
613,0.9625,98.36
584.4,0.9708,94.23
670,0.8279,99
665.6,0.9684,98.66
685.2,0.9058,99
678,0.8982,99
570.9,1.025,92.19
563.6,0.8941,92.62
604,1.147,94.28
617.1,0.9531,99
523.4,1.045,94.04
575.4,1.042,95.68
567.8,1.044,96.75
564.6,1.035,93.54
696.8,0.8749,99
601.9,0.9289,99
716.6,0.9827,97.74
664.7,0.8452,99
692.2,0.8591,99
747.1,0.9685,99
664.6,0.8554,99
705.4,0.8931,99
636.4,0.9047,99
655.4,1.152,94.62
776.8,0.9569,99
643.2,0.9169,99
