INa_IC50,INa_h,INaL_IC50,INaL_h
2.41e+09,1.966,45310,0.619
2.577e+09,1.979,52350,0.5676
2.458e+09,1.909,46010,0.5309
2.278e+09,1.998,49510,0.5391
2.42e+09,1.89,30230,0.5534
2.212e+09,1.99,48160,0.5259
2.265e+09,1.923,41770,0.5676
2.362e+09,1.986,25740,0.5063
2.57e+09,1.855,26990,0.5817
2.19e+09,1.946,34490,0.5274
2.449e+09,1.83,37180,0.5031
2.203e+09,1.89,40240,0.5719
2.467e+09,1.985,61450,0.5381
2.329e+09,1.997,25050,0.6289
2.271e+09,1.937,24560,0.6219
2.342e+09,1.865,34570,0.5286
2.443e+09,1.939,29230,0.624
2.654e+09,1.998,55190,0.5952
2.548e+09,1.926,29270,0.65
2.463e+09,1.983,35800,0.579
2.433e+09,1.997,30610,0.6741
2.522e+09,1.888,44590,0.6173
2.668e+09,1.984,33160,0.6446
2.301e+09,1.953,25950,0.5931
2.363e+09,1.983,47340,0.514
2.395e+09,1.963,27100,0.549
2.445e+09,1.919,24990,0.5478
2.57e+09,1.928,27900,0.676
2.452e+09,1.957,78450,0.5621
2.789e+09,1.631,22730,0.625
2.518e+09,1.604,34290,0.5443
2.737e+09,1.614,35840,0.5158
2.753e+09,1.966,38350,0.5097
2.221e+09,1.956,45340,0.623
2.202e+09,1.988,38330,0.5489
2.436e+09,1.995,41610,0.5603
2.352e+09,1.999,47730,0.5845
2.488e+09,1.964,48390,0.5048
2.632e+09,1.903,34470,0.6028
2.143e+09,1.953,38980,0.5963
2.342e+09,1.929,35380,0.5862
2.602e+09,1.987,26860,0.6004
2.623e+09,1.856,47130,0.5887
2.645e+09,1.87,35310,0.6818
2.566e+09,1.97,28200,0.555
2.265e+09,1.848,41520,0.5241
2.211e+09,1.757,35530,0.6025
2.628e+09,1.752,34050,0.5921
2.502e+09,1.887,32680,0.5244
2.348e+09,1.922,43080,0.5283
2.578e+09,1.901,44430,0.5507
2.881e+09,1.613,47100,0.5143
2.211e+09,1.955,39530,0.551
2.191e+09,1.917,38330,0.5437
2.603e+09,1.913,37770,0.56
2.4e+09,1.927,24890,0.5253
2.305e+09,1.991,25530,0.5676
2.438e+09,1.95,51900,0.5044
2.457e+09,1.985,40500,0.51
2.853e+09,1.925,29990,0.5136
2.621e+09,1.919,37200,0.5337
2.245e+09,1.86,39810,0.5518
2.094e+09,1.942,19890,0.5485
2.267e+09,1.988,41960,0.6364
2.557e+09,1.974,65990,0.5034
2.27e+09,1.941,64290,0.5224
2.235e+09,1.994,28880,0.5847
2.55e+09,1.97,32380,0.5741
2.094e+09,1.89,46590,0.5498
2.555e+09,1.95,47270,0.5628
2.225e+09,1.869,57620,0.5391
2.772e+09,1.781,36430,0.5442
2.415e+09,1.878,37780,0.5299
2.742e+09,1.914,37370,0.5599
2.284e+09,1.783,40170,0.5494
2.521e+09,1.819,21360,0.6028
2.457e+09,1.926,55270,0.5032
2.475e+09,1.894,40770,0.648
2.528e+09,1.998,42550,0.5525
2.342e+09,1.985,36790,0.5633
2.681e+09,1.631,46830,0.5197
