ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
22.66,1.032,41390,1.388,755.3,1.184,27600,1.345
26.53,0.7355,45280,1.547,869.4,0.852,29410,1.243
34.27,0.8344,44140,1.064,667.1,1.217,30620,1.264
22.37,0.6014,27010,1.273,1022,0.9141,30630,0.9241
39.15,1.473,42090,1.449,701.4,0.7473,29480,1.465
28.54,0.7917,34480,1.782,698.9,0.8207,34250,1.352
28.25,0.7386,46200,1.239,718.2,1.058,24550,1.18
36.86,0.8851,43770,1.28,947.8,0.7819,23580,0.9268
36.41,1.07,37250,1.208,889.4,0.8525,27140,1.095
24.65,0.8728,33100,1.237,1187,0.9628,29040,0.9517
51.95,1.027,36330,0.9265,1261,0.9624,29030,0.9449
40.56,0.6417,29990,0.9575,1734,0.977,31400,1.057
36.76,0.8114,40430,1.059,1403,1.042,21470,1.453
34.69,1.488,60340,1.377,1738,1.341,22670,1.337
69.03,0.7234,47430,1.064,1743,1.064,24630,1.049
31.29,0.7764,40560,1.012,2592,1.443,28640,0.9914
44.31,0.7016,35980,1.839,2819,1.137,29100,0.7801
27.95,0.7737,36960,1.7,1139,1.016,25660,1.099
24.71,1.009,36170,1.712,703,0.7406,31980,1.548
50.51,0.8787,40520,1.36,754.1,0.7431,31900,1.443
58.54,0.5695,41680,1.75,582.8,1.26,37780,0.6381
47.55,1.288,46900,1.048,566.6,1.321,30080,1.279
76.32,0.5687,48290,1.267,1592,1.31,34480,1.293
91.11,0.5801,42940,1.547,418.9,1.14,30490,1.454
36.95,0.5305,44700,1.844,637.7,0.8065,31920,1.706
44.33,1.002,35240,1.179,471.8,0.5911,28790,1.063
27.68,0.7877,28010,1.001,936.8,0.7579,25430,1.23
31.47,0.8813,30270,1.352,953.6,0.7406,33210,0.9208
39.77,0.8032,30550,1.221,444.6,0.7914,30970,1.343
42.12,1.094,37310,1.066,940.8,0.9137,32700,1.489
43.42,1.019,30870,1.135,1078,0.9045,26930,1.489
39.24,1.705,37570,1.246,1315,1.128,31870,1.125
42.06,0.9218,40580,1.447,906.1,0.8318,31690,1.217
36.19,0.6285,34510,1.638,820.5,0.7865,29170,1.255
49.92,0.861,39500,1.635,627.4,0.6923,31170,1.038
32.5,0.7486,40430,1.352,666.3,0.8793,27740,0.8269
23.47,0.6363,35220,1.385,755.2,0.6875,39700,1.26
35.41,1.045,39420,1.249,1193,0.945,25570,1.281
39.01,0.6509,41600,1.586,1069,0.9032,36150,0.7807
31.58,0.9439,40870,1.531,833.7,1.095,32440,0.8882
29.03,0.8821,43210,1.887,989,0.7117,29250,1.047
24.53,0.5259,48260,1.734,985.3,0.8428,28270,1.075
24.84,0.7166,33960,1.205,817,0.7408,39160,0.6374
26.42,0.8156,46620,1.297,673.3,0.8664,33800,0.9463
39.07,1.087,47500,1.499,489.1,0.7562,24310,0.9026
35.76,0.8101,44830,1.615,579.8,0.8949,24950,1.295
30.6,0.9164,37750,1.956,516.8,0.7931,33710,1.203
38.38,1.07,41650,1.908,655.6,0.9576,25390,1.183
39.59,0.5864,45430,1.667,815.1,0.8214,34380,1.315
52.54,1.122,40280,0.9046,730.5,0.79,31410,1.275
37.27,1.216,56730,1.226,570,0.7258,21350,0.9298
42.03,1.16,55850,1.693,467.7,0.8665,21660,1.085
33.62,0.9432,45930,1.007,395.9,0.8414,27350,1.212
28.41,0.9603,47010,1.093,1072,0.7984,33280,0.8472
38.59,0.8496,48460,1.564,990.4,0.8063,27840,1.21
29.71,1.123,46090,1.527,660.6,0.9246,27270,1.305
48.85,0.7346,32580,1.453,875,0.8413,33790,1.592
30.42,1.319,43920,1.828,545.3,0.8005,25040,1.314
33.64,1.201,43780,1.574,461.1,0.9192,34700,1.148
42.99,0.6042,43080,1.853,1044,0.6847,26790,1.34
35.28,0.9878,48480,1.651,1272,0.7327,28670,1.35
35.41,0.9176,34820,1.456,732.8,0.7983,30200,0.9966
33.9,0.7211,40340,1.987,640.7,0.7486,27230,1.083
40.85,1.358,45830,1.551,901.9,0.7021,25060,1.131
38.48,1.293,35350,1.689,1025,0.8882,32670,1.109
21.64,1.726,47010,1.213,1010,0.7797,31100,1.122
67.12,1.943,39270,1.207,1029,0.8205,27370,0.9519
64.72,1.913,37600,1.188,519.8,0.8835,25830,1.183
32.78,1.491,44310,1.255,1692,0.9447,32780,1.231
25.9,0.9874,38060,1.46,1286,1.009,39990,1.524
43.03,0.909,45230,1.357,493.3,0.84,31370,1.556
40.87,0.6838,44890,0.9394,553.3,0.9073,35030,1.479
44.76,0.6478,35500,0.5651,832.5,0.789,41600,1.651
35.91,1.256,52620,1.536,1027,0.9133,28160,0.9494
34.69,0.5846,42210,1.857,1074,0.7731,27220,1.327
53.93,0.6246,29170,1.404,541.5,0.684,26870,0.8122
47.84,0.7581,34380,1.431,806.2,0.7718,31000,0.9214
43.34,0.6358,36210,1.263,1110,0.7908,31970,1.372
42.34,0.67,42300,1.168,742.9,0.7062,27560,1.565
46.23,0.7437,30850,0.6523,904.9,0.7772,32420,1.278
44.57,0.6342,33640,0.5847,648.1,0.7253,33700,1.37
16.75,0.6679,33310,1.475,585.2,0.7855,26920,0.952
57.67,1.608,30770,1.257,742,0.6696,33200,1.013
44.62,1.786,29740,0.9626,821.6,0.8593,32570,1.553
13.93,0.7866,55220,1.076,543.5,0.7172,26810,1.079
16.72,0.594,50850,1.881,623,0.7727,27330,1.096
49.97,1.752,51030,1.251,830.9,0.8914,23430,0.9322
39.02,1.016,49560,1.508,653.1,0.6281,29820,1.438
31,0.8752,43860,1.871,510.7,0.8706,33120,1.205
51.1,0.6079,54950,0.9943,680,0.7719,39580,1.014
24.78,1.083,33110,1.369,577.9,0.8629,28390,1.197
29.94,0.7103,25310,1.399,698.3,0.7548,23820,1.824
48.72,1.04,31610,1.259,807.9,0.7662,21660,1.521
27.74,0.9133,47650,1.113,762.1,0.8264,28280,1.628
36.39,0.9664,51360,0.8884,883.5,0.8716,29180,0.9444
25.74,1.049,43670,1.15,829.9,0.9664,27410,1.045
40.32,1.036,40070,1.092,1220,0.9628,26650,1.27
31.98,0.8484,52870,0.9122,1234,1.001,27640,0.8274
35.54,0.9446,40160,1.125,885.9,0.7633,27820,0.7412
17.94,0.7576,38180,1.06,1262,0.8092,52400,0.5263
21.95,1.264,43850,1.718,1550,1.108,40670,1.404
28.16,0.8046,41490,1.842,988.2,1.002,44320,0.7843
57.42,0.9008,46220,1.372,1167,0.8333,25290,1.271
20.79,1.038,35820,1.469,1260,0.8542,29020,1.105
42.6,0.7692,36970,1.571,815.7,0.9299,29080,1.184
25.9,1.307,31600,1.016,1142,0.8695,28760,1.263
32.55,0.8323,32160,1.1,683.2,0.8747,30880,0.9431
48.74,1.01,30060,1.092,784.4,0.8977,34450,1.069
58.47,0.9457,42010,1.721,878,0.859,32160,1.247
29.37,0.8103,34310,1.441,822.1,0.843,31240,1.257
41.62,1.056,40140,1.193,630.6,0.8037,26390,1.317
