hERG_IC50,hERG_h,hERG_Bmax
10.51,1.126,74.93
12.65,0.9349,80.26
9.415,0.9331,75.22
10.26,1.052,77.33
22.46,0.781,91.16
13.82,1.02,82.15
9.247,1.45,75.79
10.24,1.076,85.15
21.2,0.7888,90.95
13.2,0.946,85.53
10.39,1.212,80.04
9.336,1.08,80.28
9.808,1.371,78.77
9.524,1.438,78.83
8.109,1.209,74.53
12.52,0.9148,85.65
12.65,0.8557,76.19
12.12,1.025,81.81
15.72,0.7019,83.66
10.7,1.364,80.89
8.102,1.39,73.26
17.59,0.7821,83.21
9.179,0.9626,79.02
36.06,0.6526,95.53
23.53,0.6602,90.84
21.41,0.765,90.35
11.57,0.9738,77.74
15.49,0.8182,82.16
13.99,0.8011,83.78
14.6,0.8707,84.25
8.613,1.168,75.53
9.532,1.173,74.66
10.48,1.321,80.19
14.27,0.8561,86.31
15.57,0.7969,89.99
30.6,0.5898,93.39
9.139,0.9644,80.4
9.675,1.073,80.7
9.548,1.176,77.18
9.599,1.349,79.85
11.81,0.8829,81.48
9.446,1.129,75.01
9.815,1.298,82.65
9.914,1.267,75.48
13.75,0.8434,82.53
9.149,1.204,75.38
13.61,0.9781,81.99
9.278,1.325,74.53
13.77,0.9381,85.56
11.57,1.152,77.47
11.79,1.136,84.55
8.921,1.304,75.24
19.08,0.7665,86.61
8.538,1.042,76.32
12.92,1.07,81.52
9.923,1.156,80.79
9.165,1.173,81.21
16.58,0.8454,87.42
11.23,1.085,81.56
13.91,0.8404,80.25
9.262,0.9431,73.88
11.12,1.206,84.35
9.226,1.205,75.21
8.858,1.404,74.47
11.22,1.209,78.87
14.95,0.975,78.75
18.34,0.6864,86.39
21.41,0.8066,87.88
24.74,0.7245,90.6
12.18,1.343,84.04
19.71,0.7394,83.28
8.833,1.165,73.96
17.34,0.7803,85.36
10.76,1.001,80.11
9.873,1.151,82.67
12.65,1.136,83.43
15.35,0.7976,85.88
12.44,1.348,83.74
10.16,1.087,78.84
