ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
2.804e+09,1.671,5.209e+09,1.533,44950,0.5825,2614,1.129,514.4,1.517,4092000,1.259,69.03,1.639
3678000,0.5905,2.647e+09,1.982,146400,0.9027,1699,1.57,467.3,1.657,654200,0.6076,75.42,1.905
48430000,1.59,223200000,1.028,398800000,1.704,2609,1.569,420.7,1.832,8117000,0.5951,64,1.637
27530,1.466,183100,1.29,26690000,0.8497,1238,1.87,490.5,1.63,7.65e+08,1.176,73.89,1.902
28180,0.928,493100000,1.688,887700,1.835,1273,1.776,534,1.69,1942000,0.5049,57.29,1.383
139400,0.8078,235900000,1.532,7515000,0.6686,43270,0.637,441.2,1.894,341000,1.3,80.03,1.996
243600,1.234,13480000,1.806,2.164e+09,1.888,42900,0.6102,473.8,1.984,2272000,0.6195,58.57,1.362
414200,0.9511,3016000,1.365,100200000,1.188,89990,0.6249,481.4,1.556,2.392e+09,0.8695,64.14,1.11
2063000,0.7554,815100,1.502,8599000,1.131,1858,1.586,472.1,1.772,32240000,1.192,64.5,1.823
4.019e+09,1.238,122100,0.9176,153200,0.7788,1637,1.862,485,1.898,29680,1.621,81.4,1.467
4812,0.9101,57470,0.9184,4.599e+09,1.488,1525,1.741,415.2,1.899,2156,1.847,56.89,1.501
6480000,1.768,993900000,0.9696,2373,1.531,13330,1.069,595.8,1.46,1531,1.628,64.8,1.561
16090,1.215,86430,1.608,3856,1.57,4164,1.026,597.7,1.274,1169,1.871,74.5,1.633
5822000,1.67,2.5e+07,0.7118,11220,1.78,44020,0.9667,554.9,1.235,20680,0.5683,59.55,1.648
6691000,1.62,877300,1.657,2.834e+09,1.748,18800,0.9632,446.4,1.944,987100,1.023,60.98,1.55
1.796e+09,1.712,2871000,1.866,1.038e+09,1.334,9204,0.8069,602,1.278,201400,0.5914,78.31,1.468
25520000,1.66,87520,1.114,84700,1.146,47330,0.5226,456.6,1.824,7814000,1.657,74.06,1.971
787400000,1.799,9849000,1.456,18700,1.015,5809,1.033,443.6,1.723,136700000,0.9499,70.18,1.849
9340,1.964,111900,1.116,333700,0.9423,4542,1.115,441.1,1.753,19010,1.764,62.53,1.43
1072,1.797,191800,1.778,97610,0.9283,2989,1.212,558.6,1.198,4156,1.568,65.2,1.637
5230,1.729,3860000,1.435,57580000,0.749,5291,0.9554,568.3,1.499,55870000,1.695,54.89,1.411
101800,1.71,5.027e+09,0.7988,20140000,1.377,20120,0.7018,568.2,1.31,72580000,1.173,58.49,1.613
41140,1.3,3.569e+09,1.34,44920000,1.582,17540,0.6042,709.1,1.058,62270000,0.5115,57.38,1.344
16000,0.9699,3656000,1.582,52610000,1.314,9265,0.7852,529.4,1.334,3215,1.645,68.41,1.709
136200,0.956,223700,1.245,26680,1.27,14980,0.7153,468.7,1.717,1906,1.69,64,1.498
37970000,1.541,834300,0.7763,437100,1.541,9439,0.7989,551.1,1.509,1347,1.928,69.96,1.46
68320000,0.6642,1.16e+08,0.5454,1883000,1.274,32670,1.086,479.3,1.89,4265,1.859,67.96,1.956
1499,1.663,3.369e+09,1.174,49040000,1.972,190300,0.6886,460.1,1.955,2099,1.371,60.89,1.677
176600,1.871,1080000,0.7106,1.153e+09,1.305,121300,0.6538,556.5,1.566,5224,1.938,53.44,1.427
124200,1.443,897400000,0.8451,112900,1.914,4725,0.9477,420.1,1.59,3281000,1.075,61.84,1.996
290600000,0.6247,1.319e+09,0.9907,1189000,1.227,3436,1.476,528.6,1.302,120600,1.914,69.91,1.74
1.587e+09,0.5758,12670000,1.199,6.77e+08,1.099,1540,1.573,505.4,1.429,99050000,0.8642,83.4,1.7
8.898e+09,0.5614,55160000,1.203,541500000,1.753,2692,1.197,723,1.069,808300,1.028,77.85,1.89
5323000,1.044,72140,1.423,673300,1.806,11830,0.8716,827.3,0.8407,449600000,1.751,64.02,1.487
1.003e+09,1.027,16510000,1.364,7348,1.539,6798,0.8827,467.3,1.864,1.025e+09,1.814,70.48,1.617
1.382e+09,1.579,593100,1.5,7218000,1.138,5110,1.044,463.4,1.675,1681000,1.099,67.81,1.37
7226000,1.954,6055000,0.974,98310,1.589,3273,0.9809,461,1.692,615600000,0.5146,50.52,1.292
1.55e+09,1.796,203900,1.144,122800,0.5396,104600,0.5857,614.2,1.345,96770,0.9313,64.36,1.523
5839000,1.475,3302000,1.961,17980,0.6377,53470,0.5354,545.8,1.457,89110000,0.9163,60.8,1.394
28810000,1.092,1.384e+09,1.693,276600,0.7326,149200,0.532,432,1.973,308700000,1.737,75.63,1.63
2890000,1.752,2.54e+09,1.816,63990,0.545,3463,1.062,406.7,1.945,6.73e+09,1.295,65.6,1.828
204100000,1.935,5.044e+09,0.9206,9533000,0.5321,4417,1.065,514.4,1.761,681800000,1.109,77.88,1.933
229500000,1.635,153500000,0.9039,3.025e+09,1.776,1784,1.371,455.5,1.762,71570,1.126,71.67,1.862
766400,1.211,15310,1.546,520400,0.6661,5565000,0.9572,498.2,1.799,2580,1.281,63.33,1.542
5516000,0.7858,1565000,1.371,997200000,1.339,130400,0.5982,440.3,1.945,304400,1.011,72.59,1.643
838000,1.071,22630,0.6112,12010000,0.6428,58190,0.5558,600.6,1.223,120800000,1.8,77.72,1.929
1774,1.332,22610,0.8965,42850000,1.733,49820,0.5088,446.3,1.758,9792000,0.7654,62.1,1.4
