ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
3798,1.427,5408,1.667,5772,1.811,482.3,0.9003
2936,1.436,6716,1.427,4884,1.324,176.7,0.8646
3527,1.948,7906,1.362,4448,1.623,304.5,0.8154
4173,1.715,6516,1.747,6009,1.93,477,1.277
4767,1.926,7081,1.936,4854,1.976,287.1,0.8675
5396,1.674,5897,1.985,5099,1.95,210.1,0.6956
3608,1.615,6349,1.989,4648,1.153,324.6,1.467
2834,1.859,7028,1.951,5059,1.924,610,0.93
4614,1.988,5215,1.733,5862,1.672,357.2,0.8176
4262,1.626,5792,1.772,4396,1.885,779.4,0.805
5221,1.967,5979,1.783,5318,1.741,848.2,1.257
3926,1.988,4942,1.824,3466,1.78,521.5,0.7998
3934,1.71,7377,1.748,3623,1.498,561.4,0.8506
3684,1.794,6783,1.926,3185,1.694,752.5,0.6587
3192,1.632,7427,1.906,5158,1.463,344.1,1.097
3961,1.55,6228,1.904,4878,1.654,223,0.7343
3895,1.957,8739,1.991,4002,1.354,364,0.9263
3834,1.645,6953,1.383,4196,1.804,248.8,0.7123
3925,1.896,5593,1.909,4146,1.911,431.5,0.7681
4081,1.895,6786,1.793,5176,1.889,591.3,0.7544
3563,1.898,5677,1.848,4711,1.322,869.3,1.115
3194,1.66,6965,1.603,4260,1.551,537.3,1.06
3564,1.42,6039,1.25,4452,1.145,526.1,0.8003
4069,1.676,5219,1.907,4724,1.619,389.6,0.8272
3872,1.901,6011,1.989,5184,1.461,269.5,0.8603
6102,1.843,6709,1.892,4782,1.713,910,0.9426
3230,1.798,5375,1.593,4591,1.312,1514,1.394
3626,1.672,5730,1.949,4945,1.883,361,0.7286
4347,1.737,6327,1.995,5135,1.962,516,0.7628
4317,1.423,5679,1.995,5074,1.893,851,1.331
4295,1.733,4886,1.899,2864,1.838,248.7,1.278
3932,1.828,3643,1.489,3707,1.839,417.6,1.241
3528,1.971,6834,1.932,5384,1.739,497,1.145
4183,1.577,6184,1.966,5512,1.758,498.7,0.8477
3479,1.653,6333,1.892,4786,1.728,309.1,0.6946
4482,1.638,6746,1.862,5491,1.409,367.2,0.795
