ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
179.3,1.848,2922,1.07,999.4,1.434
233.2,1.768,1478,1.508,1162,1.018
241.6,1.866,1853,1.447,1719,1.217
229.5,1.902,1977,1.298,1483,0.7865
189.1,1.43,1959,1.352,1856,0.9666
273.7,1.735,1518,1.383,1101,1.2
247.1,1.86,2846,1.254,1157,1.173
275.7,1.572,1286,1.762,1258,1.028
231.2,1.224,2477,1.38,1164,1.316
215.9,1.626,1483,1.5,2595,0.75
222.6,1.324,3214,0.9674,1132,1.408
165.7,1.593,1704,1.418,1157,1.272
156.7,1.654,1539,1.382,935.8,1.708
218.7,1.634,1554,1.413,988.9,1.633
303.5,1.653,10020,0.6031,2135,0.8296
245.6,1.547,1484,1.556,1347,1.236
192.2,1.237,1180,1.909,872.7,1.544
183.2,1.264,1152,1.98,886.4,1.454
231.1,1.641,1567,1.645,2789,0.655
256.7,1.757,1332,1.768,6416,0.5227
220.8,1.628,6954,0.6782,3804,0.6424
211.9,1.429,5268,0.9013,1853,1.032
150.5,1.549,2552,1.089,2213,0.733
148.6,1.287,1329,1.567,1868,0.7793
233.8,1.522,2454,1.342,1904,0.8984
218.7,1.735,2529,1.003,1375,0.8647
302.1,1.827,2407,1.062,974.7,1.323
236.2,1.219,2340,1.07,1304,1.339
252.5,1.519,4257,0.9594,1227,1.248
240.3,1.511,3089,1.006,809,1.75
222.5,1.452,2441,0.9799,2659,0.7505
196.8,1.347,1804,1.297,6370,0.5927
211.6,1.156,1035,1.948,1254,1.373
220.6,1.035,7495,0.8092,2504,0.6618
137.3,1.259,4285,0.973,6278,0.5105
196.5,1.576,16460,0.6255,3118,0.7427
251.7,1.998,1355,1.984,2237,0.7542
237.9,1.531,1594,1.553,1478,1.053
231.2,1.83,1297,1.703,1363,1.141
153.1,1.38,1177,1.938,2242,0.995
183.6,1.94,1627,1.852,1952,0.8039
180.1,1.733,9033,0.6629,1395,1.432
175.2,1.279,5561,0.8351,2367,0.7471
187.4,1.256,1751,1.499,3576,0.6386
241.6,1.292,1303,1.655,3726,0.6189
232.6,1.877,1437,1.552,2030,0.9479
202.7,1.701,2131,1.543,1254,1.179
213,1.678,3804,0.9021,1394,1.112
225.8,1.922,1144,1.714,2033,0.914
213.7,1.675,4769,1.016,2522,0.7058
177.1,1.544,1403,1.911,2293,0.7836
162.4,1.458,1069,1.996,1268,1.397
212.2,1.808,1128,1.86,2219,0.7954
182.2,1.451,1318,1.868,1276,1.117
171.6,1.588,1188,1.989,1329,1.383
173.6,1.537,1382,1.683,1176,0.9904
208.4,1.453,2775,1.11,2642,0.7212
185,1.446,1543,1.57,1631,0.8934
202,1.538,1112,1.94,990.2,1.325
192.1,1.549,2468,1.224,1310,1.399
209.8,1.14,1453,1.482,691.7,1.659
176.2,1.776,1519,1.57,1084,1.7
251.8,1.832,1213,1.974,786.2,1.978
215.3,1.996,5961,0.9414,811.7,1.957
194.3,1.826,2042,1.178,940.2,1.555
182.9,1.574,1677,1.733,733.2,1.92
227.1,1.512,1225,1.821,1765,0.775
254.4,1.305,1620,1.482,4124,0.6214
198.8,1.207,2212,1.285,937.7,1.711
247.3,1.76,2838,1.122,3013,0.8536
196.9,1.454,2128,1.276,4320,0.626
150.3,1.331,2194,1.303,1424,0.9493
166.4,1.444,1383,1.749,2714,0.6186
254.4,1.425,1310,1.763,1378,1.197
240.2,1.844,1249,1.952,1119,1.533
252.3,1.842,1215,1.947,900.9,1.592
226.2,1.85,2014,1.283,3715,0.6557
136.3,0.884,2065,1.391,1441,0.9407
250.8,1.254,1741,1.631,2950,0.7685
180.1,1.286,2154,1.355,1292,0.9576
264.7,1.991,2580,1.056,2292,0.7585
256,1.932,5143,0.8977,5931,0.5085
216.3,1.727,1991,1.529,2251,0.7841
182.6,1.763,8168,0.8239,779.1,1.62
215.5,1.587,3375,0.9791,2020,1.005
196.8,1.332,2031,1.031,1869,0.7766
207.9,1.632,4288,0.8234,928.1,1.187
212.6,1.561,1247,1.717,1507,1.092
237.3,1.725,1487,1.558,2074,0.813
198.3,1.895,1268,1.606,815.1,1.964
211.5,1.774,1609,1.222,864.3,1.831
186.5,1.594,1247,1.94,948.5,1.598
216.1,1.614,1269,1.977,1039,1.471
247.7,1.976,1310,1.792,716.3,1.871
263.8,1.777,1334,1.803,1129,1.588
179,1.507,1305,1.902,989.5,1.344
250.5,1.325,1425,1.725,2819,0.6084
196.8,1.697,1355,1.759,1091,1.438
224.6,1.775,1109,1.844,924.2,1.317
150.9,1.887,3288,0.8817,1045,1.774
178.8,1.825,5254,0.7824,1819,1.024
213.1,1.564,2596,1.303,1051,1.589
217.7,1.516,1479,1.682,1092,1.546
234.5,1.744,2600,1.271,1284,1.095
187.8,1.634,1269,1.86,958.6,1.316
173.9,1.676,1770,1.731,1237,1.467
209.1,1.701,1513,1.803,756.9,1.975
210.2,1.824,1482,1.754,939.9,1.523
178.4,1.292,1286,1.533,1214,1.21
199.8,1.948,1865,1.352,3155,0.6143
225,1.772,1260,1.448,1536,0.8246
250.7,1.749,1333,1.602,4510,0.5507
220,1.453,1356,1.991,1850,0.8998
156.3,1.306,1572,1.923,1064,1.659
227.3,1.42,1477,1.74,1759,0.8888
204.7,1.31,2332,1.128,1439,1.019
282.5,1.942,1490,1.76,5580,0.6265
220.8,1.87,2133,1.27,7241,0.5739
167.5,1.634,10500,0.7307,9217,0.6146
193.6,1.604,1435,1.753,3137,0.9136
207.8,1.772,1063,1.937,1290,0.8604
218.7,1.569,2020,1.388,1086,1.135
174.1,1.856,2812,1.174,3015,0.6755
187.5,1.656,3503,1.264,4186,0.6106
246.4,1.853,1213,1.531,3086,0.7191
141.9,1.566,2111,1.232,1791,0.9192
210.1,1.681,1633,1.633,877.8,1.919
177.2,1.73,1261,1.927,2169,0.7524
205.2,1.44,1404,1.797,1987,1.029
209.6,1.902,2008,1.495,844.5,1.656
289.7,1.315,1750,1.482,856.4,1.652
209,1.228,1880,1.25,1464,1.181
185.4,1.301,1703,1.591,1427,1.075
223.2,1.804,2072,1.345,2890,0.8018
161,1.519,3348,1.041,2832,0.9598
219.3,1.517,2991,1.163,2642,0.8127
179.8,1.654,4011,1.052,1591,1.023
199.8,1.665,2960,1.242,980.3,1.803
266.3,1.851,1394,1.781,5226,0.6444
143.5,1.767,3010,0.899,1613,1.231
164.1,1.75,1766,1.203,1703,1.075
213.9,1.885,1831,1.316,2300,0.8563
235.1,1.896,1516,1.553,1420,1.118
165.6,1.425,5239,0.8972,2406,0.6856
182,1.67,5642,0.8092,1973,0.877
179.8,1.921,3716,1.069,3291,0.6802
170,0.9919,2452,1.172,1217,1.09
271.8,1.222,1212,1.934,3483,0.6914
