Kmax,Ku,n,halfmax,Vhalf,slope
1083000,1.517e-05,0.952,5384000,-2.044,0.2012
500.9,1.898e-05,1.02,2774,-1.73,0.1806
116,1.562e-05,1.104,765.9,-1.223,0.1515
41720,2.107e-05,1.018,242500,-1.099,0.172
42.49,1.586e-05,1.062,238.4,-2.556,0.1782
73120,1.686e-05,0.9767,411900,-1.008,0.1775
12.21,1.703e-05,1.382,121.6,-3.023,0.1004
18.09,1.12e-05,1.198,100.3,-8.534,0.1804
8.593,1.918e-05,1.399,76.74,-1.001,0.112
60.6,1.417e-05,1.029,279.1,-8.161,0.2171
8.419,1.832e-05,1.48,86.13,-1,0.09775
214900,1.356e-05,1.008,1056000,-6.809,0.2035
32290,1.488e-05,0.9958,166800,-1.014,0.1936
9.755,1.914e-05,1.245,64.69,-1,0.1508
66.18,1.71e-05,1.017,351.7,-1.004,0.1882
29.67,1.834e-05,1.009,157.1,-1,0.1889
52.74,1.597e-05,0.9912,274.3,-1.001,0.1923
6.866,1.539e-05,1.5,58.51,-1.004,0.1173
11.03,1.568e-05,1.246,73.89,-1.016,0.1493
770400,2e-05,1.056,5181000,-1.127,0.1487
19.33,1.796e-05,1.046,95.08,-1,0.2033
12.36,9.076e-06,1.473,95.02,-20.14,0.1301
68.92,1.882e-05,0.9971,319.2,-1,0.2159
14.77,1.904e-05,1.256,109.7,-1,0.1346
730100,1.653e-05,1.112,5153000,-2.078,0.1417
805700,1.561e-05,0.9874,4122000,-5.459,0.1955
9.79,1.609e-05,1.298,73.38,-1,0.1334
12.2,1.616e-05,1.286,84.72,-2.424,0.144
494500,1.686e-05,0.9461,2406000,-1.001,0.2055
13.23,1.339e-05,1.283,77.09,-6.711,0.1716
11260000,1.261e-05,1.016,55720000,-12.68,0.2021
9024000,1.729e-05,0.9961,50360000,-1.915,0.1792
14.62,1.444e-05,1.108,75.96,-1.001,0.1925
10.68,1.667e-05,1.253,74.19,-1,0.144
28.03,2.047e-05,1.15,190.8,-1,0.1469
23.75,1.506e-05,1.082,136.3,-1.307,0.1742
2002000,1.439e-05,1.01,10670000,-5.199,0.1876
13.19,1.535e-05,1.173,80.5,-1,0.1639
23.9,1.794e-05,1.089,137.4,-1.002,0.1739
1388,1.62e-05,1.017,7289,-3.772,0.1904
19.14,1.86e-05,1.093,115,-1.022,0.1664
16.24,1.207e-05,1.185,81.8,-8.127,0.1985
17.62,1.939e-05,1.149,104.2,-1.017,0.1691
16.89,1.663e-05,1.147,100,-1.943,0.1689
77.36,1.81e-05,1.125,552.5,-1.151,0.14
21050,1.28e-05,1.121,118300,-13.09,0.1779
124200,2.019e-05,1.021,713600,-1.019,0.174
20.64,1.065e-05,1.145,98.07,-13.41,0.2105
8.394,1.598e-05,1.371,59.51,-1.068,0.1411
309300,1.031e-05,1.101,1639000,-16.5,0.1887
28.38,1.698e-05,1.032,143.5,-1,0.1978
15850,1.797e-05,1.074,118200,-1.025,0.1341
460100,1.74e-05,1.034,2363000,-2.908,0.1947
31870,1.925e-05,0.9637,174400,-1,0.1827
32.82,2.083e-05,1.146,248.4,-1,0.1321
6011000,1.534e-05,1.086,39030000,-7.616,0.154
17.08,1.666e-05,1.222,117,-1,0.146
323400,1.654e-05,0.9875,1706000,-2.366,0.1896
20.61,1.878e-05,1.08,106.1,-1,0.1943
13.19,1.663e-05,1.252,101.7,-1.04,0.1297
36.41,1.971e-05,1.081,236.5,-1.026,0.154
948000,1.874e-05,0.9702,4496000,-1.003,0.2109
13790000,1.564e-05,0.9346,65500000,-3.184,0.2105
641900,1.197e-05,1.105,3515000,-34.72,0.1826
15.01,1.869e-05,1.078,74,-1,0.2028
26.5,1.718e-05,1.033,139.4,-1,0.1901
9.713,1.698e-05,1.518,111.9,-1.002,0.0868
18.46,1.869e-05,1.082,108.3,-1.225,0.1705
8.856,1.868e-05,1.495,98.9,-1,0.08954
42.77,1.145e-05,1.183,255.5,-15.88,0.1674
15.46,1.621e-05,1.217,108.5,-1.106,0.1425
169600,1.914e-05,1.035,1012000,-1.004,0.1676
12.92,1.615e-05,1.239,82.62,-1.002,0.1564
71.73,1.706e-05,1.036,377.6,-1,0.19
9.32,1.978e-05,1.259,75.79,-1,0.123
11.97,1.892e-05,1.277,101,-1,0.1185
20.78,2.011e-05,1.171,159.2,-1,0.1305
19.99,1.576e-05,1.183,128,-4.549,0.1562
10.59,1.708e-05,1.229,67,-1.011,0.1581
544200,1.791e-05,1.03,3334000,-1.01,0.1632
8.647,1.774e-05,1.365,69.89,-1,0.1237
10.11,1.623e-05,1.303,79.58,-1.003,0.127
32.4,1.302e-05,1.127,173.6,-10.85,0.1866
1110000,1.304e-05,1.001,5729000,-7.126,0.1938
133.4,1.99e-05,1.106,991.3,-1,0.1346
2146000,2.089e-05,0.9896,13070000,-1.006,0.1642
21.18,1.688e-05,1.019,92.85,-1,0.2281
45.87,1.676e-05,1.161,334,-2.085,0.1373
83.92,1.954e-05,1.042,471.3,-1.001,0.1781
10.15,1.568e-05,1.321,80.52,-1,0.1261
12.88,1.869e-05,1.187,85.08,-1,0.1514
44.72,2.019e-05,0.9897,234,-1,0.1911
32.24,1.754e-05,1.131,205.3,-1.001,0.157
1574000,1.567e-05,0.9981,7511000,-4.8,0.2096
15.87,1.659e-05,1.163,96.44,-1.005,0.1646
10.04,2.107e-05,1.365,94.79,-1,0.1059
28.89,1.453e-05,1.068,153,-1.19,0.1888
9.104,1.674e-05,1.362,79.41,-1,0.1146
2731000,1.97e-05,1.014,15460000,-1.009,0.1766
11.05,2.166e-05,1.361,105.7,-1.034,0.1045
1145000,1.276e-05,1.048,5845000,-12.12,0.1959
8.161,1.805e-05,1.494,85,-1.004,0.09601
13810,1.818e-05,1.082,96930,-1.439,0.1425
8.638,1.737e-05,1.648,117.1,-1.096,0.07377
13.72,1.919e-05,1.257,107.2,-2.135,0.128
150.4,1.621e-05,1.115,1102,-1,0.1365
10.3,1.712e-05,1.441,101.2,-1.001,0.1018
145100,1.585e-05,0.9947,768600,-3.73,0.1888
56.6,1.625e-05,1.023,279.4,-2.104,0.2026
21.51,1.174e-05,1.253,119,-36.28,0.1808
29.25,2.141e-05,1.09,174.3,-1,0.1678
491000,1.643e-05,1.078,3318000,-1.001,0.148
933100,1.606e-05,0.9982,5323000,-1.248,0.1753
