hERG_IC50,hERG_h,hERG_Bmax
77150,0.9092,99
82150,0.6982,98.27
83930,0.7804,99
86350,0.7907,99
80520,0.7084,98.87
79560,0.7666,98.95
79810,0.8254,99
75420,0.8072,99
75940,0.8245,99
81510,0.7323,99
94650,0.7171,98.35
82640,0.7444,99
101000,0.8613,99
91240,0.839,98.79
81370,0.758,98.67
82370,0.8126,99
80670,0.8955,99
71110,0.8389,99
77750,0.8147,99
79380,0.7271,99
69230,0.8419,99
76420,0.9089,99
81720,0.7595,99
84230,0.8049,98.95
58160,1.043,87.11
75510,0.8041,99
76790,0.784,94.42
65460,0.7864,99
79620,0.7939,99
86860,0.7659,98.78
80140,0.767,98.65
73870,0.8323,99
69680,0.8766,99
64650,0.9491,99
83750,1.018,99
78360,0.9174,92.94
80900,0.8084,99
87260,0.7646,98.98
74140,0.7481,99
84320,0.8013,99
72870,0.7733,99
67290,0.8514,99
70690,0.9158,92.7
76050,0.7938,98.95
90420,0.746,98.7
83800,0.7628,99
72970,0.9149,99
80030,0.754,98.96
66900,0.7427,99
74350,0.7051,98.43
81640,0.8806,99
92640,0.7819,98.66
72870,0.8763,99
62440,0.8541,99
67960,0.9028,99
85750,0.8504,99
74470,0.746,98.81
85100,0.7915,99
83940,0.8064,98.76
46890,1.101,86.13
75060,0.7864,99
78630,0.8274,99
76170,0.8115,98.95
76860,0.8241,99
84800,0.831,98.9
81360,0.7621,99
75870,0.7967,99
73260,0.8615,99
68110,0.768,99
85040,0.8023,99
74700,0.8377,99
81910,0.8028,99
77330,0.9155,99
67160,0.7976,99
79890,0.7522,99
68660,0.9741,99
77770,0.8355,99
71940,0.8224,99
73970,0.9015,99
78520,0.8141,99
78510,0.8137,98.85
73180,0.734,98.63
85830,0.7944,98.63
71200,0.764,99
72330,0.7727,98.88
70820,0.8593,99
85330,0.8431,99
78470,0.9346,99
104300,0.8485,98.76
79460,1.022,99
71990,0.8258,99
74500,0.7774,99
80850,0.7631,98.6
74420,0.7975,99
111700,0.7319,98.38
93110,0.8459,99
66970,0.8601,97.26
86010,0.795,98.87
78040,0.7223,99
77930,0.7004,99
52040,1.005,90.32
85170,0.8006,98.94
77620,0.8427,99
88860,0.7897,98.84
74090,0.6467,98.41
89400,0.876,99
84030,0.7839,98.84
63100,0.9799,88.38
78220,0.9393,99
71290,0.7745,99
78560,0.894,99
87860,0.7407,98.87
78060,0.839,99
82820,0.9102,99
42410,0.9281,84.87
72130,0.6974,99
