ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
639.2,0.7404,8.672e+09,1.714,45310,0.5619,49.31,1.696
313.1,1.134,7611000,1.226,5190,0.8817,50.23,1.299
305.2,1.195,1030000,1.95,3633,0.6644,39.74,1.422
1428,0.8824,1.481e+09,0.7756,3526,0.6902,43.64,1.797
397.7,1.337,10500000,1.19,5390,0.561,50.01,1.903
606.5,0.8711,27710,1.395,4514,0.6134,45.48,1.259
495.8,0.6687,836900000,1.304,7087,0.5427,44.37,1.698
242.1,1.099,149400,1.582,14210,0.5919,41.22,1.841
401.7,1.326,170400000,0.9173,1770,1.043,51,1.857
444.2,1.355,6.799e+09,0.5895,2582,0.852,57.58,1.691
676.4,0.9324,339400000,1.724,6529,0.5565,41.6,1.333
476.9,1.07,142300,1.979,1634,0.99,44.09,1.745
591.8,0.6838,6268,1.528,772.1,1.294,47.38,1.602
688.9,0.6854,14680,1.196,4201,0.7566,46.41,1.766
448.9,1.361,165100000,1.095,3037,0.8182,48.82,1.879
488.9,1.203,45570,1.635,4573,0.5902,52.29,1.129
485.8,1.598,142400000,1.819,3706,0.8586,41.73,1.839
378.5,1.309,1.973e+09,1.696,3095,0.5275,42.18,1.508
463.7,0.9607,342100000,1.07,965.9,1.691,44.66,1.74
302.1,0.8158,344500000,0.9303,1848,0.9404,48.78,1.801
512.4,1.097,10790000,1.083,932.6,1.277,48.74,1.389
509.8,0.9576,8740000,1.104,1616,1.057,51.81,1.352
1195,0.7084,1437000,0.8585,1186,1.262,53.02,1.384
551.8,0.9672,1.979e+09,1.264,5686,0.5444,59.09,1.268
550.1,1.755,180500,1.493,3578,0.8471,47.06,1.644
359.2,0.6361,331700,0.7282,5299,0.5438,47.61,1.976
426.3,1.759,11060,1.131,1947,0.9578,43.39,1.454
549.8,1.294,2875000,1.668,1051,1.133,46.76,1.596
464.6,1.749,16210,1.739,3190,0.5483,53.94,1.974
544.5,0.7216,9.48e+09,1.615,4435,0.5403,46.61,1.547
563.1,1.167,85230000,1.86,1221,0.9296,47.54,1.484
867.9,0.9487,512900000,1.283,3552,0.6769,46.81,1.66
1283,1.009,147000,0.6984,2842,0.7455,46.36,1.763
300.8,1.581,15740000,0.9349,1302,1.284,45.59,1.744
190.3,0.8797,5.23e+09,0.7325,1345,1.386,49.79,1.637
300.6,0.9397,81240,1.841,1611,0.9957,38.03,1.481
440.9,1.422,4537,1.919,1309,1.137,47.78,1.729
550.4,1.563,43290000,1.92,1177,1.48,52.24,1.055
515.2,1.202,256800,1.166,1152,1.609,52.45,1.58
438,1.619,2166000,1.873,1127,1.593,48.61,1.868
460.2,0.9192,232900000,1.608,3669,0.7662,47.2,1.814
1041,0.7705,4.311e+09,0.825,3147,0.6125,46.86,1.819
941.9,0.5751,113400,1.252,1688,0.9862,48.27,1.863
347.6,1.352,153400,0.7343,4447,0.6774,54.8,1.828
500.5,1.193,109000,1.348,1404,0.8097,44.68,1.038
503,1.026,13630,1.554,1133,0.9457,51.08,1.475
722.3,0.7184,117000,1.436,5273,0.6343,44.86,1.953
562.8,1.666,1619,1.987,3415,0.6399,53.47,1.462
484.7,1.48,4395000,1.646,6477,0.6121,40.24,1.613
567.3,1.551,1031000,0.9106,4642,0.8197,48.1,1.997
227,1.013,28740000,1.144,8145,0.8348,46.6,1.734
392.4,1.788,201600000,0.5997,2872,0.6896,48.67,1.918
677.9,0.6292,843500,0.5078,4471,0.6188,46.88,1.975
543.8,1.108,321200000,0.5444,5983,0.5306,40.29,1.855
797.3,0.7437,77740,1.82,2798,0.5768,45.44,1.691
707.8,0.7195,19570000,0.8152,1519,1.626,46.14,1.798
434.6,1.561,2078000,0.5269,2781,1.019,45.03,1.497
342,1.898,8.386e+09,0.6756,2125,0.986,41.66,1.775
428.4,1.149,82890000,1.624,1971,1.066,40.36,1.634
397.7,1.214,4885,1.773,5718,0.5493,56.94,1.432
645,0.8502,1699000,0.7252,2300,0.9312,50.73,1.983
496.9,1.067,4964000,1.327,11920,0.5473,40.14,1.835
406.7,1.303,1429000,1.04,10740,0.5967,49.41,1.565
517.6,1.278,6750000,1.265,3998,0.8343,41.51,1.535
1107,0.5579,2458000,1.548,4787,0.7125,45.17,1.344
561.9,1.98,818600000,1.127,2162,0.8579,44.86,1.631
228.6,0.8663,16120000,1.014,1318,1.299,49.7,1.965
378.3,1.092,48030000,0.9468,1989,1.183,52.43,1.471
591.7,1.226,84690000,0.9757,1740,0.9319,49.28,1.997
404.8,1.223,59890000,1.95,1865,0.7768,46.27,1.811
422.5,0.767,9552000,1.181,1182,1.58,51.17,1.63
325.9,0.5912,2.109e+09,1.843,1274,1.19,48.26,1.581
853.1,0.8418,9463000,1.118,3001,0.9323,42.65,1.956
625.9,0.5239,256700000,1.057,1781,0.9821,46.27,1.566
432.3,0.5691,2955000,0.9869,4943,0.7005,47.9,1.75
308.7,0.9848,7355,1.829,5645,0.5042,46.49,1.375
612.5,0.8123,2509000,0.8058,4385,0.6016,43.03,1.263
531,1.463,5534000,1.908,1419,1.223,50.79,1.233
307.6,1.477,7.108e+09,0.62,2404,1.34,42.34,1.865
367,1.665,15740,1.005,1559,0.9517,49.83,1.28
430.5,0.8331,430800,1.222,1336,1.217,45.78,1.896
349.8,1.706,8.38e+09,1.96,947.9,1.338,45.15,1.836
1263,0.6868,1.208e+09,1.283,2991,1.168,46.64,1.935
459.1,1.516,320900000,0.8471,7117,0.9058,46.23,1.332
290.5,0.8115,1292000,0.7204,7721,0.5251,49.6,1.701
543.9,1.24,97550,0.7728,12780,0.5226,46.08,1.769
590.8,1.625,519600000,0.8933,5371,0.6239,48.56,1.925
494.4,1.703,65560000,0.857,871.8,1.838,47.07,1.588
384.4,0.7046,9.075e+09,0.8618,840.3,1.98,46.88,1.892
373.9,1.247,2.798e+09,0.576,1154,1.816,46.52,1.643
567.4,1.359,46540000,1.381,1112,1.652,42.82,1.9
494.1,0.709,71740000,0.9155,903.1,1.981,46.08,1.965
286.9,1.814,16540000,1.202,5043,0.5686,44.87,1.914
437.7,1.783,20030000,1.028,3261,0.6534,46.26,1.83
375.7,1.584,657800,1.326,3541,0.658,42.46,1.898
772.8,0.6387,168700,1.578,1483,1.046,54.29,1.551
511.2,0.8131,132400000,1.207,4108,0.6461,47.07,1.551
364.8,1.465,105200,0.697,9629,0.7343,47.52,1.652
540.3,0.9213,321600000,0.9232,1798,1.147,47.63,1.784
571.2,1.553,117600,1.847,9109,0.5317,50.17,1.561
305.9,1.534,5602,1.337,11600,0.5005,45.41,1.693
242.8,0.8482,125900,1.56,2062,0.9092,47.43,1.545
243.5,1.076,78530000,1.559,1797,0.7651,51.35,1.637
475.7,1.818,20250,1.371,3127,0.7966,47.76,1.869
474.2,1.978,208100,1.189,6173,0.6107,44.49,2
