ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
4767,1.229,12690,1.386,972.4,1.708,2080,1.113
3006,1.082,16320,1.818,1744,1.21,1466,1.698
3392,1.553,20460,1.902,1016,1.721,1021,1.983
2700,1.108,16980,1.988,4190,0.855,883.5,1.929
2290,1.499,13760,1.543,1417,1.561,1288,1.362
3199,1.409,12770,1.417,1844,1.785,1246,1.322
3084,1.185,12420,1.268,4085,1.243,1311,1.393
3642,1.521,14450,1.569,3830,1.464,1290,1.7
2345,1.793,15220,1.016,1113,1.911,1037,1.637
3589,1.722,10090,1.027,1419,1.795,1177,1.024
4387,1.55,14200,1.266,2556,0.9131,1165,1.489
3533,1.465,24960,1.315,2209,1.128,1196,1.284
4907,1.578,14230,1.536,2032,1.235,1162,1.59
2248,1.775,14920,1.51,1494,1.372,1263,1.667
7292,1.37,10310,1.18,1203,1.785,1070,1.441
2302,1.436,13700,1.268,1116,1.606,1475,1.544
4721,1.108,14770,1.3,1787,1.231,1246,1.465
9661,1.911,13920,1.352,1087,1.863,996.9,1.772
3997,1.75,9170,0.8179,2789,1.011,1110,1.504
1620,1.63,15890,1.415,2576,1.294,1980,1.212
5880,1.609,10720,0.982,1389,1.844,1084,1.07
5249,1.826,14170,1.521,2321,1.036,1656,1.099
6586,1.956,6998,1.127,1461,1.229,1034,1.572
1985,1.847,15290,1.641,1675,1.899,1136,1.7
3956,1.724,11370,1.319,2008,1.161,1380,1.425
2945,1.268,15830,1.64,1233,1.965,1350,1.513
3568,1.295,15320,1.514,1214,1.633,964.3,1.938
2028,1.684,16920,1.58,1239,1.612,964.3,1.938
3712,1.47,14780,1.423,2249,0.8409,1178,1.51
1812,1.147,13660,1.35,1180,1.665,1500,1.334
4553,1.541,14140,1.459,2118,1.072,1424,1.32
3104,0.9309,14620,1.574,3620,1.298,1209,1.545
2602,1.274,16590,1.851,1468,0.871,844.7,1.864
3191,1.497,20060,1.729,2762,1.307,971,1.803
3628,1.999,9884,1.471,2031,0.9212,1304,1.522
1424,1.979,21590,1.671,2889,1.19,1377,1.286
4367,1.428,12180,1.167,2037,1.302,1722,1.108
1955,1.228,15600,1.82,2179,0.9856,907.7,1.541
3841,1.144,11030,1.398,1719,1.175,1005,1.566
5283,1.704,18890,1.767,1891,1.119,1276,1.336
3617,1.8,15900,1.753,1256,1.789,1010,1.885
4880,1.432,10980,1.143,1272,1.71,987.2,1.864
4379,1.326,17460,1.443,2269,0.8265,1329,1.225
3998,1.459,22980,1.935,3003,0.81,1616,1.612
1887,1.797,14110,1.508,2916,0.9024,1114,1.386
3136,1.577,17910,1.663,1524,1.496,980.9,1.546
3754,1.539,18470,1.966,1866,0.9165,1755,1.39
2584,1.487,16800,1.914,3017,1.075,1203,1.997
2451,1.957,16180,1.919,1359,1.334,1135,1.727
1973,1.943,18090,1.747,1096,1.934,1677,1.065
1977,1.959,15680,1.862,1164,1.64,1030,1.509
3395,1.763,17760,1.628,1307,1.411,799.8,1.812
2337,1.102,17940,1.769,1622,1.282,956.4,1.731
4904,1.698,17200,1.85,894.9,1.769,902.2,1.832
5102,1.231,12940,0.8006,1810,1.502,801.8,1.987
2255,1.537,12220,0.9289,1725,1.721,732.1,1.956
1821,1.98,14450,1.257,1066,1.674,899.1,1.564
9032,1.568,8181,1.069,2701,0.9451,1207,1.526
8325,1.658,11080,1.357,2555,0.8025,1100,1.848
2980,1.952,18460,1.95,1441,1.529,2196,1.784
3049,1.694,10380,1.103,2435,1.15,1099,1.908
1999,1.809,8264,1.269,2444,0.9385,1046,1.326
4087,1.815,20000,1.886,2897,0.9487,927.2,1.695
3623,1.873,9860,0.9395,1125,1.82,987,1.392
4433,1.875,16720,1.745,1993,1.3,1610,1.271
5869,1.686,11760,1.275,2257,1.074,1300,1.436
1842,1.714,14990,1.312,949.4,1.958,2048,1.439
2504,1.17,9619,1.2,1107,1.36,1737,1.851
2213,1.646,15900,1.407,4097,1.101,1167,1.711
4309,1.982,15720,1.892,2064,1.009,911.4,1.786
2778,1.538,14450,1.441,1973,1.266,1400,1.171
5233,1.616,16420,1.782,1831,1.216,1339,0.8799
1217,1.729,15570,1.448,1553,1.372,1374,1.28
3802,1.802,18280,1.764,1165,1.959,1162,1.526
5325,1.106,11330,1.239,1293,1.484,1049,1.925
1820,1.543,15100,1.56,1657,1.508,1721,1.435
4837,1.748,8216,1.217,1285,1.776,1681,1.174
1711,1.685,18040,1.821,1923,1.24,1367,1.639
1723,0.9812,14340,1.088,1903,0.9931,1152,1.691
1721,1.515,23190,1.264,1436,1.256,1022,1.434
3365,1.539,19690,1.64,2555,0.9009,1191,0.7532
2140,1.471,15930,1.533,1690,1.389,1909,1.104
5011,1.466,14640,1.586,2275,0.7624,1001,1.784
4024,1.763,17440,1.827,2168,1.437,946.8,1.327
3006,1.435,16370,1.956,989.3,1.995,929.8,1.967
2481,1.286,17580,1.853,1231,1.603,1407,1.785
1638,1.935,9445,1.141,1404,1.606,1040,1.602
4500,1.512,14800,1.516,2255,0.8487,984.3,1.725
2439,1.289,19570,1.83,1074,1.869,1246,1.34
1567,1.472,9754,1.148,3437,0.8131,780.9,1.819
6906,1.516,6710,0.8492,1260,1.617,1290,1.054
7028,1.633,22470,1.777,3629,1.238,1142,1.21
4345,1.284,12030,1.498,1680,1.158,1041,1.662
1444,1.829,15980,1.249,3252,0.9793,857.8,1.703
1690,1.98,16830,1.713,5881,1.348,889.2,1.971
2618,1.674,16330,1.726,1993,1.535,1094,1.791
3205,1.921,15690,1.983,2062,1.418,1006,1.947
4475,0.7689,19030,1.983,3560,1.213,1095,1.768
2753,1.639,7213,0.9372,1494,1.215,926.2,1.916
3633,1.657,15740,1.733,1642,1.746,1284,1.679
2768,1.739,12030,1.355,1917,1.388,1373,1.268
2688,1.927,13060,1.939,1475,1.413,1230,1.739
4660,1.757,13420,1.602,2302,1.039,1099,1.965
1933,1.693,14330,1.238,1639,1.306,1130,1.576
6720,1.867,15280,1.808,2006,1.551,1287,1.46
2484,1.783,15460,1.484,1746,1.138,1180,1.877
3190,1.517,14470,1.011,1419,1.299,1267,1.874
4907,1.087,14060,1.465,1734,1.191,1290,1.644
2018,1.815,10890,0.9992,1065,1.731,1741,1.287
2378,1.471,16350,1.758,3521,0.8826,1096,1.499
6612,1.81,13950,1.55,4286,0.7565,1105,1.559
4296,1.131,8635,0.9953,2180,1.127,871.6,1.798
3010,1.194,8814,0.8488,1365,1.999,909.9,1.839
2957,1.307,13140,1.433,1958,1.241,728.6,1.747
2592,1.797,14520,1.609,1799,1.44,1276,1.317
2821,1.588,12750,1.403,1223,1.417,980,1.895
2255,1.689,14820,1.615,1549,1.663,965,1.64
1285,1.511,14090,1.043,1395,1.62,1036,1.945
1553,1.743,8468,1.281,1625,1.012,1024,1.139
8549,1.932,14920,1.624,1449,1.005,1270,1.012
9808,1.839,14340,1.579,3154,0.9237,1433,1.405
5066,0.9649,10140,1.608,1590,1.679,1233,1.463
2169,1.744,6624,1.185,2525,1.701,949.8,1.937
2972,1.203,6598,1.013,2159,1.343,1448,1.363
2100,1.285,12460,1.703,1432,1.773,1222,1.622
2637,1.292,11060,1.389,1095,1.767,1051,1.604
3511,1.453,13250,1.101,1944,1.22,905.4,1.937
4599,1.273,13590,1.47,1957,1.107,1030,1.864
1326,1.926,19930,1.716,2054,0.9442,934.5,1.987
1741,1.974,14240,1.125,1617,1.08,1089,1.893
1706,1.946,12620,1.346,1769,1.091,1130,1.608
3566,1.985,17360,1.888,3694,1.024,1012,1.911
1695,1.72,17030,1.783,2936,1.24,1101,1.465
3590,1.185,13840,1.315,2032,1.129,1038,1.831
2687,1.71,8065,1.32,2521,1.274,990.9,1.723
2694,1.358,13140,1.668,2056,1.152,910.3,1.863
8056,1.981,15980,1.603,5189,1.345,1127,1.627
3313,1.379,14650,1.777,1930,1.522,1010,1.591
7832,1.323,13530,1.694,2280,1.07,1368,1.189
