hERG_IC50,hERG_h,hERG_Bmax
344,1.98,75.78
434.5,1.98,70.7
540.7,1.493,92.69
511.2,1.98,80.37
407.9,1.98,76.42
430.1,1.769,73.71
475.2,1.299,93.65
386.8,1.98,81.8
532.7,1.966,89.6
503.7,1.98,80.44
412.6,1.907,81.62
378.9,1.98,78.8
410.3,1.98,88.19
691.4,1.316,99
395.1,1.98,77.08
564.3,1.44,93.7
609.6,1.637,92.14
419.5,1.98,75.85
467.2,1.885,81.11
374.7,1.98,75
419.3,1.98,72.42
428.9,1.98,81.08
348.1,1.98,73.83
406.3,1.98,78.45
371.7,1.98,75.07
566.4,1.137,89.58
425.2,1.98,82.25
523.1,1.789,90.08
645.9,1.348,87.3
421.9,1.98,77.54
520.6,1.98,88.59
405.6,1.98,86.8
390.6,1.98,70.7
411.4,1.98,80.76
550.9,1.222,88.19
402.9,1.98,84.44
472.3,1.98,81.14
515.9,1.438,85.96
537.1,1.682,91.7
812.5,0.9949,98.69
402.8,1.98,75.68
417.2,1.547,90.25
445.2,1.98,77.97
390.8,1.98,82.18
394.4,1.98,73.1
392.5,1.757,70.7
531.7,1.527,99
545.1,1.918,81.21
470.8,1.835,73.05
406.6,1.806,80.31
440.1,1.675,81.34
697.5,1.538,86.55
353.4,1.98,77.5
376.5,1.98,73.7
322.4,1.98,81.86
357.1,1.98,74.27
309.8,1.98,73.08
374.3,1.98,81.82
385.2,1.98,83.41
579.8,1.551,85.19
428.7,1.685,89.24
407.7,1.98,70.7
472.8,1.905,87.87
603.4,1.425,94.97
372.2,1.98,79.95
506.3,1.797,82.27
382.8,1.98,81.73
532,1.47,84.47
391.2,1.98,84.03
447.4,1.98,82.14
421.3,1.98,94.6
482.7,1.943,71.45
452.4,1.98,81.74
411.9,1.98,82.78
535.7,1.33,95.4
453.1,1.353,85.8
347.5,1.98,71.47
593.5,1.98,79.59
445.4,1.47,91.55
356.7,1.98,81.54
446.4,1.98,79.04
459,1.98,80.1
427.3,1.71,70.7
340.7,1.98,81.31
400.6,1.98,74.85
416.5,1.98,71.1
381.3,1.98,82.98
383.9,1.98,81.8
517.2,1.98,70.7
574.9,1.833,90.24
703.2,1.174,99
383.3,1.98,79.7
558.4,1.598,85.18
396.1,1.98,82.38
395.3,1.98,73.72
357.6,1.98,74.9
430.9,1.98,70.7
445.2,1.92,88.61
600.9,1.676,84.6
515.9,1.732,83.1
469.1,1.98,73.74
470,1.98,88.63
481.1,1.965,88.28
385.7,1.98,79.62
444.3,1.98,87.5
399.8,1.98,81.11
512.9,1.261,87.64
466.7,1.44,74.98
384.9,1.98,82.08
717.2,1.398,88.86
390,1.961,78.3
451.2,1.98,80.4
572.8,1.08,90.93
389.9,1.618,82.1
510.6,1.421,85.62
398.5,1.98,73.48
399,1.797,90.06
670.8,1.275,89.5
428.1,1.98,70.7
485.8,1.443,99
419.6,1.935,81.77
443.5,1.826,71.88
412.7,1.98,73.06
597.1,1.547,85.75
481.5,1.98,70.7
500.3,1.355,93.56
736.5,1.333,99
376.3,1.98,73.93
423.4,1.98,79.87
418.3,1.98,87.86
446.2,1.98,79.2
419.4,1.98,80.73
633.9,1.187,91.06
472.8,1.978,81.97
347.4,1.98,82.52
