Kmax,Ku,n,halfmax,Vhalf,slope
2092000,1.315e-05,0.7104,3747000,-67.59,0.5583
12060000,1.625e-05,0.6698,18060000,-26.69,0.6678
90140,2.773e-05,0.6342,178800,-1.096,0.5041
65950,3.188e-05,0.6326,115300,-1.002,0.572
78780,2.438e-05,0.6334,143400,-3.672,0.5494
3809000,2.429e-05,0.6065,7589000,-2.902,0.5019
899700,2.627e-05,0.5777,1542000,-1.001,0.5835
162200,3.067e-05,0.6128,368600,-1.001,0.44
269400,3.198e-05,0.6654,550500,-1,0.4894
26600,2.958e-05,0.5916,46450,-1,0.5727
948300,2.039e-05,0.647,1562000,-4.147,0.6071
13270000,1.496e-05,0.6967,24230000,-40.37,0.5477
597800,3.647e-05,0.7358,1439000,-1.006,0.4154
325400,2.711e-05,0.6355,555000,-1.01,0.5863
5352000,1.919e-05,0.713,10390000,-8.935,0.5151
579800,2.93e-05,0.6015,953400,-1.007,0.6081
232800,2.864e-05,0.7469,550500,-1.473,0.4229
1031000,2.321e-05,0.6864,1900000,-5.404,0.5426
58830,2.96e-05,0.5953,103600,-1.02,0.5679
118000,1.535e-05,0.6447,181600,-20.44,0.6498
108500,2.853e-05,0.5962,223500,-1.004,0.4855
3470000,2.342e-05,0.8057,10160000,-4.182,0.3415
75840,3.806e-05,0.6973,195600,-1.001,0.3877
1581000,2.116e-05,0.6495,2629000,-5.497,0.6014
224600,3.266e-05,0.6584,510300,-1.001,0.4401
935600,3.508e-05,0.7773,2489000,-1.579,0.3759
583500,1.69e-05,0.7756,1233000,-22.84,0.4732
14290000,1.508e-05,0.7841,32070000,-35.11,0.4456
52460,1.984e-05,0.7563,120400,-9.466,0.4357
7.658,3.167e-05,1.031,26.95,-1.003,0.2842
194100,3.624e-05,0.6064,305200,-1,0.636
62890,2.902e-05,0.6269,103100,-1.003,0.61
99460,5.083e-05,0.7736,222800,-1,0.4464
546600,1.363e-05,0.7809,1199000,-62.77,0.4559
5.508,2.634e-05,1.048,13.28,-1,0.4148
