ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
8834,1.987,18260,1.813,3809,1.353,126.5,0.9735
6295,1.941,21140,1.967,3957,1.244,117.5,1.017
14890,1.747,18890,1.744,3705,1.342,124.3,1.09
10500,1.761,19930,1.386,3839,1.362,107.1,1.023
11460,1.415,19990,1.578,3754,1.311,130.3,0.9752
8571,1.953,25050,1.758,3992,1.342,108.1,1.148
8968,1.985,19680,1.833,3791,1.427,111.9,1.089
9945,1.967,18560,1.68,3942,1.472,119.7,1.02
10100,1.687,23070,1.7,3799,1.515,132.9,0.9544
10820,1.679,20730,1.72,3485,1.455,122.2,0.9515
11210,1.837,22630,1.538,3860,1.339,128.3,1.08
9958,1.758,18040,1.753,3938,1.494,118.3,1.078
9716,1.792,20070,1.816,4524,1.351,127.5,0.9673
7267,1.516,20140,1.829,4705,1.199,125.9,1.049
10320,1.873,19120,1.972,3881,1.373,122.2,1.123
9246,1.76,19320,1.871,3552,1.247,108.6,1.171
9103,1.587,20450,1.86,3652,1.334,121.8,1.074
9097,1.771,17990,1.793,3869,1.425,116.9,0.9734
8439,1.882,18680,1.541,3631,1.413,125.3,0.9683
9316,1.973,20160,1.675,3552,1.442,102.8,0.9878
8648,1.731,21190,1.729,4009,1.537,114.4,1.065
7858,1.504,16930,1.918,4053,1.274,137.5,1.189
10730,1.805,20030,1.819,4021,1.442,107.7,0.9404
9931,1.971,20090,1.839,4091,1.437,106.6,0.9879
9581,1.833,19300,1.68,3889,1.333,110,1.09
9080,1.998,18890,1.864,3973,1.284,106.6,0.9566
8585,1.905,21270,1.64,3486,1.235,112.2,1.022
9486,1.999,20210,1.902,3734,1.29,109.4,1.033
9638,1.535,19230,1.779,4103,1.322,100.5,1.08
11560,1.735,21050,1.75,3775,1.342,115.3,0.9836
10120,1.958,21920,1.215,3371,1.141,103.3,0.9447
9370,1.989,20720,1.63,3525,1.566,121.2,1.119
8228,1.696,18470,1.908,3550,1.969,111.3,1.027
7628,1.877,30410,0.8517,3895,1.281,132.7,0.8757
11150,1.967,17550,1.724,3353,1.169,120.3,1.147
10340,1.797,22590,1.26,3696,1.222,115.8,1.007
9809,1.912,15070,1.354,3703,1.674,126.4,1.019
9239,1.942,14510,1.581,3393,1.641,122.9,1.027
5215,1.773,17500,1.702,4090,1.577,137.1,0.9213
7425,1.843,18290,1.531,3489,1.293,115.9,1.035
6585,1.838,16760,1.837,3303,1.313,119,1.038
10530,1.912,16500,1.879,3615,1.428,117.5,0.9658
7489,1.937,19460,1.681,3895,1.285,104.8,1.074
10290,1.888,17980,1.978,3497,1.462,138.8,1.029
10860,1.919,23190,1.881,3875,1.332,114.8,1.023
7317,1.993,20750,1.928,3645,1.244,116.2,1.013
9289,1.888,21670,1.464,3506,1.367,106.7,0.9947
9767,1.965,16890,1.7,3617,1.567,118.9,1.089
10780,1.719,18520,1.81,3785,1.513,138.8,0.9486
10860,1.475,20650,2,3944,1.57,114.5,1.088
9650,1.865,21240,1.952,4208,1.289,123.3,1
8555,1.979,23970,1.976,4420,1.288,109.3,1.027
9818,1.834,19250,1.818,3724,1.557,125.8,1.082
8812,1.986,22850,1.727,3721,1.636,131.9,0.967
8709,1.969,21680,1.871,3857,1.691,124.9,0.9607
8911,1.98,20660,1.717,3496,1.06,128.2,1.085
7864,1.871,18960,1.482,3258,1.725,114.4,1.023
7979,1.817,16350,1.404,3856,1.292,137.4,1.062
10260,1.998,19000,1.439,3883,1.309,131.9,1.053
8312,1.991,20330,1.987,3969,1.144,116.9,1.011
8641,1.839,17310,1.326,3648,1.486,110.6,1.062
11360,1.957,17980,1.509,3248,1.711,105.8,0.9919
9603,1.882,16390,1.779,3658,1.954,113.9,0.9572
9384,1.846,18800,1.859,3945,1.401,119.8,1.069
8835,1.981,20420,1.835,4003,1.389,125.5,1.119
9759,1.958,19770,1.85,3780,1.53,134.5,1.006
9837,1.82,19840,1.918,4446,1.188,118.1,1.07
8966,1.988,18690,1.662,3641,1.111,113,1.004
9705,1.877,20370,1.779,3313,1.47,117.5,1.025
8905,1.62,20540,1.442,3407,1.387,124.6,1.025
9342,1.77,21760,0.9933,3670,1.204,116.3,1.057
6997,1.872,18640,1.227,4018,1.229,115.9,1.058
8350,1.963,20290,1.532,3942,1.33,114.9,0.9769
8917,1.988,18910,1.833,3743,1.504,123.1,0.8937
9395,1.847,18330,1.314,3561,1.616,125.4,1.031
9621,1.962,19750,1.604,4110,1.361,114.5,1.029
9447,1.832,21500,1.679,4349,1.438,116.2,0.9986
9460,1.881,20800,1.881,3817,1.377,156.2,1.206
9072,1.824,21170,1.184,3737,1.319,123.2,0.9965
9772,1.977,20330,1.982,3307,1.313,106.8,0.9657
8658,1.94,24060,1.999,3940,1.353,119.4,0.9384
12830,1.894,23770,1.223,3227,1.381,109.7,0.8774
9604,1.95,15430,1.612,4033,1.606,122.7,1.04
10240,1.87,16920,1.768,3619,1.29,102.3,0.9858
8240,1.757,16650,1.477,4303,1.145,101.1,1.11
10690,1.944,22110,1.404,3658,1.617,137.8,1.223
8509,1.828,18760,1.756,3752,1.333,146,1.158
9112,1.888,18770,1.736,3666,1.288,133.6,0.9559
10330,1.854,19160,1.863,3430,1.361,114.5,1.126
10760,1.808,21320,1.447,3844,1.426,119.3,1.088
10040,1.995,20720,1.46,4221,1.159,118.1,1.018
9163,1.832,18680,1.787,4142,1.278,112.3,0.9973
11160,1.779,23980,1.134,4029,1.226,117.6,1.05
9587,1.798,20400,1.198,3554,1.281,113.9,0.8593
9346,1.793,20750,1.409,4137,1.26,133.9,0.9786
10520,1.897,19990,1.731,3753,1.421,117.5,1.072
10040,1.837,17930,1.738,3321,1.712,132,1.057
10440,1.794,18510,1.799,3419,1.433,131.6,0.9569
9585,1.908,22130,1.849,3483,1.599,132.2,0.8559
9205,1.967,19550,1.699,3484,1.431,120.8,1.09
8873,1.875,17390,1.672,3909,1.465,119.4,0.9702
8780,1.916,17440,1.768,3831,1.231,119.6,1.189
9084,1.982,22160,1.847,3633,1.415,133.2,1.03
9562,1.912,22750,1.422,3705,1.377,122.8,1.158
7980,1.984,19350,1.44,3269,1.734,121.6,1.121
10130,1.716,19910,1.141,4099,1.342,119.7,1.013
10010,1.623,22630,1.155,3770,1.466,130,1.053
9755,1.879,18640,1.742,3560,1.204,127.6,0.9627
6983,1.877,18300,1.85,3265,1.526,112.7,0.9354
10090,1.852,21910,1.451,4107,1.464,114.6,1.039
7524,1.829,17070,1.983,4046,1.14,120.5,1.045
9792,1.704,17440,1.909,4182,1.527,117.6,1.016
10590,1.944,19730,1.966,3889,1.431,119.7,1.158
9083,1.992,18450,1.969,3866,1.363,125.8,1.141
8866,1.986,18650,1.98,3349,1.282,134.4,1.06
7910,1.95,20140,1.634,3839,1.694,112.2,1.101
8845,1.639,23380,1.757,3468,1.382,115.8,1.017
9986,1.834,26830,1.904,3786,1.449,106.1,1.082
9821,1.825,19080,1.868,3621,1.462,122.5,0.9842
8729,1.899,21560,1.76,3591,1.341,132.1,1.079
8916,1.628,18170,1.901,3796,1.477,117.3,1.007
8679,1.822,20040,1.785,3904,1.179,132.4,1.155
11430,1.723,20800,1.44,3229,1.154,136.1,1.161
8684,1.64,18370,1.593,3177,1.337,112,1.123
8467,1.76,19940,1.68,3420,1.467,101.4,1.028
8093,1.766,18380,1.243,3177,1.748,113.6,1.034
9152,1.965,20160,1.853,3679,1.389,117.9,1.05
9399,1.995,19040,1.822,3039,1.914,125.8,0.9305
11570,1.891,21270,1.422,3159,1.465,113,0.9435
11010,1.907,14990,1.59,3556,1.258,119.6,1.072
9267,1.967,22230,1.78,3863,1.218,124.9,1.098
9141,1.902,16720,1.857,3873,1.437,126.2,1.003
9308,1.87,21230,1.847,3615,1.431,119.4,1.018
9564,1.904,21790,1.683,3482,1.301,108.8,1.048
9847,1.975,20480,1.81,4175,1.303,112.6,1.012
10010,1.985,21190,1.245,3771,1.288,125.1,1.176
9860,1.846,23080,1.699,3972,1.315,136.9,1.094
7032,1.874,24490,1.336,3920,1.384,129,0.9533
9174,1.886,24120,1.485,3520,1.259,121.4,1.014
9008,1.908,20530,1.722,3564,1.518,124.8,1.107
11920,1.939,22640,1.409,3692,1.648,117,1.138
8961,1.802,19200,1.712,3569,1.469,129.9,1.069
8344,1.835,21250,1.74,3612,1.47,152.5,1
10040,1.874,24440,1.915,3733,1.555,114.4,1.007
8659,1.901,19420,1.671,3695,1.409,116.9,1.1
8975,1.73,18720,1.726,2940,1.477,110.9,1.129
8751,1.87,18590,1.609,3218,1.484,146.1,1.133
10410,1.824,24950,1.135,3612,1.511,140.2,1.058
7357,1.906,18440,1.793,3449,1.275,110.2,1.038
10160,1.99,19850,1.917,3799,1.314,109.6,1.026
9515,2,19740,1.949,3887,1.851,131.4,1.07
10700,1.857,19680,1.996,3762,1.554,114.5,1.027
9742,1.978,18230,1.981,3588,1.569,120.5,1.009
12030,1.859,17440,1.642,3796,1.299,107.9,1.118
12040,1.982,20980,1.345,4094,1.317,130.9,1.046
11210,1.771,17660,1.341,3806,1.358,125.1,0.9593
9797,1.853,18860,1.892,3504,1.404,105.9,1.112
8519,1.975,17700,1.78,3627,1.274,105.8,1.067
7834,1.868,23980,1.398,3707,1.412,124.9,1.161
12880,1.968,18680,1.374,3941,1.402,113.3,0.9889
9826,1.856,17570,1.996,3345,1.248,110.4,1.015
7281,1.947,18120,1.06,3692,1.398,105.2,0.969
9851,1.966,20540,1.467,3474,1.378,111.2,1.026
9845,1.974,19920,1.877,3464,1.364,140.4,1.057
10720,1.641,18970,1.969,3748,1.349,136.1,1.023
8686,1.982,22400,1.643,3890,1.271,135.4,1.01
12640,1.986,19460,1.995,3683,1.444,133,1.069
9216,1.945,19140,1.933,4350,1.32,136.5,0.9796
11430,1.946,16830,1.896,3203,1.382,117.9,1.128
10770,1.933,18270,1.892,3366,1.631,147.3,1.021
7402,1.818,20420,1.93,3430,1.313,150.1,1.157
7208,1.654,20930,1.988,3827,1.382,145.8,1.06
8454,1.329,19620,1.832,3179,1.283,114.8,0.9906
8150,1.652,22710,1.61,3675,1.359,112.5,1.098
9692,1.995,19970,1.709,3691,1.376,131,1.053
9718,1.837,18570,1.549,3793,1.33,127.8,1.012
11810,1.935,19700,1.704,4187,1.25,145.5,1.068
8940,1.721,19610,1.537,4000,1.364,122.3,1.074
9490,1.841,14980,1.39,4315,1.31,111.6,0.9469
8602,1.776,20660,1.927,4149,1.285,122.3,1.103
9541,1.984,30180,0.9727,4650,1.049,120.2,1.121
9882,1.719,17420,1.46,3892,1.5,106.1,1.068
9751,1.97,19930,1.792,3862,1.558,132.9,1.184
7459,1.937,19500,1.856,3903,1.436,115.9,0.9311
7685,1.933,22760,1.683,3895,1.562,117.5,1.035
11770,1.935,18260,1.333,3952,1.466,128.8,1.023
9572,1.585,17730,1.575,3746,1.549,121.8,1.04
9884,1.677,19620,1.967,3435,1.337,128.6,1.039
11110,1.798,21920,1.986,3751,1.41,118.7,1.094
8894,1.971,21240,1.643,4050,1.206,121.3,0.9904
9016,1.817,20600,1.708,3827,1.587,125.1,1.01
9010,1.973,20090,1.987,3378,1.611,138.2,1.029
11570,1.586,23920,1.324,3599,1.344,128.2,1.048
11100,1.984,17970,1.273,3509,1.403,125.6,1.109
9333,1.966,20570,1.813,3488,1.245,99.02,1.137
10770,1.985,22070,1.431,3085,1.309,105.5,0.945
11260,1.714,20720,1.744,3770,1.562,123.3,1.04
9049,1.879,18240,1.695,3632,1.152,98.47,1.051
10040,1.841,18150,1.691,3252,1.179,106.2,1.087
10800,1.87,19520,1.657,3960,1.069,113.2,1.087
8400,1.616,17790,1.848,3612,1.214,103,0.9235
8076,1.472,18400,1.896,3928,1.306,112.4,0.9422
7966,1.397,20210,1.699,3410,1.455,125.2,1.018
10650,1.816,19050,1.504,3725,1.479,131.5,0.9427
12210,1.818,19550,1.643,3671,1.303,115.7,1.173
10530,1.479,21000,1.983,4023,1.317,110.5,1.029
8410,1.744,21540,1.935,3728,1.516,125.6,1.103
8603,1.323,18090,1.603,3846,1.403,109.1,0.9499
8877,1.966,21210,1.429,3523,1.214,115.1,1.066
7824,1.978,20450,1.581,3595,1.389,112.8,0.98
9223,1.98,18920,1.741,3347,1.899,128.6,1.037
9431,1.921,16440,1.659,3961,1.239,119.6,0.964
9442,1.795,18980,1.815,4030,1.211,117.6,0.9711
10440,1.791,19430,1.472,3581,1.177,106.1,1.045
11180,1.94,18340,1.925,3190,1.261,120.9,1.026
7289,1.926,20720,1.7,3378,1.641,133.5,0.884
9002,1.84,18460,1.937,3563,1.737,117,0.9082
8992,1.885,16590,1.885,4268,1.405,102.5,0.9565
7082,1.967,21640,1.686,3531,1.249,115.9,1.04
9840,1.913,19520,1.988,3279,1.426,132.8,1.111
8272,1.454,20270,1.623,3214,1.337,110.3,0.8169
8907,1.571,23410,1.319,3101,1.444,111.5,0.9619
10970,1.982,24650,1.448,3761,1.427,156.3,0.8677
10850,1.967,16900,1.705,3701,1.726,154.7,1.029
9728,1.878,22410,1.807,3234,1.237,133.8,1.099
10000,1.663,18510,1.71,3864,1.224,152.7,1.079
7715,1.918,21780,1.377,4122,1.324,131.5,1.064
9958,2,21640,1.845,3596,1.522,125,0.9802
9023,1.989,21540,1.682,3702,1.308,123.1,0.9499
9330,1.938,18850,1.721,3448,1.371,135,1.087
8492,1.895,20630,1.477,3693,1.422,126,1.122
8925,1.911,24620,1.089,3705,1.581,124.9,1.109
10210,1.969,25050,1.06,3686,1.402,121.1,1.034
10460,1.961,15710,1.814,3685,1.171,113.2,0.965
9839,1.959,17310,1.669,3845,1.57,112.9,1.001
9519,1.509,17870,1.585,3920,1.401,118.2,0.983
10610,1.974,20370,1.363,3578,1.246,108.2,0.9856
8979,1.871,22130,1.442,3449,1.421,126.5,1.146
9662,1.968,18380,1.838,3643,1.199,120.4,1.098
9362,1.928,21240,1.743,3602,1.37,129.9,1.011
10230,1.654,21270,1.345,3616,1.377,145.9,0.9786
9743,1.494,21820,1.911,3486,1.458,118.8,1.006
11100,1.78,17840,1.838,3660,1.256,143.6,1.057
9017,1.891,19370,1.866,3570,1.344,97.61,1.004
9400,1.927,18900,1.731,3605,1.489,109.6,0.9748
8157,1.8,19900,1.517,3938,1.322,112.9,1.08
10170,1.936,18730,1.321,3432,1.281,110.7,1.17
7752,1.661,21330,1.412,3647,1.265,96.9,1.085
9143,1.54,21030,1.932,4022,1.195,130,1.305
9752,1.692,17110,1.779,3691,1.257,141.6,1.195
9813,1.76,15930,1.702,3794,1.498,125.4,1.005
10430,1.98,18100,1.833,3845,1.28,121.5,0.9917
10260,1.991,18940,1.898,3581,1.44,112.8,0.9646
9418,1.897,16530,1.981,3615,1.526,126.7,1.076
9153,1.988,18620,1.952,4049,1.379,109.2,0.9473
9709,1.798,19450,1.566,3749,1.43,126.5,1.035
