ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
251500000,1.999,7572000,1.385,575700000,0.7048
395400000,1.044,82910000,1.299,7.522e+09,0.7027
13190000,1.98,9.009e+09,0.5716,83660000,0.9226
1.862e+09,1.727,2.574e+09,0.5385,6.997e+09,0.6337
104900000,1.789,35790000,0.8684,67910000,1.261
8.962e+09,1.691,8.906e+09,0.9018,283300000,1.581
4.798e+09,0.8107,398800000,0.6754,1.485e+09,1.917
5737000,1.528,1.217e+09,0.56,1.045e+09,0.945
2.43e+09,0.8929,121100000,1.44,12180000,1.35
211200000,1.239,278400000,0.586,11010000,1.158
1.252e+09,0.71,6887000,1.371,5.112e+09,1.883
9613000,1.772,41270000,0.9029,296800000,1.628
6.195e+09,1.895,2.026e+09,1.41,251500000,1.008
92270000,1.655,598900000,1.096,2.695e+09,0.833
2.657e+09,1.718,14210000,1.562,320700000,0.7855
1.415e+09,1.908,508500000,0.8032,4.56e+08,1.107
3.777e+09,1.512,481200000,0.5991,341200000,1.241
2.57e+09,0.7941,558400000,0.5694,326500000,1.714
335600000,1.618,809500000,0.5187,214200000,1.699
2034000,1.951,53520000,1.997,119400000,1.811
34820000,1.545,2755000,1.823,1.424e+09,0.7583
1.869e+09,1.301,43310000,0.7096,32600000,1.808
4.41e+08,1.264,4.499e+09,0.5216,110500000,1.862
1.005e+09,1.263,437300000,1.38,760100000,0.9244
130600000,1.81,766900000,1.113,2.416e+09,1.79
3.866e+09,0.6094,1.625e+09,1.6,8.029e+09,0.6436
27210000,1.294,63840000,0.9594,1.859e+09,1.914
3.553e+09,1.336,6.085e+09,1.003,2.282e+09,1.824
30380000,1.616,3447000,1.722,2.092e+09,1.367
1.289e+09,1.963,6780000,1.569,409500000,1.672
45650000,1.925,43830000,1.361,2.788e+09,0.6303
91790000,0.9831,424500000,0.9493,1.117e+09,1.156
7.68e+09,0.7021,136600000,0.8938,43200000,1.308
3.327e+09,1.207,16010000,1.687,392600000,1.828
6.227e+09,1.034,17570000,1.139,22660000,1.797
17250000,1.718,2.654e+09,0.8883,69670000,1.746
9.22e+08,1.476,662300000,0.6958,63710000,1.816
171800000,1.32,3.758e+09,0.6644,812500000,1.579
4.521e+09,1.437,497900000,1.168,45450000,1.576
10030000,1.521,132400000,0.6938,10600000,1.304
258500000,1.643,104900000,0.7786,3055000,1.441
172500000,1.552,9465000,1.437,54370000,0.8885
1.389e+09,1.752,358100000,0.5514,2.1e+09,0.8289
5.521e+09,1.859,18890000,0.936,162900000,1.392
1.78e+09,0.6116,8523000,1.428,2.837e+09,1.847
40320000,1.345,343500000,0.7423,717100000,0.8553
70670000,1.5,27430000,0.7963,37670000,0.7256
5.559e+09,1.725,47860000,1.682,32860000,1.092
165100000,1.893,392300000,1.688,7187000,1.953
1.796e+09,1.815,26910000,0.7763,266700000,0.9518
1.09e+08,1.248,21540000,0.9912,163800000,1.39
320700000,1.191,65300000,1.756,2536000,1.683
197700000,1.436,309300000,1.685,5.277e+09,1.364
865100000,1.667,14970000,1.589,8.363e+09,1.102
194500000,1.879,7585000,1.914,1.392e+09,1.209
30630000,1.762,208200000,0.7144,1.553e+09,1.327
1.1e+09,1.782,485600000,0.5919,431700000,1.297
4.162e+09,1.577,1.91e+08,1.576,724800000,1.956
92490000,1.614,13950000,1.893,61500000,1.528
12040000,1.659,649500000,0.669,1.194e+09,1.322
14020000,1.309,1.122e+09,0.562,24810000,1.563
