ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
3824,1.957,9125,1.905,2353,1.12,993.5,1.656
3507,1.883,10540,1.678,2402,1.317,1207,1.534
3879,1.898,10060,1.737,2443,1.187,965.2,1.69
3795,1.395,10360,1.642,1500,1.631,1109,1.407
3610,1.771,10330,1.589,2344,1.368,1115,1.785
9384,1.966,9095,1.615,2666,1.107,924.4,1.768
6047,1.566,9777,1.675,2142,1.296,1212,1.866
2130,1.682,10180,1.644,2742,1.396,957.6,1.682
3792,1.424,8944,2,2387,1.289,1001,1.697
5644,1.671,8878,1.959,2393,1.542,1042,1.898
4732,1.975,10500,1.848,2763,1.559,950.9,1.847
4435,1.964,10040,1.867,2193,1.403,976.4,1.936
4180,1.861,9610,1.355,2620,1.422,1004,1.954
4415,1.558,8774,1.665,2169,1.345,1056,1.909
4638,1.805,10550,1.964,2266,1.099,915.2,1.394
4950,1.8,11540,1.403,2504,1.272,862.2,1.456
4294,1.86,8514,1.996,2022,1.421,977.3,1.256
2872,1.607,10570,1.617,1963,1.157,1145,1.764
3599,1.526,9834,1.601,2496,1.147,1192,1.612
3670,1.75,8941,1.63,2200,1.753,1039,1.868
3560,1.284,9202,1.836,1693,1.219,1126,1.915
4013,1.356,9070,1.758,2035,1.401,1271,1.454
3629,1.657,8891,1.658,2146,1.455,1006,1.839
5749,1.992,9031,1.675,2457,1.578,1104,1.624
4826,1.598,9653,1.723,2473,1.351,1072,1.293
7980,1.268,9419,1.762,2323,1.404,977.1,1.656
3647,1.822,9747,1.703,2241,1.116,1067,1.816
3352,1.481,11150,1.528,2567,1.411,957.4,1.984
7116,0.8782,9729,1.848,1926,1.455,978.3,1.92
8476,1.543,9604,1.726,1890,1.6,1133,1.878
4132,1.916,9818,1.513,2968,1.33,1144,1.7
4076,1.912,9174,1.391,2233,1.166,1160,1.526
7189,1.344,9582,1.62,2108,1.372,965.9,1.875
5597,1.821,8759,1.876,2138,1.189,892.3,1.879
5229,1.763,9894,1.782,2498,1.324,999.8,1.939
5953,1.916,9712,1.66,2185,1.113,921.8,1.964
3632,1.982,9384,1.768,2087,1.307,972.9,1.832
2806,1.445,9914,1.888,1834,1.241,1114,1.871
2401,1.505,9021,1.781,2106,1.577,998.3,1.669
5667,1.249,10330,1.639,1823,1.325,940.6,1.971
4569,1.44,9583,1.975,2057,1.507,941.1,1.803
4202,1.357,10830,1.426,1909,1.691,980.7,1.97
4650,1.506,11570,1.384,2460,1.638,1248,1.668
4726,1.607,10040,1.491,2123,1.681,1046,1.72
6983,1.805,9826,1.493,2347,1.548,935.3,1.682
2818,1.956,9742,1.614,2026,1.679,928.6,1.493
5610,1.827,9136,1.944,2339,1.703,939.9,1.805
5029,1.958,9489,1.865,2471,1.28,916,1.983
4146,1.916,9426,1.943,2095,1.443,1022,1.901
4681,1.825,9568,1.645,2136,1.477,925.4,1.736
3178,1.92,10260,1.92,1971,1.22,934.3,1.932
3318,1.938,11000,1.992,2026,1.411,1105,1.684
3797,1.983,9923,1.961,3013,1.445,1245,1.574
4921,1.821,11560,1.608,2939,1.268,1225,1.437
3352,1.66,9235,1.914,2324,1.368,1199,1.298
3733,1.93,9823,1.892,2960,1.332,939.3,1.515
3536,1.804,10390,1.687,2226,1.622,1316,1.428
2747,1.75,11120,1.758,2199,1.631,1172,1.543
2866,1.768,13290,1.341,1899,1.297,1064,1.68
6152,1.941,10100,1.761,2264,1.233,1006,1.527
3581,1.878,8687,1.318,2273,1.363,961.1,1.513
4740,1.792,7919,1.835,1795,1.281,965.6,1.885
3780,1.748,9010,1.856,2260,1.513,955.2,1.608
3038,1.489,10310,1.517,2061,1.416,861.6,1.882
5221,1.569,9654,1.605,2203,1.245,990.1,1.811
2146,1.932,11000,1.578,2040,1.461,989.4,1.799
3506,1.767,9877,1.421,2100,1.443,1262,1.79
4493,1.831,9143,1.837,2133,1.424,1181,1.855
4871,1.854,9375,1.993,2709,1.407,1197,1.597
4218,1.88,9306,1.648,2122,1.363,885.1,1.811
4166,1.102,8369,1.902,2509,1.216,1154,1.51
3336,1.611,9930,1.722,2616,1.376,1057,1.873
6322,1.887,9909,1.778,2475,1.229,998.9,1.847
4155,1.803,10060,1.571,2079,1.366,1177,1.794
4089,1.569,9217,1.894,2832,1.045,1055,1.632
4149,1.711,9180,1.842,2377,1.756,1235,1.828
5766,1.976,9087,1.77,2442,1.597,1032,1.427
5726,1.779,9755,1.963,1880,1.616,1194,1.763
5027,1.444,10160,1.617,2125,1.336,1017,1.936
5280,1.815,9889,1.998,2593,1.207,767.4,1.69
5203,1.98,9802,1.694,2235,1.302,819,1.851
3592,1.576,9512,1.749,2173,1.289,771.3,1.629
3625,1.808,9609,1.911,2552,1.308,958.2,1.744
4826,1.782,8933,1.849,2198,1.143,994,1.685
3706,1.83,10460,1.466,2387,1.423,1053,1.589
3982,1.827,10740,1.333,2330,1.188,941.9,1.618
5447,1.724,9485,1.7,2116,1.531,958.1,1.919
3870,1.972,9190,1.995,2594,1.578,1107,1.754
3209,1.842,9778,1.892,2419,1.322,1028,1.781
5425,1.932,9398,1.648,2809,1.251,1188,1.354
4971,1.661,9281,1.813,3606,1.257,972.8,1.969
3941,1.43,9198,1.514,2826,1.113,987.6,1.978
10710,0.5786,9391,1.741,2084,1.093,1166,1.214
5080,1.455,9551,1.648,2540,1.393,978.8,1.549
4880,1.517,9794,1.745,1762,1.369,1057,1.386
3849,0.8736,8688,1.958,2414,1.138,1217,1.501
3596,1.049,10200,1.881,1771,1.166,1041,1.429
4378,1.979,9098,1.753,2357,1.065,1020,1.825
3403,1.653,9514,1.501,2337,1.163,1040,1.412
2854,1.203,9122,1.952,2138,1.352,937.2,1.463
5531,1.753,9989,1.859,1739,1.701,1009,1.483
3327,1.71,8938,1.492,1866,1.951,993.8,1.745
3354,1.834,10440,1.395,2502,1.598,979.6,1.909
1809,1.765,8905,1.441,2458,1.555,913.3,1.693
6775,1.557,9986,1.662,2782,1.558,783,1.495
5576,1.924,9420,1.699,1750,1.772,995.9,1.747
5397,1.783,10650,1.685,2091,1.37,883.4,1.579
4463,1.709,9226,1.916,2479,1.226,1051,1.742
2676,0.8887,9532,1.61,2513,1.396,966.5,1.799
1276,1.536,9405,1.787,2099,1.704,1121,1.86
3339,1.758,9495,1.93,2063,1.487,1104,1.697
3872,1.881,9070,1.948,1854,1.539,1095,1.811
4915,1.978,9240,1.799,1958,1.936,938.1,1.979
4978,1.779,8995,1.504,1757,1.878,956,1.565
2954,1.441,9075,1.739,1786,1.614,972.1,1.837
2380,1.951,9486,1.614,3618,1.3,1024,1.91
3389,1.78,10950,1.769,1870,1.372,1084,1.984
3073,1.982,8859,1.805,2366,1.873,923.7,1.741
5040,1.873,10070,1.597,2149,1.409,1142,1.733
7179,1.396,10340,1.754,2508,1.142,1088,1.792
5272,1.917,10450,1.79,1898,1.684,1046,1.947
4042,1.73,10080,1.707,2073,1.705,1130,1.923
5238,1.795,9108,1.802,2404,1.342,910.3,1.62
6297,1.686,10440,1.515,2730,1.768,999.7,1.934
3324,1.493,10090,1.825,2322,1.334,1237,1.928
3412,1.947,9558,1.826,1825,1.252,1175,1.265
4274,1.893,8749,1.909,1898,1.189,1027,1.582
4442,1.636,9433,1.828,2219,1.272,1043,1.463
1854,1.953,10380,1.848,2332,1.425,871,1.898
1309,1.856,9082,1.986,2811,1.078,1103,1.838
1241,1.949,9592,1.991,2087,1.616,1119,1.52
4894,1.557,8946,1.879,2155,1.38,1035,1.698
5335,1.531,10530,1.69,2262,1.866,988.6,1.772
4480,1.449,10560,1.503,2567,1.783,1131,1.739
5376,1.762,10390,1.728,1926,1.232,1052,1.718
4491,1.787,10680,1.541,2104,1.417,906.7,1.89
4750,1.785,9081,1.89,2537,1.772,952.9,1.969
3322,1.851,9756,1.875,2324,1.079,937.8,1.899
2956,1.893,9827,1.363,2910,1.56,826.5,1.562
3150,1.871,8758,1.766,2218,1.688,1128,1.668
5065,1.757,8691,1.388,2477,1.521,1043,1.909
4137,1.843,8615,1.875,2342,1.461,1056,1.682
2549,1.969,10740,1.44,2244,1.604,1002,1.289
3571,1.967,8766,1.832,2641,1.59,1080,1.819
5069,1.57,8332,1.924,1949,1.428,1002,1.855
7088,1.737,9436,1.899,2315,1.294,953.8,1.981
3748,1.058,8725,1.963,2133,1.204,1108,1.602
5723,1.512,9116,1.909,2332,1.206,963.4,1.456
3399,1.828,9264,1.961,2145,1.072,912.9,1.821
5472,1.492,9677,1.931,2361,1.229,1178,1.188
3655,1.436,9368,1.715,2178,1.022,1022,1.321
4272,1.852,10150,1.691,2147,1.233,1014,1.631
4487,1.936,11120,1.565,2717,1.628,1041,1.508
3995,1.521,9057,1.519,2259,1.234,899.8,1.978
4097,1.704,8971,1.937,2730,1.501,1051,1.778
4931,1.971,9169,1.588,1916,1.503,1082,1.527
6709,1.145,10210,1.524,2042,1.408,1070,1.695
4444,0.8963,8684,1.7,2754,1.333,1004,1.699
22920,1.134,10510,1.879,2390,1.204,986.2,1.73
9427,0.8288,10160,1.584,2305,1.517,998.6,1.826
8151,1.532,9774,1.801,2384,1.435,1030,1.935
4813,1.469,9487,1.994,2157,1.375,1075,1.646
3461,1.557,9848,1.829,1870,1.45,904.9,1.705
5006,1.725,9050,1.459,2472,1.245,1015,1.89
4182,1.8,9831,1.273,1913,1.521,1057,1.628
5984,1.781,9971,1.776,2557,1.185,1157,1.986
3770,1.948,9315,1.926,2688,1.536,905.6,1.992
4830,1.68,10740,1.388,1637,1.704,906.6,1.911
2118,1.62,8274,1.903,2193,1.715,1098,1.629
3067,1.857,9327,1.487,2045,1.924,1046,1.912
5186,1.772,9495,1.785,1991,1.426,963.1,1.96
4849,1.38,9086,1.697,1841,1.392,992.1,1.774
3930,1.927,9583,1.83,2722,1.202,896.4,1.9
6199,1.77,9034,1.965,2627,1.651,1003,1.864
2639,1.996,10420,1.744,3016,1.227,889.9,1.187
5067,1.723,9307,1.947,2422,1.19,1197,1.171
2784,0.961,8204,1.95,2288,1.361,987.1,1.759
4884,1.807,10610,1.752,2309,1.375,1040,1.824
4136,1.983,9513,1.631,2572,1.539,969.3,1.99
4961,1.838,9377,1.62,2156,1.383,1087,1.95
7457,1.579,9614,1.548,2674,1.398,924.8,1.717
5316,1.833,9419,1.839,2487,1.198,1054,1.821
