ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
35380,1.1,NA,NA,NA,NA,NA,NA,8295,1.315,NA,NA,34710,0.8372
40230,1.04,NA,NA,NA,NA,NA,NA,7830,1.514,NA,NA,31020,0.897
41060,0.9155,NA,NA,NA,NA,NA,NA,9484,1.41,NA,NA,29170,0.961
33810,0.9701,NA,NA,NA,NA,NA,NA,8737,1.456,NA,NA,26760,0.9625
38360,0.9577,NA,NA,NA,NA,NA,NA,11410,0.9708,NA,NA,28610,0.8321
52280,0.85,NA,NA,NA,NA,NA,NA,8475,1.75,NA,NA,28360,0.9141
30300,1.079,NA,NA,NA,NA,NA,NA,8338,1.543,NA,NA,32740,0.859
34870,1.104,NA,NA,NA,NA,NA,NA,8758,1.531,NA,NA,31580,0.851
32080,1.273,NA,NA,NA,NA,NA,NA,8708,1.381,NA,NA,27500,0.872
40230,1.084,NA,NA,NA,NA,NA,NA,8020,1.465,NA,NA,29120,0.8892
38990,0.969,NA,NA,NA,NA,NA,NA,8484,1.51,NA,NA,28970,0.9527
37620,0.9575,NA,NA,NA,NA,NA,NA,8707,1.466,NA,NA,28240,0.9208
35830,1.073,NA,NA,NA,NA,NA,NA,9683,1.38,NA,NA,31500,0.8018
103200,0.7377,NA,NA,NA,NA,NA,NA,8402,1.856,NA,NA,26180,0.8566
119700,0.5936,NA,NA,NA,NA,NA,NA,8103,1.462,NA,NA,29800,0.9149
21810,1.405,NA,NA,NA,NA,NA,NA,9163,1.438,NA,NA,28870,0.9019
35300,1.134,NA,NA,NA,NA,NA,NA,9319,1.433,NA,NA,30980,0.8447
26950,1.301,NA,NA,NA,NA,NA,NA,8997,1.498,NA,NA,30210,0.7762
40180,0.9785,NA,NA,NA,NA,NA,NA,9920,1.369,NA,NA,30370,0.9074
29040,1.129,NA,NA,NA,NA,NA,NA,8673,1.388,NA,NA,30490,0.9373
49340,0.861,NA,NA,NA,NA,NA,NA,8972,1.468,NA,NA,28780,0.8733
41970,0.9784,NA,NA,NA,NA,NA,NA,7443,1.445,NA,NA,27450,0.9393
36140,1.248,NA,NA,NA,NA,NA,NA,9207,1.331,NA,NA,28830,0.9779
31640,1.148,NA,NA,NA,NA,NA,NA,10580,1.198,NA,NA,27090,0.8975
47170,0.9297,NA,NA,NA,NA,NA,NA,7894,1.606,NA,NA,24490,0.8475
34840,1.11,NA,NA,NA,NA,NA,NA,9567,1.3,NA,NA,26750,0.8733
35660,1.094,NA,NA,NA,NA,NA,NA,9174,1.219,NA,NA,31040,0.8607
24750,1.354,NA,NA,NA,NA,NA,NA,8378,1.247,NA,NA,31540,0.8931
29440,1.234,NA,NA,NA,NA,NA,NA,9253,1.287,NA,NA,28330,0.9542
20940,1.483,NA,NA,NA,NA,NA,NA,10140,1.53,NA,NA,32810,0.891
28210,1.304,NA,NA,NA,NA,NA,NA,7174,1.514,NA,NA,29940,0.9473
31340,1.275,NA,NA,NA,NA,NA,NA,8577,1.485,NA,NA,29110,0.8788
41110,0.9771,NA,NA,NA,NA,NA,NA,8932,1.369,NA,NA,29490,0.9365
73170,0.7602,NA,NA,NA,NA,NA,NA,8464,1.021,NA,NA,26410,0.8965
54320,0.9295,NA,NA,NA,NA,NA,NA,9534,1.426,NA,NA,29160,0.8079
38350,1.082,NA,NA,NA,NA,NA,NA,9751,1.421,NA,NA,30300,0.8031
32170,1.296,NA,NA,NA,NA,NA,NA,8593,1.499,NA,NA,30960,0.8431
28560,1.299,NA,NA,NA,NA,NA,NA,8400,1.58,NA,NA,28970,0.8648
29420,1.247,NA,NA,NA,NA,NA,NA,9388,1.271,NA,NA,28160,0.866
33270,1.115,NA,NA,NA,NA,NA,NA,8796,1.427,NA,NA,27290,0.9491
43750,0.8888,NA,NA,NA,NA,NA,NA,8516,1.229,NA,NA,32840,0.851
25420,1.433,NA,NA,NA,NA,NA,NA,10050,1.227,NA,NA,30210,0.8493
33210,1.139,NA,NA,NA,NA,NA,NA,8980,1.378,NA,NA,26290,0.9296
57240,0.8957,NA,NA,NA,NA,NA,NA,9291,1.317,NA,NA,28910,0.9297
53960,0.8428,NA,NA,NA,NA,NA,NA,11100,1.401,NA,NA,27660,0.8393
31880,1.026,NA,NA,NA,NA,NA,NA,9352,1.31,NA,NA,29660,0.9779
38270,1.049,NA,NA,NA,NA,NA,NA,9043,1.244,NA,NA,27430,0.8912
30380,1.268,NA,NA,NA,NA,NA,NA,9964,1.037,NA,NA,29280,0.8144
34700,1.092,NA,NA,NA,NA,NA,NA,8853,1.396,NA,NA,30550,0.8846
60100,0.8389,NA,NA,NA,NA,NA,NA,11100,1.097,NA,NA,27320,0.9099
70880,0.7187,NA,NA,NA,NA,NA,NA,10610,1.274,NA,NA,29060,0.8821
52860,0.891,NA,NA,NA,NA,NA,NA,8381,1.611,NA,NA,30430,0.77
74080,0.8197,NA,NA,NA,NA,NA,NA,8694,1.216,NA,NA,27900,0.8571
23640,1.529,NA,NA,NA,NA,NA,NA,10750,1.521,NA,NA,26540,0.864
30700,1.279,NA,NA,NA,NA,NA,NA,8415,1.765,NA,NA,29390,0.9607
43740,0.9452,NA,NA,NA,NA,NA,NA,8512,1.717,NA,NA,31930,0.9574
89220,0.7183,NA,NA,NA,NA,NA,NA,9581,1.427,NA,NA,25100,0.9074
27790,1.278,NA,NA,NA,NA,NA,NA,10150,1.031,NA,NA,31980,0.8712
33790,1.208,NA,NA,NA,NA,NA,NA,9069,1.717,NA,NA,33620,0.8687
57140,0.8101,NA,NA,NA,NA,NA,NA,11230,1.057,NA,NA,27300,0.8936
42730,0.9563,NA,NA,NA,NA,NA,NA,8556,1.323,NA,NA,29380,0.8716
27810,1.262,NA,NA,NA,NA,NA,NA,8878,1.184,NA,NA,30460,0.8765
23660,1.467,NA,NA,NA,NA,NA,NA,8310,1.422,NA,NA,30920,0.8717
29250,1.075,NA,NA,NA,NA,NA,NA,11010,1.224,NA,NA,28280,0.8496
31240,1.162,NA,NA,NA,NA,NA,NA,9108,1.643,NA,NA,28460,0.9846
106400,0.5954,NA,NA,NA,NA,NA,NA,9263,1.11,NA,NA,29010,0.9057
29110,1.34,NA,NA,NA,NA,NA,NA,9540,1.627,NA,NA,29280,0.8219
51900,0.9009,NA,NA,NA,NA,NA,NA,10130,1.444,NA,NA,30730,0.8816
46010,0.9096,NA,NA,NA,NA,NA,NA,9644,1.497,NA,NA,30530,0.8455
36000,1.138,NA,NA,NA,NA,NA,NA,8613,1.358,NA,NA,30280,0.7954
26920,1.384,NA,NA,NA,NA,NA,NA,8656,1.378,NA,NA,28250,0.8436
57460,0.7503,NA,NA,NA,NA,NA,NA,9685,1.242,NA,NA,30650,0.9793
44010,0.9855,NA,NA,NA,NA,NA,NA,8483,1.773,NA,NA,29230,0.869
39540,0.9966,NA,NA,NA,NA,NA,NA,8502,1.837,NA,NA,27470,0.8533
34150,1.116,NA,NA,NA,NA,NA,NA,8453,1.693,NA,NA,29610,0.8519
23220,1.493,NA,NA,NA,NA,NA,NA,9364,1.337,NA,NA,31350,0.7982
30370,1.194,NA,NA,NA,NA,NA,NA,11910,0.9959,NA,NA,28940,0.9571
69480,0.8228,NA,NA,NA,NA,NA,NA,8369,1.669,NA,NA,29220,0.7827
28260,1.167,NA,NA,NA,NA,NA,NA,8624,1.501,NA,NA,27760,1.007
71070,0.8367,NA,NA,NA,NA,NA,NA,8970,1.391,NA,NA,29290,0.8552
71640,0.7951,NA,NA,NA,NA,NA,NA,8230,1.637,NA,NA,33480,0.7908
26950,1.333,NA,NA,NA,NA,NA,NA,8938,1.546,NA,NA,28480,0.8132
47820,0.9999,NA,NA,NA,NA,NA,NA,9008,1.446,NA,NA,28530,0.8931
26060,1.188,NA,NA,NA,NA,NA,NA,8312,1.551,NA,NA,28210,0.8446
38570,1.073,NA,NA,NA,NA,NA,NA,7543,1.488,NA,NA,30250,0.9043
33670,1.036,NA,NA,NA,NA,NA,NA,10230,1.164,NA,NA,28590,0.9025
34940,1.196,NA,NA,NA,NA,NA,NA,9242,1.397,NA,NA,30720,0.9048
35460,1.104,NA,NA,NA,NA,NA,NA,8506,1.612,NA,NA,26200,0.8586
68820,0.8461,NA,NA,NA,NA,NA,NA,8902,1.561,NA,NA,29840,0.8925
49870,0.8633,NA,NA,NA,NA,NA,NA,9041,1.375,NA,NA,29000,0.9023
34070,1.118,NA,NA,NA,NA,NA,NA,9460,1.047,NA,NA,26540,0.9296
33380,1.084,NA,NA,NA,NA,NA,NA,9431,1.233,NA,NA,30660,0.9789
32930,1.051,NA,NA,NA,NA,NA,NA,8930,1.349,NA,NA,27290,0.9889
29840,1.199,NA,NA,NA,NA,NA,NA,9713,1.203,NA,NA,29550,0.9446
46630,0.9381,NA,NA,NA,NA,NA,NA,10300,1.264,NA,NA,27200,0.9138
