hERG_IC50,hERG_h,hERG_Bmax
43.97,0.5526,92.52
75.26,0.7486,86.82
35.18,0.6525,76.22
101.5,0.5827,99
133.4,0.5621,96.79
39.55,0.7481,81.7
106.1,0.5459,89.2
74.38,0.6129,93.6
83.8,0.5796,95.67
97.61,0.5485,88.14
79.7,0.5622,97.66
69.58,0.6266,85.6
78.41,0.5537,91.13
48.55,0.5467,83.71
43.35,0.7422,79.74
100.4,0.6728,99
68.11,0.6898,91.63
63.35,0.6474,90.23
49.81,0.7616,80.29
36.87,0.627,82.92
47.63,0.595,82.45
72.26,0.5564,91.26
31.81,1.017,72.1
76.97,0.5491,88.59
42.56,0.8769,70.7
88.09,0.5517,91.08
23.63,0.9181,70.75
50.6,0.8629,80.88
67.55,0.8202,81.98
47.68,0.7009,79.57
46.79,0.8989,74.61
85.94,0.5513,92.15
98.42,0.6201,91.19
26.69,1.109,70.7
55.17,0.5882,84.03
39.62,0.7453,80.07
91.26,0.5528,90.28
55.31,0.5472,84.35
87.93,0.6448,93.92
130.7,0.5563,92.39
101.2,0.5553,93.64
50.57,0.8075,70.7
69.96,0.547,90.08
112.8,0.6704,99
89.79,0.5544,93.36
135.2,0.5812,98.82
47.92,0.5501,90.66
51.15,0.7555,83.17
24.64,1.031,70.7
134.6,0.5585,97.89
69.93,0.5544,92.26
58.95,0.6894,78.08
74.95,0.5598,94.85
104.5,0.5514,91.34
47.67,0.605,80.62
68.11,0.7815,83.29
23.65,0.8661,72.11
42.68,0.7094,83.75
32.04,0.7251,78.45
79.17,0.5429,80.68
58.58,0.6879,80.09
50.46,0.7333,83.65
111.2,0.6078,99
76.78,0.798,88.04
28.84,1.007,70.7
77.58,0.5565,91.73
102.4,0.5533,89.06
39.96,0.7217,79.79
22.85,0.9246,70.7
52.08,0.6107,88.52
80.35,0.5489,90.26
43.02,0.5458,86.95
85.87,0.6178,91.61
58.58,0.549,90.6
78.58,0.5593,85.45
42.82,0.6882,82.03
35.38,0.9323,76.01
42.74,0.8583,70.7
53.47,0.5455,86.13
30.27,0.967,74.81
42.4,0.7714,77.29
56.11,0.6325,87.18
20.62,0.99,70.7
80.08,0.56,92.95
40.68,0.8441,73.59
89.61,0.6463,94.37
50.02,0.8613,81.4
74.77,0.6762,86.49
101,0.676,91.32
46.1,0.6481,87.83
108.2,0.5609,99
27.67,0.7859,72.05
99.62,0.556,94.67
27.36,0.9799,76.64
78.07,0.5454,83.01
128.4,0.7006,99
134.1,0.5624,97.08
50.08,0.6956,79.31
80.14,0.5475,90.53
40.95,0.8135,80.35
51.68,0.6296,83.46
43.27,0.9389,78.16
32.69,0.8443,72.98
84.63,0.5647,95.19
77.72,0.6674,99
85.5,0.5812,96.92
121.6,0.5634,97.7
55.36,0.7335,77.9
43.23,0.7967,83.1
164.6,0.6093,98.84
57.58,0.6013,87.58
57.24,0.7245,83.61
85.99,0.5582,96.91
35.77,0.5839,83.15
92.16,0.5431,84.67
70.74,0.7571,89.12
44.69,0.5428,81.47
102.7,0.6344,99
94.57,0.6895,94.14
108.7,0.5574,94.63
121.1,0.6338,99
60.42,0.5478,83.8
52.56,0.5451,79.46
95.89,0.6003,86.07
164.2,0.632,99
61.22,0.9455,78.33
85.5,0.7632,94.4
80.02,0.558,94.65
33.22,0.8758,71.89
141.8,0.5629,98.81
68.51,0.5451,87.69
107.8,0.5608,95.35
83.37,0.6115,99
49.55,0.7608,81.03
123.7,0.6275,99
62.11,0.6234,83.29
121.7,0.5571,98.87
77.72,0.665,87.75
68.37,0.5454,89.14
58.64,0.6011,81.83
49.1,0.6138,81.78
33.38,0.7622,76.18
67.38,0.6057,84.87
65.44,0.5388,82.07
66.74,0.6611,87.69
27.38,0.8763,73.74
60.18,0.6094,87.14
41.11,0.5457,82.07
30.67,0.5683,81.43
130.1,0.5609,97.57
35.74,0.7501,78.56
50.89,0.7248,85.63
42.32,1.067,77.77
77.22,0.5789,95.01
31.29,0.8583,70.7
34.88,0.9796,72.53
67.53,0.5522,91.97
70.01,0.544,84.09
94.82,0.5606,98.21
134.4,0.6143,98.97
55.64,0.6893,74.11
109.2,0.5869,99
43.69,0.6576,74.21
58.54,0.7084,82.73
115.2,0.5625,96.29
111,0.572,98.7
101.5,0.5672,98.9
61.03,0.6651,89.83
74.56,0.6003,93.69
76.53,0.6226,98.17
33.55,0.9196,75.25
30.51,0.8728,70.7
79.99,0.5548,92.04
53.28,0.6849,85.14
84.79,0.7671,91.29
59.24,0.5482,89.01
36.52,0.6925,79.53
46.99,0.7528,81.87
51.03,0.5549,92.11
37.12,0.9359,70.7
130.4,0.6621,99
65.79,0.6154,86.75
71.55,0.7586,88.82
90.41,0.6172,92.36
100.4,0.5532,92.36
112.2,0.558,98.98
45.22,0.9393,79.81
36.56,0.9714,70.7
35.95,0.5468,76.45
67.42,0.7329,83.32
58.92,0.6674,84.1
70.19,0.5549,94.16
76.74,0.5687,88.57
43.15,0.7641,74.31
110.6,0.6005,98.94
54.82,0.5457,82.65
88.64,0.5596,96.29
44.37,0.7169,72.79
141.5,0.5586,94.42
55.9,0.5482,88.39
73.5,0.692,85.76
38.7,0.7904,70.7
24.09,0.5429,74.49
31.85,0.84,74.71
84.06,0.5604,99
84.76,0.5603,97.89
65.01,0.7536,78.72
90.5,0.5611,98.3
35.86,0.7861,73.43
46.21,0.5491,83.52
38.94,0.7037,78.84
39.58,0.757,81.14
126,0.551,91.63
82.53,0.5651,99
48.16,0.5383,77.89
99.21,0.5638,98.94
80.93,0.6623,94.61
49.99,0.7714,75.62
43.95,0.5432,85.22
62.32,0.8405,82.59
34.31,0.8792,71.74
129.8,0.5624,96.67
114.8,0.5622,96.75
83.41,0.5576,95.03
112.9,0.5578,95.14
39.81,0.7373,76.72
88.58,0.5535,91.47
52.2,0.5874,86.32
90.41,0.6172,92.36
23.6,1.255,72.97
46.21,0.8694,76.25
48.98,0.9814,81.1
43.01,0.7107,76.16
64.95,0.6191,94.32
80.46,0.592,99
49.36,0.8028,71.18
63.81,0.5505,86.12
50.52,0.828,80.67
55.32,0.5802,85.57
111.9,0.6107,98.95
128.1,0.604,98.07
58.55,0.7686,84.02
88.56,0.5658,92.59
83.26,0.7148,93.08
74.17,0.5612,95.29
47.81,0.6486,81.21
110.3,0.7082,99
66.48,0.5584,93.92
86.29,0.741,80.79
104.3,0.7106,99
35.1,0.5396,78.52
42.13,0.54,76.52
42,0.8643,76.28
45.84,0.5428,78.79
36.51,0.9434,71.8
42.56,0.726,77.49
24.52,0.9148,74.75
46.41,0.7781,70.7
57.07,0.9816,75.08
39.02,0.5429,78.52
79.81,0.6607,93.32
71.82,0.7772,86.88
59.8,0.543,82.02
35.9,0.8823,73.81
121.2,0.6166,99
96.38,0.6709,96.32
79.7,0.6265,99
46.98,0.9072,78.43
132.2,0.644,96.98
88.37,0.5637,97.51
59.83,0.7121,88.84
44.54,0.5438,85.17
115.7,0.6072,99
37.2,0.7664,72.84
43.69,0.7765,80.74
90.18,0.5592,94.33
49.55,0.7608,81.03
129.1,0.6565,99
32.28,0.8686,70.7
129.1,0.5622,98.84
63.09,0.8032,83.1
103.7,0.5538,91.53
76.97,0.6249,88.49
82.46,0.548,86.85
89.27,0.5503,88.37
93.36,0.5769,94.77
62.5,0.6207,91.73
81.91,0.5531,90.21
34.42,0.7809,73.19
94.96,0.5574,97.04
77.87,0.5634,98.72
48.91,0.7781,77.67
80.37,0.5982,99
87.17,0.6346,87.4
86.74,0.7448,87.85
110.6,0.6006,98.49
57.01,0.7784,78.39
87.11,0.5877,92.69
60.75,0.7493,82.24
117,0.5683,99
101.6,0.7341,93.29
58.68,0.7522,84.2
106.6,0.7435,99
115.1,0.5623,98.63
62.4,0.6331,89.75
60.37,0.5514,89.76
110.4,0.5568,96.9
31.55,0.7315,83.07
68.43,0.5461,85.89
90.71,0.5595,94.27
86.25,0.6688,99
25.39,0.5402,71.15
87.72,0.5451,84.54
111.6,0.5571,94.82
46.69,0.8967,73.84
69.87,0.5371,84.24
36.92,0.6723,76.67
95.91,0.6519,88.66
130.8,0.6503,99
24.02,0.9479,70.7
60.33,0.852,82.09
88.8,0.5455,88.46
58.54,0.6965,83.97
31.5,0.9364,71.77
70.89,0.689,84.93
41.39,0.7277,73.67
43.01,0.8279,79.47
99.07,0.5719,99
24.43,1.199,71.69
56.06,0.5476,87.71
60.74,0.8855,83.98
67.33,0.5513,88.39
70.26,0.6738,86.54
57.59,0.5543,82.46
32.39,0.7028,73.61
53.87,0.5826,79.35
124.8,0.6008,99
76.11,0.5592,96.61
43.04,0.7483,77.89
38.59,0.7883,83.65
35.59,0.8638,74.13
54.31,0.8013,80.52
57.52,0.5477,91.21
50.38,0.541,82.03
40,1.187,75.72
64.52,0.5388,82.44
35.57,0.5857,78.74
29.22,0.6677,73
68.53,0.5373,83.06
30.88,0.9425,75.39
79.26,0.5596,96.9
93.37,0.5667,92.37
96.37,0.5612,97.58
29.62,0.5407,77.65
70.91,0.7273,85
46.61,0.7816,83.64
71.59,0.5488,85.69
104.6,0.5834,98.21
84.56,0.5596,93.46
39.25,0.7131,77.28
90.55,0.5546,92.12
93.5,0.635,95.01
101.9,0.6474,90.97
88.24,0.6495,88.21
81.89,0.555,92.79
69.2,0.5759,81.64
62.95,0.5828,83.54
23.91,1.327,70.7
52.51,0.5491,86.37
47.58,0.5467,80.27
52.23,0.5912,78.38
30.92,1.061,70.7
35.74,1.117,72.98
73.33,0.6606,87.86
80.07,0.6124,86.99
44.67,0.5977,84.41
67.75,0.8685,81.73
39.55,0.7061,85.23
24.44,0.9748,70.7
18.36,1.109,70.7
34.17,0.7649,74.09
44.29,0.5688,92.26
70.53,0.562,98.1
91.28,0.5728,95.51
52.47,0.7279,87.54
44.14,0.5414,81.24
36.54,0.8266,70.7
106.5,0.5641,98.06
67.93,0.5551,93.45
32.75,0.8485,70.7
55.99,0.5487,83.23
47.3,0.5513,86.38
111.8,0.5555,98.83
73.57,0.6263,92.48
97.02,0.6365,96.64
27.92,0.8014,70.7
52.1,0.7177,82.59
99.55,0.5628,96.9
60.86,0.6313,91.72
98.32,0.5536,92.39
72.62,0.5479,87.5
