ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
3590,0.5263,34110,1.566,8486,1.493,3.744e+09,0.8911,1256,0.925,12880,1.966,158,1.353
5167,0.5532,31630,1.245,1.115e+09,1.547,147400,1.022,902.8,1.334,199200,1.19,143.1,1.099
3262,0.5326,3.515e+09,0.9584,3732000,1.535,61590,1.251,788,1.334,776600,1.168,189.5,1.097
5038,0.6282,5403000,1.465,244700000,1.888,4160,1.82,1029,1.318,1.049e+09,1.271,165.1,1.399
2719,0.5521,441900000,0.6433,3711000,1.469,12350,1.702,822.1,1.077,2717000,1.706,187.3,1.222
4432,0.5183,248700000,0.8255,20580,0.8728,68660000,1.788,984,1.153,1.757e+09,1.205,175.9,1.175
2200,0.627,500200000,1.997,7.125e+09,0.9006,1.22e+08,0.8405,1153,0.9414,2.874e+09,0.6379,176.5,1.223
2598,0.6606,66570000,0.6372,6178000,0.5007,1.07e+09,1.977,1195,0.9702,314400000,0.9062,174.9,1.271
3153,0.5325,407600,1.359,213400,1.306,7.214e+09,1.539,1347,1.037,53310000,1.594,157.1,1.49
3651,0.5208,489800,1.996,431300000,1.815,28250000,0.9897,894.6,1.524,33590000,1.8,144.9,1.294
3198,0.6617,71800,1.821,4395,1.409,48670000,1.866,1065,1.001,6.9e+08,1.969,164.5,1.511
2877,0.5421,21400000,1.928,158500,1.655,1106000,1.518,949.9,1.141,2192000,1.449,143.5,1.348
3426,0.5844,1.608e+09,1.825,1.627e+09,1.695,6404000,0.5415,1030,1.159,809400,1.819,170.4,1.306
3294,0.5103,195100000,1.371,32960000,0.6535,277900000,1.633,957.2,1.396,125500,1.882,172.1,1.772
3095,0.5523,8308000,1.454,2186000,1.694,2444000,1.654,979.8,1.238,880900000,1.598,170.4,1.291
4020,0.5353,50080,1.716,2.12e+08,0.5268,247100,0.9991,942.3,1.32,3140000,1.313,173.7,1.264
3187,0.5339,101500,1.427,475800000,0.5024,4360,1.181,905.3,1.377,237600,1.285,164.8,1.239
5619,0.6031,483000,0.6449,40730,1.029,2.125e+09,1.906,943.4,1.318,795600000,0.7564,187,1.368
2379,0.7974,24010000,1.643,2.142e+09,0.7101,152900000,1.054,1138,1.046,26090000,1.162,193,1.39
1978,0.5765,11330,1.617,70640,0.5095,181700000,1.572,860.3,1.198,3.831e+09,0.7491,160.9,1.325
2639,0.5228,4.86e+09,1.727,573900000,0.912,17670,1.494,922.5,1.304,480400,0.5463,180.2,1.257
1437,0.8223,244800000,0.5636,440200000,0.904,825700000,1.123,1085,1.35,39460,1.465,169.3,1.44
2368,1.136,194800000,1.932,526100,0.542,22700,1.281,925,1.688,55590,1.55,173.3,1.273
2976,0.743,9434,1.629,1694000,0.6685,249100000,1.723,928.8,1.991,73910,1.227,178.2,1.236
2465,0.7562,706500,0.8797,99790000,0.6389,650700000,0.9235,860.8,1.637,7868000,1.071,133.8,1.104
10970,0.5352,5415000,1.206,15640000,1.018,1.045e+09,1.442,756.5,1.432,3040000,1.377,149.5,1.156
4502,0.7785,890400,0.5696,26570,1.85,608400000,1.463,1048,1.236,2.993e+09,0.8474,182.3,1.27
3015,0.6889,5.802e+09,0.6069,2.612e+09,1.687,35340000,1.287,896.5,1.246,18180,1.711,139.5,1.75
4021,0.5319,41800000,0.6385,3.751e+09,1.521,508200000,1.339,1639,0.8698,7.572e+09,0.5306,160.6,0.9573
5040,0.5184,34360,1.304,3.53e+08,1.713,1815000,0.537,1161,1.244,6.681e+09,0.8433,171.7,1.432
3005,0.5686,18390,0.9105,216000,0.7879,64490000,1.183,1176,0.855,75730000,1.325,176,1.199
3967,0.5163,6.527e+09,0.5791,4769000,0.5969,443800,1.397,1429,0.9933,8674000,0.7716,176.9,1.488
3311,0.5557,254900,0.9481,127100000,1.001,11030000,0.7637,1202,1.143,352600000,0.6134,184.5,1.35
4354,0.5239,1087000,1.887,5119000,1.474,117900000,1.404,946.2,1.447,970900,1.295,177.8,1.526
3711,0.505,141300000,0.8834,5.237e+09,1.763,6579000,1.184,1042,1.076,1545000,0.9536,165.4,1.054
4365,0.5198,16100000,1.165,23100,0.973,3896000,0.5697,1537,0.8857,549400000,1.284,147.8,1.064
2967,0.5341,223800000,1.531,133500000,0.7577,9.526e+09,0.6616,1637,0.9063,124500,1.415,135.1,1.145
4836,0.6244,115300000,0.8102,6945,1.658,2563000,1.659,896,1.273,274500000,1.551,168.8,1.438
3941,0.5972,498600,0.9301,168700,1.758,2.32e+08,1.957,1030,0.9506,838200000,1.063,171.3,1.192
2326,0.5682,3.04e+09,1.79,986400,1.126,80910000,0.7401,1304,1.195,99240,1.525,171.9,1.302
2036,0.6869,1.85e+09,1.32,3.22e+09,0.5105,4967,1.408,1352,1.183,200700,1.776,172.1,1.31
2762,0.6907,2116000,1.525,8.077e+09,0.5323,1291000,0.8238,1491,0.9708,550600,0.7899,157.6,1.245
3560,0.8119,33890000,0.8075,8154000,0.6175,746300,0.9319,1148,1.107,219000,1.926,177.7,1.176
3514,0.7094,69750000,1.694,1672000,1.371,27690,1.897,1115,1.017,8045000,0.6022,184.8,1.171
3726,0.5692,1939000,0.8933,160200,0.9651,3100,1.989,1282,0.9951,144600000,1.143,164.8,1.403
2851,0.5387,7.247e+09,1.763,3.654e+09,1.91,25040000,1.756,1055,1.264,15940000,0.6921,153.9,1.253
3524,0.6541,95730000,0.7978,4300000,1.845,6894,1.394,940,1,123400000,1.602,199.4,1.304
1786,0.7761,7.267e+09,0.7777,566500,1.604,1.8e+07,1.459,889.8,1.628,5123000,1.688,179.7,1.044
2042,0.9349,5.112e+09,0.5684,6199000,1.739,3.876e+09,1.101,1080,1.177,138400000,0.6302,169,1.309
4749,0.9013,5183000,1.036,43310000,1.209,24020,1.531,1218,1.156,218600000,0.6685,149.1,1.376
2353,0.7935,831100,0.8789,76280,1.42,61710,1.741,901.8,1.135,74830000,0.977,157.3,1.36
5013,0.7584,1.686e+09,0.719,5.75e+09,0.9321,651000,1.035,1016,1.36,92310000,1.069,185.9,1.194
3065,0.5395,1.746e+09,0.5916,26280,1.943,25410000,1.826,1236,1.519,1157000,1.878,171.4,1.512
3377,0.64,155300000,1.795,240700,1.65,2.039e+09,1.893,1286,0.8741,160500,1.284,176.3,1.352
2677,0.5847,33010000,1.833,3.27e+09,1.859,45140000,1.68,1101,1.255,329000,1.27,182.8,1.298
3603,0.5214,244200000,0.549,1.455e+09,1.014,35450000,0.9278,1176,1.013,13130000,1.832,148.2,1.493
5779,0.6789,494500,1.279,7.231e+09,1.101,6.77e+08,1.733,1235,0.8517,4366000,1.318,184.7,1.492
3649,0.6631,2519000,1.117,840400000,0.786,5294000,1.259,1061,1.137,7.669e+09,0.7784,185.3,1.212
4428,0.768,719700,1.606,577900,1.507,131800000,1.225,891.2,1.424,1050000,0.5508,172.4,1.344
2300,0.5697,2049000,1.107,104100000,0.5433,2.078e+09,1.178,1103,1.227,2081000,0.8931,154.4,1.339
2946,0.6079,6001000,1.969,23490000,1.902,847800000,1.303,787.7,1.186,118500000,1.31,170.9,1.584
5239,0.543,5971000,1.435,4264,1.963,185200000,1.4,1019,0.8901,767900,1.438,176.2,1.138
5778,0.6104,353000,0.8421,549500000,1.797,10520000,1.038,830.9,1.165,66710000,0.8096,187.5,1.308
4293,0.7736,405800000,0.7203,4419,1.831,123100,1.048,889.8,1.375,1.549e+09,0.8458,180.7,1.395
1931,0.5919,86910,1.488,50700,0.7875,13020,1.311,1067,1.248,549800000,0.599,194.1,1.307
2832,0.5685,2376000,1.365,1.262e+09,1.268,476200,0.7527,982.5,1.673,3781000,0.6331,178.1,1.329
2185,0.5407,13660000,1.994,453400000,1.628,17860,1.688,872.8,1.497,2.825e+09,1.064,183.6,1.336
2456,0.5571,4143000,0.7548,3.799e+09,0.9074,12020,1.92,982,1.388,72700,0.8578,162.9,1.179
3551,0.5597,38840000,1.945,7.046e+09,1.693,9725,1.233,1035,1.128,261200000,0.9296,171.1,1.169
3304,0.6801,162800,1.322,414200000,1.446,814700000,1.186,1066,1.018,205900,1.808,170.9,1.214
2014,0.5066,37450000,1.878,62480,0.8556,13450,0.9006,993.3,1.488,449400000,1.533,149.3,1.421
2207,0.5164,1290000,0.9338,1759000,0.7094,379500,1.751,982.8,1.079,4432000,1.573,180.1,1.629
2337,0.546,127400000,1.41,9758000,0.6747,11020,1.121,1236,1.02,51230,1.639,147.3,1.526
3869,0.5972,130500000,1.476,4.086e+09,0.795,4859000,0.789,1061,1.191,3.951e+09,1.389,155.2,1.643
3543,0.6084,24340,0.9657,3532000,1.637,6506000,1.373,973,1.172,2.077e+09,1.571,154.6,1.273
2902,0.5478,117500,0.9156,25950,0.8795,488400000,0.8721,956,1.034,55610000,0.8523,174.9,1.189
2464,0.5004,111300,1.416,27280000,0.7452,7742000,0.8933,926.5,1.354,13290000,1.363,167.7,1.51
2222,0.5209,149100,1.741,246600000,1.701,322500000,0.9436,852.7,1.276,57720,1.255,184.8,1.261
3080,0.5715,2538000,1.616,318600,1.553,25520,1.288,1117,1.259,915300,1.177,171.8,1.433
3741,0.6029,11250,1.329,71930,0.6205,105900,0.9615,976.3,1.122,7699000,1.517,163.1,1.154
3349,0.5771,30050,1.031,503600,1.115,749800,1.159,1129,1.093,113600,1.554,148.8,1.041
2604,0.6092,8102000,0.9791,35120000,0.8314,203800,0.8141,1070,1.619,1516000,0.6105,134.3,1.31
3394,0.5936,1686000,0.5861,30600,1.078,10840000,1.016,914.3,1.438,1.072e+09,0.62,182.3,1.201
4237,0.5484,14280000,1.629,12300,1.281,142300000,0.9461,968,1.724,141200000,1.877,186.2,1.318
4283,0.6152,35540,1.717,41910,1.225,13860000,0.917,1252,1.085,23730000,1.812,177.7,1.199
2104,0.5103,5628,1.688,3297000,1.511,1103000,1.305,954.8,1.402,6573000,1.059,153.3,1.418
2919,0.5008,13350,1.839,729800000,0.5865,6.624e+09,0.6941,1101,1.309,345800000,1.658,159.3,1.524
3348,0.5971,65570000,1.048,37020000,1.166,4.685e+09,0.7512,833.6,1.159,76620000,0.6731,154.8,1.098
3249,0.5292,10300000,1.451,14440,1.662,4244000,1.25,1034,1.499,684500000,0.8239,170.7,1.362
3380,0.5928,4753000,1.93,4547,1.836,109600000,1.609,929.6,1.637,3045000,1.804,177.7,1.224
4047,0.5615,7392000,1.541,9739,1.685,23330,0.8065,880.2,1.127,20080,1.589,179.7,1.535
4130,0.7096,10410000,1.093,8629000,0.7252,762400,0.9634,888.1,1.502,18340,1.888,193.1,1.266
2884,0.5676,4288,1.531,73800,0.8021,171300000,1.799,908.6,1.044,7.435e+09,1.438,155,1.315
3130,0.5083,57240,1.672,173400000,1.996,204200,0.633,803.2,1.107,1489000,1.35,174.9,1.274
3973,0.5061,425600,1.21,23870000,1.684,4.919e+09,1.226,770,1.469,2086000,1.324,183.7,1.305
5208,0.5558,511200,1.363,3342000,1.834,1.727e+09,0.7629,1027,1.023,1941000,0.5939,177.6,1.502
3284,0.523,161400000,1.075,3.627e+09,1.707,71260000,0.6664,935.8,1.107,47420,1.865,159.7,1.28
2590,0.6696,502200,1.539,611500000,1.669,405500000,0.5597,1008,1.289,6854,1.567,172.1,1.35
2344,0.522,135800,1.826,15310,1.213,6.857e+09,1.65,1108,1.172,475500,1.034,205.7,1.63
1305,0.5979,369600000,1.824,3.374e+09,1.602,15550,1.237,1313,0.796,156400000,1.737,185.3,1.449
1945,0.6406,51420,1.562,220500,1.194,160400000,1.322,1554,0.9032,242400,0.9446,147.4,1.348
5404,0.6188,54340,1.163,2078000,1.555,77060,1.179,1197,1.396,6549000,1.779,204.4,1.274
3809,0.5862,69210,0.8668,75020,1.094,51700000,1.544,1026,1.182,17640000,0.6903,163.8,1.383
2988,0.6472,8452000,1.817,98880,1.051,7250000,1.76,1073,1.305,88090000,0.7054,148.5,1.349
2995,0.5737,291300000,1.739,4310,1.685,13750000,0.7061,1049,1.507,90720000,1.384,163.3,1.069
4915,0.6127,11550000,1.601,4892,1.692,29110,0.9659,1117,1.285,113300000,1.905,167.4,1.223
2105,0.5859,234500,1.88,8.932e+09,0.9264,63190,0.925,1012,1.36,4.55e+09,0.6095,150.3,1.156
4197,0.717,2.47e+08,1.57,1069000,1.947,5638000,1.269,1048,1.3,16600000,0.9297,178.4,1.096
1916,0.5131,3.854e+09,1.874,347600,0.809,56450,1.695,1055,1.316,309500,1.518,160.4,1.335
2651,0.5042,1.882e+09,0.8948,3.821e+09,1.681,42650000,1.915,780.8,1.339,5.666e+09,1.263,196.4,1.098
3527,0.5354,9.865e+09,0.8926,524600000,0.7694,460800,1.134,663.4,1.32,77070000,0.6131,166.6,1.228
7814,0.6099,8.236e+09,1.138,75070,1.176,19800,1.409,854.8,1.527,1261000,0.5299,158.8,1.601
5550,0.5403,144100000,0.679,3.091e+09,1.186,51890,0.6073,1493,0.996,106100,1.265,163.8,1.36
3374,0.582,11080000,1.59,12120000,1.079,205900,0.8443,1158,1.017,1720000,1.604,180.1,1.402
4739,0.6076,8.848e+09,0.6452,8.342e+09,0.9816,3102,1.755,996.3,1.125,5214000,1.971,228.5,1.799
2770,0.5008,261100,0.7173,223700000,1.293,84210,1.459,1238,1.041,2.985e+09,0.9924,165.4,1.531
2601,0.6492,93280,1.789,21480000,1.173,415800,1.713,838.9,1.683,2893000,1.603,183.9,1.66
3587,0.6,158500,1.246,41400,1.622,384400000,1.18,1252,1.447,327400,0.869,171.7,1.28
3758,0.5385,760900000,0.6333,6123,1.769,1.89e+08,1.973,1026,1.324,2.771e+09,0.9009,165.9,1.112
5031,0.5495,1.29e+09,0.6844,220900,0.8727,55890000,0.5775,1141,0.8002,8.014e+09,1.061,174.3,1.422
3208,0.5512,9377000,1.758,4580000,0.7624,461000,1.635,1108,1.104,4.928e+09,1.384,159.7,1.242
3117,0.5129,28120,1.569,158400000,1.34,695900,1.774,868.8,1.349,301300,1.801,196.7,1.195
3414,0.5202,10350,1.461,4739000,1.575,5533000,1.543,718.4,1.906,88490,1.653,154,1.336
2424,0.5361,1812000,1.227,830700000,1.796,12000,1.099,1383,0.8949,894300,1.999,143.6,1.083
2968,0.5991,20720000,1.862,32850000,0.5702,127200000,1.748,964.1,1.011,520600,1.765,191,1.256
3078,0.5811,12220000,1.789,49280,1.43,61100,1.378,1088,1.338,158400,0.7812,185.7,1.017
1866,0.5813,1419000,0.8405,19790,0.7899,70360000,1.804,1402,1.133,1714000,0.7809,162,1.463
3952,0.6812,19710000,0.8179,17360000,1.239,84100,0.8666,915.8,1.074,816300000,0.829,159.3,1.178
4860,0.5999,7533000,1.374,3.128e+09,1.49,56250,0.6794,996,1.273,108400000,1.352,196.5,1.556
3760,0.5072,157900,1.891,16310,1.253,352800,1,1033,0.9361,1323000,1.561,187.5,1.41
3312,0.566,1.615e+09,1.785,118300,1.117,18210000,0.9034,982.4,1.201,5513000,1.497,181.9,1.318
3144,0.5715,223200000,1.781,14980,1.367,891600000,0.8969,1165,1.187,215900,1.957,157.5,1.344
3234,0.5469,17760,1.42,945100,0.8575,2162000,1.397,895.8,1.487,88570000,1.392,140.9,1.139
2825,0.5357,3.3e+07,1.125,86950,0.9394,1395000,1.676,932,1.173,56780000,0.6536,204.2,1.62
4762,0.534,1.726e+09,1.106,20620000,1.037,2.602e+09,1.513,1019,1.13,366800000,1.255,230.9,1.103
2668,0.5128,411900000,1.77,3780000,1.75,1.276e+09,1.499,857.2,1.283,468700000,0.6215,190.6,1.496
3181,0.5609,6.698e+09,1.08,454600,0.5895,35020000,1.736,1262,0.9634,36570,0.9038,214.6,1.446
2384,0.615,1.74e+08,1.09,19100000,1.945,22370000,1.364,1599,0.8978,1624000,1.006,190.6,0.9816
2626,0.6364,383500000,0.5658,546300000,1.617,28230,1.274,1499,0.9245,2327000,0.5988,158.8,1.59
3366,0.5269,203200,0.5511,298000,1.409,88820000,1.686,1183,1.205,1.61e+08,1.533,163.2,1.405
4788,0.5615,273200,1.017,815200,1.502,17560000,0.5895,1143,1.046,4674000,0.875,156.6,1.386
3051,0.6594,5.168e+09,1.443,1.172e+09,0.8797,91060000,0.5002,734.2,1.177,3.954e+09,1.019,212.5,1.139
3928,0.7745,8035,1.682,4191000,1.94,635800,0.9892,1134,1.062,9.17e+09,1.123,195.4,1.16
3315,0.8546,639900000,1.284,584800,1.907,591100000,1.947,1066,1.134,22940000,0.8782,171.9,1.095
3774,0.8258,1.727e+09,1.305,13110,1.878,166300000,1.011,840,0.9022,88160000,0.6066,158.1,1.241
2967,0.8114,29170,0.8426,161800,1.979,130200,1.6,963.5,1.122,38750000,1.101,155.1,1.511
4095,0.6272,362400,1.016,5632000,1.029,211200000,0.5295,947.7,1.142,41820000,0.7573,154.2,1.7
3275,0.5497,30800000,0.7103,72970000,1.663,509600000,0.5292,845.8,1.376,723500000,1.441,147.3,1.595
4392,0.5649,5.576e+09,1.506,7113000,1.644,13280,1.98,1078,1.037,32170000,0.6791,164.1,1.584
4028,0.5727,39650000,0.7227,2.46e+08,1.523,109100,1.571,947.5,1.257,31280000,1.356,160,1.173
4818,0.515,44500,1.383,31820,1.275,259300000,1.825,1159,1.046,63780000,1.885,155.5,1.211
1926,0.5279,38940,1.473,29970000,0.8615,1722000,0.6,1030,0.9064,5598000,1.864,145.1,1.249
3049,0.5552,5.252e+09,1.572,11480000,0.8717,2596000,0.5526,1061,0.8232,219700,0.5478,135.2,1.204
3963,0.7956,869600000,0.9738,16470,1.616,2285000,0.5376,916.4,1.395,3.189e+09,0.9109,164,1.211
2851,0.5942,240600,1.883,715000,0.6151,345900,1.838,819,1.328,1.66e+09,1.153,148.8,1.393
3929,0.6747,31600,1.9,71820,1.756,83650000,0.9743,1045,1.072,36230000,1.582,169.5,1.461
3097,0.5713,72540,1.366,13550000,1.927,17430000,0.803,807.1,1.711,1.453e+09,0.6215,162,1.248
3907,0.517,39270,1.696,3087000,1.876,1.172e+09,1.723,778,1.127,13420,1.751,166.9,1.359
2804,0.6529,1e+06,0.7527,2.997e+09,1.925,4683000,0.6356,1270,1.371,1.295e+09,1.031,167,1.523
4817,0.6756,7.616e+09,0.857,75670000,0.7657,6.368e+09,0.5723,803.4,1.228,676800,1.424,172.5,1.322
3233,0.6091,1.894e+09,0.632,3382,1.949,162500000,1.285,973.4,1.473,1444000,0.9668,171.8,1.524
3729,0.551,9.768e+09,0.8667,1648000,1.872,598300,1.347,1320,1.104,119900000,1.23,167.9,1.513
4817,0.5377,5.62e+08,1.967,710000,0.7342,19530,0.8494,1198,1.021,2.275e+09,1.149,174.8,1.496
3554,0.6204,1.91e+08,1.946,13960,1.143,65640000,1.293,1121,0.8159,5238000,1.137,164.6,1.207
4640,0.6021,5036000,1.578,565700000,1.585,950800,0.9661,730.9,1.561,61150000,1.952,194.4,1.266
4323,0.6355,7797000,0.7139,6.036e+09,1.773,13090,1.895,1026,1.769,1.506e+09,1.452,186.6,1.31
1796,0.619,413300000,0.5242,500800,1.858,4637,1.669,967,1.571,592600,1.703,159.9,1.185
2721,0.7123,68860,0.6011,22910,0.8196,187700000,1.652,1033,1.497,4360000,1.691,167,1.285
3095,0.7489,1.55e+08,1.508,1.154e+09,0.9715,3114000,1.115,1167,0.8188,29260000,0.8448,179.9,1.173
3319,0.6421,4494000,1.388,8635,1.116,395200,1.005,1000,1.121,9.739e+09,1.022,175.5,1.165
3364,0.5933,6730000,0.9612,637700000,1.2,254500,1.963,708.1,1.53,97280000,1.454,197.8,1.453
4071,0.5858,12230000,1.085,212900000,1.253,38290,0.9143,966.1,1.42,425500000,1.342,193.7,1.299
6402,0.5348,265100000,1.486,346300000,1.348,505400000,0.5577,1063,1.755,31710000,0.974,177.4,1.326
5940,0.6059,499900000,1.797,829400000,1.093,826900000,1.775,1043,0.9052,426600000,0.7679,180.5,1.265
4480,0.5333,5.464e+09,0.8205,108300,1.759,75160,1.622,1673,0.8231,196500000,0.8424,183.4,1.43
3136,0.5332,1466000,1.07,1.102e+09,1.202,7.588e+09,0.7038,1114,1.102,1632000,1.264,151.3,1.465
1700,0.6248,820300,1.245,267700,1.216,59900,1.167,889.4,1.361,4.68e+08,1.685,167.7,1.515
1499,0.5393,7650000,0.9312,2.407e+09,0.6101,9578,1.429,1031,1.862,1.856e+09,1.916,154.4,1.346
3388,0.663,8276000,1.236,116600,1.066,195700000,1.374,861,1.862,15720000,1.994,178.2,1.532
8331,0.6423,160800000,1.713,36020,1.267,406500,1.048,894.1,1.548,2.515e+09,1.054,178.8,1.648
3827,0.8215,7.235e+09,1.934,88240000,1.391,258200,1.85,1350,0.8663,1728000,1.002,173.7,1.549
4191,0.7141,1.61e+09,0.9666,1827000,1.799,47960000,1.034,1034,1.122,547300,0.7591,178.1,1.148
2420,0.601,80290,0.8956,900700,1.6,377700,1.32,968.5,1.648,92150000,0.7423,168.1,1.461
3291,0.5524,8140000,1.043,13640,1.226,169800000,1.264,1091,1.053,318600,1.71,182.5,1.521
4012,0.6442,15030000,1.665,3636,1.87,16710,1.278,882.6,1.287,1.175e+09,1.299,171.8,1.647
3738,0.6649,147700000,1.623,32120,1.574,4822,1.591,930.1,1.213,139000,1.31,178.4,1.348
2615,0.6073,131300,1.573,8589000,0.9618,32190,1.805,942.7,1.201,93950,1.365,173.9,1.382
3534,0.5393,39320,1.549,227400000,1.961,4.629e+09,0.9834,863.5,1.231,168600,1.787,163.6,1.375
