ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
1828,1.989,3020,1.316,411600000,1.131,2215,1.773,92.46,1.325,19390000,1.556,156.8,1.886
1198,1.404,13400,0.8413,2.271e+09,1.988,31350000,1.93,98.21,0.9522,9.323e+09,0.6426,441.7,0.5854
79170,0.5826,923700,1.742,179900,1.625,3.201e+09,1.528,136.2,1.029,7288,1.043,158.4,0.8617
19470000,1.581,45890000,1.626,3076000,1.473,2.798e+09,0.5675,93.93,1.314,20500,1.446,141.5,1.228
13150,1.236,1.211e+09,0.943,189800000,1.797,798700000,0.9973,95.69,1.126,197700000,1.736,172.2,1.186
3.778e+09,1.192,4.657e+09,1.769,9.896e+09,1.962,1.567e+09,1.053,89.47,1.017,4851000,0.9544,128.8,1.336
1199,1.912,3.858e+09,1.59,1022000,1.396,3.432e+09,1.314,97.7,1.097,5679000,1.832,294.2,0.6501
1940,1.742,911.4,1.846,1.279e+09,1.723,11750000,0.6481,88.81,0.9477,31330,0.8248,194.8,1.008
4720000,0.7954,5632,1.328,6952,0.5049,12250000,0.5452,100.6,1.031,2599,1.62,135.3,1.158
758600000,0.6746,334300000,1.925,332200,0.945,5.841e+09,1.881,102.3,1.386,9786,1.151,130.4,1.053
4547000,1.068,6014000,1.564,7.36e+08,1.779,537200,1.314,102.7,1.05,21290000,0.5012,138.4,0.9708
39310000,1.613,1930,1.054,720400,0.7,6213,1.83,118.3,1.068,106600,0.6589,124.7,1.254
24420,1.327,3239,1.016,5803000,1.521,3.297e+09,0.5534,91.17,1.018,5567000,1.902,170.9,0.8804
63020,0.7038,3001000,1.352,128600,0.6215,383300,1.186,97.02,1.11,12610,1.461,167.1,1.164
25570,1.164,1568000,1.176,686300,0.5053,140900,1.771,99.73,1.175,9457,1.816,162.7,1.182
40860000,0.7765,3123000,1.903,582400,1.907,181700000,1.2,95.6,1.198,1336000,1.972,119.5,0.9275
983100,1.248,760.6,1.464,794600,1.753,29190000,0.7145,101.5,1.061,7.48e+08,1.8,184.2,0.8049
1.83e+08,0.8272,1084,1.932,17430,0.6262,22500000,1.977,87.37,1.253,218800000,0.547,303.2,0.6061
49890,1.231,881.1,1.76,32580,1.04,4.034e+09,1.837,81.03,0.9843,19920000,1.039,250.2,0.6633
23860000,1.903,1005,1.033,2.068e+09,1.766,3442000,0.7593,103.4,1.768,3.386e+09,1.525,230.1,0.5911
12540,1.217,1759,0.8087,16570000,1.444,27180000,1.011,90.16,1.261,12390,0.9011,139,1.175
4680,0.7638,28370,0.6236,2914000,0.675,724100000,1.461,110.3,1.027,3.288e+09,1.902,207.9,0.8659
4.467e+09,0.969,45040,0.7393,125500,0.751,927100000,1.407,84.02,1.242,30340000,1.063,199.6,1.485
118300000,1.995,3509,0.9784,40420,1.243,10280,0.773,90.51,1.302,4536,1.509,132.7,0.9678
53630,1.462,1186000,1.54,160300000,0.6985,283600,0.6805,92.8,1.11,25170,1.075,132.4,0.5054
7.459e+09,0.791,4176,0.6858,91380000,0.9852,20970,1.057,91.91,1.231,300200000,1.1,165.8,1.373
20240000,1.365,4.586e+09,1.183,2.514e+09,0.7966,105500000,0.9366,106.2,1.128,1015000,0.6968,216.4,0.6332
49980000,1.801,10600,0.7552,21030000,1.551,16970000,0.8301,106,1.323,35260000,0.8557,192,0.6801
5879,1.664,252300000,1.75,4772000,0.6541,1.221e+09,0.6221,108.2,0.8529,4672000,1.539,132.6,1.132
524100,1.104,2962,1.48,2789,0.9772,188700000,1.127,104.2,0.8185,270900,0.9184,147,1.296
213500,1.552,6250000,0.7223,68630,0.5502,2.094e+09,1.153,91.86,1.347,32980,0.5871,135.8,1.838
99480000,1.341,9.973e+09,0.8466,27290,0.54,149400,1.799,76.65,1.183,11960,0.9287,158.1,1.486
3194000,1.281,334100,1.769,201100,0.5392,2.984e+09,1.332,88.04,1.023,2858,1.679,170.3,1.149
