hERG_IC50,hERG_h,hERG_Bmax
148.5,0.7351,94.02
185.2,0.6821,99
172,0.6526,99
97.06,1.282,81.77
108.9,0.8118,89.43
130.8,0.6355,95.96
173.2,0.6293,99
145.5,0.5953,98.76
121.4,0.9526,86.62
94.56,1.035,79.86
165.3,0.724,99
179.8,0.7423,99
130,0.9625,86.58
210.9,0.7887,99
171.2,0.7516,94.55
163.2,1.179,87.49
126.7,0.6058,98.75
164.9,0.9545,93.37
129.8,0.7376,95.88
232.4,0.8684,99
122.4,1.214,83.22
153.5,0.7191,99
122.7,1.462,78.74
125.1,0.8294,92.43
187.8,0.78,99
179,0.7028,98.93
121.2,1.523,78.57
173.8,0.6809,98.91
155.7,0.705,98.93
163.2,0.6905,99
146.2,0.8112,95.74
122.9,0.7738,91.86
134.6,0.8395,89.21
163.6,0.6859,99
193.8,0.6689,98.91
118.6,1.74,77.73
113.8,0.7962,89.49
124,0.836,90.41
124.1,0.6373,97.28
93.43,0.8614,86.7
159.3,0.6427,98.95
211.1,0.8404,99
217.2,0.7509,99
87.38,1.036,83.07
118.5,0.7498,92.77
108.5,1.472,80.86
201.1,0.9361,95.9
113.3,1.092,83.65
186.4,0.7001,99
181.2,0.8232,96.14
102.1,1.106,81.27
189.3,0.6994,98.13
170.8,0.7603,99
132.2,0.9868,90.3
173.1,0.7402,94.43
147.1,1.582,81.88
131,1.143,85.71
121.1,1.143,83.57
90.73,0.7369,89.58
109.5,1.073,83.06
162.4,0.5388,98.66
124.9,0.5505,98.97
135.2,0.9662,88.88
170.1,0.627,99
97.25,0.9866,81.67
159.7,0.8932,92.67
157.1,0.9088,92.16
141.3,0.5962,98.74
125,0.9041,89.77
170.2,0.6426,99
172.2,0.7236,99
184.7,0.6464,98.84
129.5,0.8259,90.18
131.7,1.69,81.02
214.1,0.8796,99
181.6,0.727,99
107.2,1.315,84.14
147.1,0.9728,90.96
160.7,0.9877,89.61
112.8,1.435,80.9
96.12,0.7355,89.22
146.2,0.5236,99
134.1,1.008,85.06
172.4,0.7047,99
163,0.6229,99
152.4,0.5553,99
103.1,1.302,80.05
139.7,0.7454,93.28
166.2,0.6635,97.82
120.2,1.561,78.02
95.71,0.9682,85.72
224.8,0.8298,99
109.4,0.6396,95.13
194.3,0.8057,99
95.05,0.8252,86.42
164.5,0.6148,98.84
130.5,0.6664,98.84
147.4,0.8807,93.16
187.7,0.6645,99
174.3,0.7207,99
181.7,0.6487,99
108.9,0.6186,98.07
211.1,0.7475,99
181.7,0.7086,99
109.2,1.133,85.18
147,1.073,89.28
104.9,0.6977,94.79
178.4,0.9012,92.02
96.46,1.679,77.75
170.7,1.072,88.97
153.3,0.6026,99
156.7,0.8612,95.2
200.9,0.7991,98.87
144.9,0.6294,98.95
209.3,0.7348,99
158,0.6493,98.75
106,0.9076,88.12
146.8,0.9795,87.65
94.85,1.515,78.94
110.4,0.6969,95.67
145.8,0.6517,98.9
116.8,0.8685,89.27
142.7,0.6875,98.87
131.8,0.9735,88
129.4,0.8939,88.38
88.87,1.98,74.43
96.93,1.029,83.78
165.1,0.7093,96.45
131.4,0.8566,91.67
139.2,0.8935,89.48
98.3,1.071,81.71
113.7,1.232,82.1
188.1,0.7742,99
175.1,0.7358,99
181,0.7399,99
246.3,0.9478,99
182.8,0.7438,99
147.5,0.5332,98.98
185.9,0.703,99
159.2,0.6798,99
129.7,1.224,81.69
139.4,0.8989,90.89
93.1,0.8922,84.33
159.7,0.6975,99
172,0.6522,98.92
140.2,0.6657,98.78
79.28,0.8262,83.82
149.9,0.6607,99
115.5,0.956,83.14
168.1,0.758,98.54
164.6,0.8784,93.29
179.8,0.7461,99
158.9,1.032,87.65
106.9,0.807,90.64
176.2,0.7058,99
153.1,0.5376,99
132.7,1.11,85.24
104.5,0.7957,85.02
90.97,1.33,78.25
169.1,0.762,98.33
167.2,1.027,90.33
176.6,0.7832,99
154.7,0.6945,98.96
113.9,1.453,79.05
140.2,0.8663,88.99
147.8,0.627,98.68
187,0.8784,94.12
152.8,0.7096,99
156.6,0.5438,99
88.95,1.282,78.67
60.36,0.9168,79.65
157.6,0.6986,98.56
108.1,1.278,81.37
108.7,0.8549,86.97
111.9,1.081,84.48
181.5,0.7382,98.95
192,0.7159,99
136.7,1.663,81.14
142.3,0.6252,98.85
171.3,0.7483,99
143.5,0.9624,88.43
154.9,0.777,96.35
147.3,0.6105,98.79
150.2,0.5835,98.72
177,0.7269,97.28
179.1,0.7412,97.53
108.1,1.181,81.7
167.3,0.6581,98.79
153.3,0.6923,99
122.3,0.5659,98.83
114.6,1.053,87.14
165.1,0.6849,99
124.8,1.123,84.09
120.4,1.643,78.69
103.1,0.8219,88.49
137.5,0.8803,89.01
176.9,0.6367,99
193.4,0.7032,99
110.1,0.834,87.88
151,0.6496,99
140.1,0.9399,90.04
116.5,1.022,83.6
172.8,0.7279,99
176.2,0.6319,99
131.4,0.9778,88.6
112.2,0.5954,93.24
173.9,0.6988,98.96
171.7,0.6689,98.95
189.3,0.791,99
172.6,0.7008,99
221.8,0.7501,99
114.8,1.2,79.94
182.4,0.6561,98.99
120.3,1.192,82.58
109.8,1.151,81.13
140.3,0.7433,94.39
139.6,0.6838,95.5
160.8,0.6525,98.93
101.2,0.8526,85.77
155.9,0.539,98.49
119.9,0.7266,93.86
99.37,0.9414,85.8
132.9,1.327,82.22
106,1.279,80.97
